Composition,Method,Temperature_K,Thermal_Conductivity_W_mK
"SCM, Mix Data","Present Model, Mix Data",1071.209090909091,0.22922798563804891
"SCM, Mix Data","Present Model, Mix Data",1074.7530303030303,0.2287555541291804
"SCM, Mix Data","Present Model, Mix Data",1078.2969696969697,0.22828300965209794
"SCM, Mix Data","Present Model, Mix Data",1081.840909090909,0.2278103528042773
"SCM, Mix Data","Present Model, Mix Data",1085.3848484848486,0.22733758418912667
"SCM, Mix Data","Present Model, Mix Data",1088.928787878788,0.2268647044160182
"SCM, Mix Data","Present Model, Mix Data",1092.4727272727273,0.22639171410031997
"SCM, Mix Data","Present Model, Mix Data",1096.0166666666667,0.225918613863428
"SCM, Mix Data","Present Model, Mix Data",1099.560606060606,0.225445404332798
"SCM, Mix Data","Present Model, Mix Data",1103.1045454545456,0.22497208614197758
"SCM, Mix Data","Present Model, Mix Data",1106.648484848485,0.22449865993063842
"SCM, Mix Data","Present Model, Mix Data",1110.1924242424243,0.22402512634460803
"SCM, Mix Data","Present Model, Mix Data",1113.7363636363636,0.22355148603590205
"SCM, Mix Data","Present Model, Mix Data",1117.280303030303,0.22307773966275674
"SCM, Mix Data","Present Model, Mix Data",1120.8242424242426,0.222603887889661
"SCM, Mix Data","Present Model, Mix Data",1124.3681818181817,0.22212993138738898
"SCM, Mix Data","Present Model, Mix Data",1127.9121212121213,0.22165587083303176
"SCM, Mix Data","Present Model, Mix Data",1131.4560606060606,0.2211817069100308
"SCM, Mix Data","Present Model, Mix Data",1135.0,0.22070744030820955
