Ion Pair,SCL (Å),Peak Distance (Å),Peak Value,f_KF,f_NI (avg)
Li-Cl,0.8638283479091753,2.372940256,4.024965383,0.8885456573378933,0.5519653460140512
Li-Li,1.2065512579600337,3.489222166,1.716513767,0.5688891069639758,0.5904396043337022
Cl-Cl,0.8497917393678138,3.611671457,2.049501255,0.6771112067457602,1.0
Effective,0.0,,,,
