Ion Pair,SCL (Å),Peak Distance (Å),Peak Value,f_KF,f_NI (avg)
Li-Cl,0.13423664230281007,2.372940256,4.024965383,0.8885456573378933,"[1.0, 0.494566616244389, 0.4081096809715097, 0.5085086115015107, 0.5245066427621101]"
Effective,0.13423664230281007,,,,
