r (A),g(r)_weighted_U-Cl,g(r)_unweighted_U-Cl,g(r)_weighted_U-U,g(r)_unweighted_U-U,g(r)_weighted_K-U,g(r)_unweighted_K-U,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_K-K,g(r)_unweighted_K-K,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,S_i_U-Cl,S_i_K-Cl,Average_SCL,lambda_BC
7.200596713984986,0.09343943136202414,1.1368464149046271,0.011251788319859153,0.821380547349718,0.02656121189279834,0.6463228227247596,0.2817604844250162,1.142695297945899,0.09740123237339969,0.7900322181397975,0.4572655847444428,0.9272329912873424,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
7.208570796724725,0.09324714178029204,1.13450689166022,0.01132922778902645,0.8270336285989307,0.026601655753834958,0.6473069566766507,0.28129180763030875,1.1407945531673633,0.09747120027828149,0.7905997355905054,0.45777334583182083,0.9282626179367478,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
7.216544879464465,0.09305485219855994,1.1321673684158127,0.011406667258193748,0.8326867098481434,0.026642612235801715,0.6483035644045084,0.2808231308356013,1.1388938083888276,0.09754116818316327,0.7911672530412133,0.4582811069191988,0.9292922445861532,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
7.224518962204205,0.0928625626168278,1.129827845171405,0.011484106727361054,0.8383397910973568,0.026683568717768474,0.6493001721323662,0.2803544540408938,1.1369930636102916,0.09761113608804507,0.7917347704919212,0.4594656544341032,0.9316942437135982,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
7.232493044943944,0.0926702730350957,1.1274883219269978,0.011578562083039187,0.8452350320618605,0.026724525199735227,0.6502967798602239,0.2798857772461864,1.135092318831756,0.09768110399292687,0.7923022879426291,0.460650652121997,0.9340971556918274,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
7.240467127683684,0.09260957457297161,1.1267498239711546,0.011687475393114306,0.8531857036973441,0.02676548168170198,0.6512933875880815,0.279417100451479,1.1331915740532204,0.09775107189780866,0.792869805393337,0.46183564980989095,0.9365000676700567,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
7.248441210423424,0.09261003482620082,1.1267554237187767,0.011796388703189435,0.8611363753328286,0.02680643816366874,0.6522899953159393,0.27894842365677147,1.1312908292746844,0.09782103980269045,0.7934373228440449,0.46302064749778493,0.9389029796482862,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
7.256415293163164,0.09261049507943003,1.1267610234663987,0.011905302013264554,0.8690870469683123,0.026847394645635493,0.653286603043797,0.2784797468620641,1.1293900844961489,0.09789100770757227,0.7940048402947528,0.4642056451856788,0.9413058916265155,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
7.264389375902903,0.09261095533265924,1.1267666232140208,0.012016383161514387,0.8771959707905501,0.02688835112760225,0.6542832107716547,0.27798765274188875,1.1273943694532156,0.0979749817292544,0.7946859629150634,0.4653906428735727,0.9437088036047446,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
7.272363458642643,0.0926105129911246,1.126761241392016,0.01213913539883309,0.8861568841148154,0.02692930760956901,0.6552798184995126,0.2774799764263718,1.1253354599513967,0.09806456525585111,0.7954125848530146,0.46627948081515325,0.9455111694307274,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
7.280337541382383,0.09246640615743301,1.1250079415821017,0.012261887636151778,0.8951177974390796,0.02697026409153576,0.6562764262273701,0.2769723001108549,1.1232765504495783,0.0981541487824478,0.7961392067909655,0.4668210977086622,0.946609448131454,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
7.288311624122123,0.0923222993237414,1.1232546417721871,0.012384639873470481,0.9040787107633449,0.02701122057350252,0.657273033955228,0.276464623795338,1.1212176409477597,0.0982437323090445,0.7968658287289165,0.46736271460217127,0.9477077268321806,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
7.2962857068618625,0.0921781924900498,1.1215013419622726,0.012473158103497407,0.9105405415553105,0.02705217705546927,0.6582696416830857,0.27595694747982114,1.1191587314459412,0.0983333158356412,0.7975924506668676,0.4679043314956802,0.9488060055329072,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
7.304259789601602,0.0920340856563582,1.1197480421523582,0.012539644847223872,0.9153940738473425,0.027093133537436028,0.6592662494109434,0.27544927116430423,1.1170998219441228,0.09842289936223789,0.7983190726048185,0.4684459483891892,0.9499042842336337,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
7.312233872341342,0.0918877119208281,1.1179671617034086,0.012606131590950344,0.920247606139375,0.027134090019402788,0.6602628571388012,0.2749415948487873,1.115040912442304,0.0985124828888346,0.7990456945427696,0.46898756528269825,0.9510025629343604,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
7.320207955081082,0.09173672164590209,1.1161301133584756,0.012672618334676809,0.9251011384314068,0.027175046501369537,0.6612594648666588,0.27443391853327037,1.1129820029404855,0.0986020664154313,0.7997723164807206,0.4695291821762072,0.9521008416350869,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
7.328182037820821,0.09158573137097607,1.1142930650135423,0.012739105078403274,0.9299546707234388,0.02721600298333629,0.6622560725945165,0.2739262422177535,1.1109230934386671,0.098691649942028,0.8004989384186716,0.4700707990697162,0.9531991203358134,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
7.336156120560561,0.09143474109605006,1.112456016668609,0.012805591822129746,0.9348082030154713,0.02725695946530305,0.6632526803223743,0.2734185659022366,1.1088641839368485,0.09871520424657533,0.80068999,0.4707613534211099,0.9545994111039174,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
7.344130203300301,0.09128375082112405,1.110618968323676,0.012872078565856213,0.9396617353075033,0.027297915947269807,0.664249288050232,0.2729108895867197,1.10680527443503,0.09871520424657533,0.80068999,0.47182538663416584,0.9567570340081697,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
7.35210428604004,0.09110132695829717,1.1083994779926156,0.012938565309582676,0.9445152675995352,0.02733887242923656,0.6652458957780897,0.2724032132712028,1.1047463649332114,0.09871520424657533,0.80068999,0.4728894198472217,0.9589146569124218,1.5182936954141662e-20,0.0005395436074115754,3.32305,0
