r (A),g(r)_weighted_Li-Li,g(r)_unweighted_Li-Li,g(r)_weighted_Be-F,g(r)_unweighted_Be-F,g(r)_weighted_Be-Be,g(r)_unweighted_Be-Be,g(r)_weighted_F-F,g(r)_unweighted_F-F,g(r)_weighted_Be-Li,g(r)_unweighted_Be-Li,g(r)_weighted_Li-F,g(r)_unweighted_Li-F,S_i_Be-F,S_i_Li-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.95931,0
0.009899534601601602,0.0,0.0,-1.5081211446741052e-05,-9.048726868044633e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.95931,0
0.019799069203203203,0.0,0.0,-3.0162422893482104e-05,-0.00018097453736089266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.95931,0
0.029698603804804803,0.0,0.0,-4.524363434022315e-05,-0.00027146180604133895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.95931,0
0.03959813840640641,0.0,0.0,-6.032484578696421e-05,-0.0003619490747217853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.95931,0
0.04949767300800801,0.0,0.0,-7.540605723370526e-05,-0.00045243634340223163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.95931,0
0.059397207609609606,0.0,0.0,-9.04872686804463e-05,-0.0005429236120826779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.95931,0
0.06929674221121121,0.0,0.0,-0.00010556848012718736,-0.0006334108807631243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.95931,0
0.07919627681281281,0.0,0.0,-0.00012064969157392842,-0.0007238981494435706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.95931,0
0.08909581141441442,0.0,0.0,-0.00013573090302066947,-0.000814385418124017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.95931,0
0.09899534601601602,0.0,0.0,-0.00015081211446741052,-0.0009048726868044633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.95931,0
