r (A),g(r)_weighted_K-Na,g(r)_unweighted_K-Na,g(r)_weighted_Na-Zn,g(r)_unweighted_Na-Zn,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,g(r)_weighted_Na-Cl,g(r)_unweighted_Na-Cl,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Zn-Cl,g(r)_unweighted_Zn-Cl,S_i_Na-Cl,S_i_K-Cl,S_i_Zn-Cl,Average_SCL,lambda_BC
0.5577955187987989,0.0,0.0,0.0,0.0,0.0,0.0,-0.00016641069691620267,-0.002174386932684209,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.5777167873273273,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017235393609178133,-0.0022520436088515018,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.5976380558558558,0.0,0.0,0.0,0.0,0.0,0.0,-0.00017829717526736,-0.002329700285018795,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.6175593243843844,0.0,0.0,0.0,0.0,0.0,0.0,-0.00018424041444293867,-0.0024073569611860884,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.6374805929129129,0.0,0.0,0.0,0.0,0.0,0.0,-0.00019018365361851732,-0.0024850136373533813,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.6574018614414414,0.0,0.0,0.0,0.0,0.0,0.0,-0.000196126892794096,-0.0025626703135206747,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.67732312996997,0.0,0.0,0.0,0.0,0.0,0.0,-0.00020207013196967469,-0.002640326989687968,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.6972443984984985,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002080133711452533,-0.002717983665855261,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.717165667027027,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021395661032083197,-0.002795640342022554,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.7370869355555556,0.0,0.0,0.0,0.0,0.0,0.0,-0.00021989984949641068,-0.0028732970181898475,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.7570082040840841,0.0,0.0,0.0,0.0,0.0,0.0,-0.00022584308867198933,-0.0029509536943571404,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.7769294726126126,0.0,0.0,0.0,0.0,0.0,0.0,-0.00023178632784756796,-0.0030286103705244333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.7968507411411412,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002377295670231467,-0.003106267046691727,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.8167720096696697,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.8366932781981982,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.8566145467267268,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.8765358152552553,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
0.8964570837837837,0.0,0.0,0.0,0.0,0.0,0.0,-0.00024147443888983361,-0.003155199,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.70063,0
