r (A),g(r)_weighted_Be-F,g(r)_weighted_Li-F,g(r)_weighted_Be-Li,g(r)_weighted_Li-Li,g(r)_weighted_Be-Be,g(r)_weighted_F-F,S_i_Be-F,S_i_Li-F,Average_SCL,lambda_BC
0.23915948549474736,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.24414197477588792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.24912446405702848,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.2541069533381691,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.2590894426193096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.2640719319004502,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.2690544211815908,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.2740369104627313,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.2790193997438719,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.2840018890250125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.28898437830615303,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.2939668675872936,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.29894935686843416,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.30393184614957475,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.30891433543071534,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.31389682471185587,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.31887931399299646,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.32386180327413705,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.3288442925552776,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.3338267818364182,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.33880927111755876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.3437917603986993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.3487742496798399,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.3537567389609804,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.358739228242121,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.3637217175232616,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.36870420680440213,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.3736866960855427,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.3786691853666833,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.38365167464782385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.38863416392896444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.393616653210105,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.39859914249124556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.40358163177238615,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.40856412105352674,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.4135466103346673,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.41852909961580786,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.4235115888969484,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.428494078178089,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.4334765674592296,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.4384590567403701,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.4434415460215107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.4484240353026513,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
0.4534065245837918,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0348372915386657,1.90187
