r (A),g(r)_weighted_Na-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Ca-Na,g(r)_weighted_Cl-Cl,g(r)_weighted_Ca-Cl,g(r)_weighted_Ca-Ca,S_i_Na-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.681336256722,3.76913
0.007502895592796398,0.0,0.0,0.0,0.0,0.0004916095378122221,0.0,1.0,1.0,2.681336256722,3.76913
0.015005791185592796,0.0,0.0,0.0,0.0,0.0009832190756244442,0.0,1.0,1.0,2.681336256722,3.76913
0.022508686778389193,0.0,0.0,0.0,0.0,0.0014748286134366663,0.0,1.0,1.0,2.681336256722,3.76913
0.03001158237118559,0.0,0.0,0.0,0.0,0.0019664381512488885,0.0,1.0,1.0,2.681336256722,3.76913
0.03751447796398199,0.0,0.0,0.0,0.0,0.002458047689061111,0.0,1.0,1.0,2.681336256722,3.76913
0.04501737355677839,0.0,0.0,0.0,0.0,0.0029496572268733327,0.0,1.0,1.0,2.681336256722,3.76913
0.052520269149574784,0.0,0.0,0.0,0.0,0.003441266764685555,0.0,1.0,1.0,2.681336256722,3.76913
0.06002316474237118,0.0,0.0,0.0,0.0,0.003932876302497777,0.0,1.0,1.0,2.681336256722,3.76913
0.06752606033516759,0.0,0.0,0.0,0.0,0.00442448584031,0.0,1.0,1.0,2.681336256722,3.76913
0.07502895592796398,0.0,0.0,0.0,0.0,0.004916095378122222,0.0,1.0,1.0,2.681336256722,3.76913
0.08253185152076037,0.0,0.0,0.0,0.0005000301968665126,0.005407704915934444,0.0,1.0,1.0,2.681336256722,3.76913
0.09003474711355677,0.0,0.00059628056334217,0.0,0.0023812051915544324,0.005899314453746665,2.5001367191052852e-05,1.0,1.0,2.681336256722,3.76913
0.09753764270635318,0.0,0.0012174419096823018,0.0,0.004262380186242352,0.006390923991558888,9.305594358959381e-05,1.0,1.0,2.681336256722,3.76913
0.10504053829914957,0.0,0.0018386032560224325,0.00012219263394882505,0.006143555180930268,0.00688253352937111,0.00016111051998813464,1.0,1.0,2.681336256722,3.76913
0.11254343389194596,0.0,0.0024597646023625636,0.00025024354270534614,0.008024730175618184,0.007374143067183332,0.00022916509638667545,1.0,1.0,2.681336256722,3.76913
0.12004632948474236,0.0,0.0030809259487026954,0.0003782944514618674,0.009905905170306106,0.007865752604995554,0.0002972196727852164,1.0,1.0,2.681336256722,3.76913
