r (A),g(r)_weighted_Th-Th,g(r)_unweighted_Th-Th,g(r)_weighted_Th-F,g(r)_unweighted_Th-F,g(r)_weighted_F-F,g(r)_unweighted_F-F,S_i_Th-F,Average_SCL,lambda_BC
5.135359080495495,0.02881968837930134,0.6052134559653282,0.20747347738255692,1.0892357562584238,0.7480580177655971,0.9818261483173463,0.009776669845957382,4.22417,0
5.143320877519519,0.02880985174701628,0.6050068866873419,0.2066019515396812,1.0846602455833263,0.7485404572716365,0.9824593501690231,0.009776669845957382,4.22417,0
5.151282674543543,0.028813620128700954,0.60508602270272,0.20573042569680555,1.0800847349082292,0.749022896777676,0.9830925520206998,0.009776669845957382,4.22417,0
5.159244471567567,0.028831326070627765,0.6054578474831831,0.2048588998539298,1.0755092242331314,0.7492330353285975,0.9833683588687843,0.009776669845957382,4.22417,0
5.167206268591592,0.028849032012554576,0.6058296722636461,0.20398737401105407,1.070933713558034,0.748993985333118,0.9830546057497174,0.009776669845957382,4.22417,0
5.175168065615615,0.02886673795448139,0.6062014970441092,0.20311584816817843,1.0663582028829368,0.7487549353376385,0.9827408526306506,0.009776669845957382,4.22417,0
5.18312986263964,0.0288844438964082,0.6065733218245722,0.20224432232530268,1.061782692207839,0.7485158853421591,0.9824270995115838,0.009776669845957382,4.22417,0
5.191091659663663,0.02890214983833501,0.6069451466050353,0.20137279648242704,1.057207181532742,0.7482768353466795,0.982113346392517,0.009776669845957382,4.22417,0
5.199053456687688,0.028919855780261825,0.6073169713854983,0.2005012706395513,1.0526316708576444,0.7480377853512001,0.9817995932734502,0.009776669845957382,4.22417,0
5.207015253711711,0.02899974378977834,0.6089946195853452,0.1996109231870478,1.047957346732001,0.7478263570048324,0.9815220935688425,0.009776669845957382,4.22417,0
5.214977050735736,0.029123685417729427,0.611597393772318,0.1986700198525849,1.0430176042260708,0.7489636117641788,0.9830147404404848,0.009776669845957382,4.22417,0
5.222938847759759,0.029247627045680496,0.6142001679592904,0.1977291165181221,1.0380778617201412,0.7501008665235251,0.9845073873121268,0.009776669845957382,4.22417,0
5.230900644783784,0.02937156867363158,0.6168029421462632,0.1967882131836592,1.0331381192142108,0.7512381212828718,0.9860000341837692,0.009776669845957382,4.22417,0
5.238862441807807,0.02949551030158265,0.6194057163332357,0.19584730984919646,1.0281983767082814,0.7523753760422182,0.9874926810554113,0.009776669845957382,4.22417,0
5.246824238831832,0.029619451929533733,0.6220084905202085,0.19490640651473354,1.023258634202351,0.7535126308015646,0.9889853279270536,0.009776669845957382,4.22417,0
5.254786035855855,0.0297433935574848,0.6246112647071809,0.19396550318027073,1.0183188916964214,0.7546498855609111,0.9904779747986958,0.009776669845957382,4.22417,0
5.26274783287988,0.029879316453493152,0.6274656455233563,0.19302459984580786,1.0133791491904913,0.7557799149767775,0.9919611384070206,0.009776669845957382,4.22417,0
5.270709629903903,0.03002096402337104,0.6304402444907918,0.19208369651134508,1.0084394066845617,0.7565310944321584,0.9929470614422079,0.009776669845957382,4.22417,0
5.278671426927928,0.03016261159324893,0.6334148434582276,0.19114279317688218,1.0034996641786316,0.7572822738875393,0.9939329844773954,0.009776669845957382,4.22417,0
5.286633223951951,0.03030425916312681,0.6363894424256631,0.1902792867533511,0.9989662554550933,0.7580334533429202,0.9949189075125827,0.009776669845957382,4.22417,0
5.294595020975976,0.030445906733004707,0.6393640413930989,0.18957053079914454,0.9952452866955089,0.758784632798301,0.9959048305477701,0.009776669845957382,4.22417,0
5.302556818,0.0305875543028826,0.6423386403605347,0.188861774844938,0.9915243179359245,0.7595358122536819,0.9968907535829575,0.009776669845957382,4.22417,0
5.310518615024024,0.03072920187276048,0.6453132393279701,0.18815301889073152,0.9878033491763406,0.7602869917090628,0.9978766766181449,0.009776669845957382,4.22417,0
5.318480412048048,0.030899558165196458,0.6488907214691256,0.187444262936525,0.9840823804167562,0.7609188199020901,0.9987059511214933,0.009776669845957382,4.22417,0
5.326442209072072,0.031078584965146355,0.6526502842680735,0.18673550698231853,0.9803614116571723,0.7613382852317166,0.9992564993666282,0.009776669845957382,4.22417,0
5.334404006096096,0.031257611765096276,0.6564098470670219,0.18602675102811198,0.9766404428975879,0.7617577505613433,0.9998070476117632,0.009776669845957382,4.22417,0
5.34236580312012,0.03143663856504617,0.6601694098659697,0.1853179950739055,0.972919474138004,0.76217721589097,1.0003575958568982,0.009776669845957382,4.22417,0
5.350327600144144,0.0316156653649961,0.663928972664918,0.18460923911969895,0.9691985053784196,0.7625966812205967,1.000908144102033,0.009776669845957382,4.22417,0
5.358289397168168,0.031794692164945994,0.6676885354638659,0.18390048316549248,0.9654775366188356,0.7630161465502233,1.0014586923471682,0.009776669845957382,4.22417,0
5.366251194192192,0.03197371896489591,0.6714480982628142,0.18321152787272071,0.9618605213317838,0.76343561187985,1.0020092405923031,0.009776669845957382,4.22417,0
5.374212991216216,0.0321679622193052,0.6755272066054092,0.18261694450714225,0.9587389586624968,0.7636840878278626,1.0023353652740696,0.009776669845957382,4.22417,0
5.38217478824024,0.03236469495792721,0.6796585941164714,0.1820223611415637,0.9556173959932095,0.7633644273123672,1.001915810847482,0.009776669845957382,4.22417,0
5.390136585264264,0.0325614276965492,0.6837899816275331,0.18142777777598523,0.9524958333239225,0.7630447667968719,1.0014962564208945,0.009776669845957382,4.22417,0
5.398098382288288,0.032758160435171206,0.6879213691385954,0.18083319441040668,0.9493742706546352,0.7627251062813766,1.0010767019943068,0.009776669845957382,4.22417,0
5.406060179312312,0.03295489317379319,0.692052756649657,0.18023861104482825,0.9462527079853483,0.7624054457658811,1.000657147567719,0.009776669845957382,4.22417,0
5.414021976336336,0.033151625912415196,0.6961841441607192,0.1796440276792497,0.943131145316061,0.762085785250386,1.0002375931411316,0.009776669845957382,4.22417,0
5.42198377336036,0.033348358651037184,0.700315531671781,0.17904944431367123,0.940009582646774,0.7617661247348906,0.9998180387145439,0.009776669845957382,4.22417,0
5.429945570384384,0.033518905077579486,0.7038970066291692,0.1784548609480927,0.9368880199774867,0.761755926422103,0.9998046534290103,0.009776669845957382,4.22417,0
5.437907367408409,0.0336880952283831,0.7074499997960451,0.17786027758251416,0.9337664573081994,0.7623952474647167,1.0006437622974407,0.009776669845957382,4.22417,0
