r (A),g(r)_weighted_Mg-Mg,g(r)_unweighted_Mg-Mg,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,g(r)_weighted_Mg-Cl,g(r)_unweighted_Mg-Cl,S_i_Mg-Cl,Average_SCL,lambda_BC
0.5402388165285285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.5498859382522522,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.5595330599759759,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.5691801816996996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.5788273034234234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.5884744251471471,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.5981215468708708,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.6077686685945946,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.6174157903183183,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.627062912042042,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.6367100337657657,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.6463571554894895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.6560042772132132,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.6656513989369369,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.6752985206606607,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.6849456423843844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.6945927641081081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.7042398858318318,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.7138870075555556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.7235341292792792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.7331812510030029,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.7428283727267266,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.7524754944504504,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.7621226161741741,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.7717697378978978,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.7814168596216216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.7910639813453453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.800711103069069,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.8103582247927927,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.8200053465165165,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.8296524682402402,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.8392995899639639,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.8489467116876876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.8585938334114114,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.8682409551351351,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.8778880768588588,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.8875351985825826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.8971823203063063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.90682944203003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.9164765637537537,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.9261236854774775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.9357708072012011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.9454179289249248,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.9550650506486486,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.9647121723723723,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.974359294096096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.9840064158198197,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.9936535375435435,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.0033006592672673,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.012947780990991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.0225949027147148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.0322420244384383,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.041889146162162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.0515362678858857,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.0611833896096095,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
1.0708305113333332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
