r (A),g(r)_weighted_Na-Cl,g(r)_unweighted_Na-Cl,g(r)_weighted_Na-Na,g(r)_unweighted_Na-Na,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
0.8493287407807808,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
0.864229245005005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
0.8791297492292293,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
0.8940302534534534,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
0.9089307576776777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
0.9238312619019019,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
0.9387317661261262,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
0.9536322703503504,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
0.9685327745745745,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
0.9834332787987988,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
0.998333783023023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.0132342872472473,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.0281347914714716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.0430352956956956,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.05793579991992,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.0728363041441442,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.0877368083683683,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.1026373125925926,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.1175378168168169,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.1324383210410411,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.1473388252652652,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
1.1622393294894895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63223,4.48028
