r (A),g(r)_weighted_Li-Li,g(r)_unweighted_Li-Li,g(r)_weighted_Ca-Li,g(r)_unweighted_Ca-Li,g(r)_weighted_Li-Cl,g(r)_unweighted_Li-Cl,g(r)_weighted_Ca-Ca,g(r)_unweighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_unweighted_Ca-Cl,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,S_i_Li-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.76694,0
0.009900009900009901,-2.3021550867372058e-05,-0.00017759482097687017,3.0593355686060225e-05,0.0005506804023490841,0.00029136205485605826,0.0012102731509405498,1.4233194526323483e-05,0.0005977941701055863,5.279463312643498e-05,0.0005117018287639083,0.0009624219866962802,0.002152636159592864,1.0,1.0,2.76694,0
0.019800019800019802,-4.6043101734744116e-05,-0.00035518964195374033,6.118671137212045e-05,0.0011013608046981681,0.0005827241097121165,0.0024205463018810995,2.8466389052646966e-05,0.0011955883402111726,0.00010558926625286997,0.0010234036575278167,0.0019248439733925604,0.004305272319185728,1.0,1.0,2.76694,0
0.029700029700029704,-6.906465260211617e-05,-0.0005327844629306105,9.17800670581807e-05,0.0016520412070472523,0.0008740861645681748,0.003630819452821649,4.269958357897045e-05,0.001793382510316759,0.00015838389937930498,0.0015351054862917251,0.0028872659600888404,0.0064579084787785915,1.0,1.0,2.76694,0
0.039600039600039605,-9.208620346948823e-05,-0.0007103792839074807,0.0001223734227442409,0.0022027216093963363,0.001165448219424233,0.004841092603762199,5.693277810529393e-05,0.0023911766804223453,0.0002101387082639255,0.002036729018558047,0.003849687946785121,0.008610544638371456,1.0,1.0,2.76694,0
0.049500049500049506,-0.00011510775433686029,-0.0008879741048843509,0.00015296677843030116,0.0027534020117454205,0.0014568102742802912,0.006051365754702749,7.116597263161742e-05,0.0029889708505279316,0.00023473611940557092,0.002275134695777072,0.004812109933481401,0.01076318079796432,1.0,1.0,2.76694,0
0.05940005940005941,-0.00013812930520423235,-0.001065568925861221,0.0001835601341163614,0.0033040824140945046,0.0017481723291363496,0.007261638905643298,8.53991671579409e-05,0.003586765020633518,0.00025933353054721634,0.002513540372996097,0.005774531920177681,0.012915816957557183,1.0,1.0,2.76694,0
0.06930006930006931,-0.0001611508560716044,-0.0012431637468380912,0.0002141534898024216,0.0038547628164435884,0.0017607224034911235,0.00731376998373236,9.963236168426438e-05,0.004184559190739104,0.00028393094168886176,0.002751946050215122,0.006736953906873962,0.015068453117150047,1.0,1.0,2.76694,0
0.07920007920007921,-0.00018417240693897646,-0.0014207585678149613,0.0002447468454884818,0.0044054432187926726,0.0017571871712785169,0.0072990851730030705,0.00011386555621058786,0.0047823533608446905,0.0003085283528305072,0.002990351727434147,0.007699375893570242,0.017221089276742912,1.0,1.0,2.76694,0
0.08910008910008911,-0.00020719395780634855,-0.0015983533887918317,0.00027534020117454203,0.004956123621141757,0.0017536519390659103,0.007284400362273781,0.00012809875073691135,0.005380147530950277,0.0003331257639721526,0.0032287574046531717,0.008417775022447446,0.01882792283127299,1.0,1.0,2.76694,0
0.09900009900009901,-0.00022062107870939116,-0.0017019340357581605,0.0003059335568606023,0.005506804023490841,0.0017501167068533034,0.007269715551544492,0.00014233194526323484,0.005977941701055863,0.000357723175113798,0.003467163081872196,0.00841120959119547,0.01881323802054372,1.0,1.0,2.76694,0
0.10890010890010891,-0.0002225246652854208,-0.0017166188464875318,0.00033652691254666255,0.006057484425839925,0.001746581474640697,0.0072550307408152034,0.00015656513978955832,0.0065757358711614495,0.00038232058625544345,0.0037055687590912215,0.008404644159943495,0.01879855320981445,1.0,1.0,2.76694,0
0.11880011880011881,-0.0002244282518614504,-0.0017313036572169033,0.0003671202682327228,0.006608164828189009,0.0017430462424280902,0.007240345930085914,0.0001707983343158818,0.007173530041267036,0.0004069179973970889,0.003943974436310246,0.008398078728691518,0.018783868399085177,1.0,1.0,2.76694,0
0.1287001287001287,-0.00022633183843748003,-0.0017459884679462746,0.00039771362391878296,0.007158845230538093,0.0017395110102154836,0.007225661119356625,0.00017203955046085932,0.007225661119356092,0.00042461397152010515,0.004115489262425635,0.008391513297439543,0.018769183588355907,1.0,1.0,2.76694,0
0.13860013860013862,-0.00022823542501350963,-0.0017606732786756459,0.0003748909805769804,0.0067480376503856465,0.0017359757780028772,0.007210976308627336,0.00017168991211016196,0.007210976308626803,0.00042309887200041866,0.004100804451696366,0.00838494786618757,0.018754498777626638,1.0,1.0,2.76694,0
0.14850014850014853,-0.00023013901158953928,-0.0017753580894050173,0.0003449094920046393,0.006208370856083507,0.0017324405457902704,0.007196291497898047,0.0001713402737594646,0.0071962914978975145,0.00042158377248073206,0.004086119640967095,0.008378382434935595,0.01873981396689737,1.0,1.0,2.76694,0
0.15840015840015842,-0.00023204259816556887,-0.0017900429001343886,0.00031492800343229825,0.005668704061781368,0.0017289053135776638,0.007181606687168758,0.00017099063540876726,0.007181606687168225,0.00042006867296104545,0.004071434830237825,0.008371817003683618,0.018725129156168096,1.0,1.0,2.76694,0
0.1683001683001683,-0.0002339461847415985,-0.00180472771086376,0.00028494651485995725,0.00512903726747923,0.0017253700813650492,0.0071669218764394355,0.0001706409970580699,0.007166921876438936,0.0004185535734413588,0.004056750019508555,0.008365251572431643,0.018710444345438827,1.0,1.0,2.76694,0
0.17820017820017822,-0.00023584977131762812,-0.0018194125215931314,0.00025496502628761614,0.00458937047317709,0.001721834849152433,0.007152237065710107,0.00017029135870737255,0.0071522370657096474,0.0004170384739216722,0.004042065208779285,0.008358686141179647,0.01869575953470951,1.0,1.0,2.76694,0
0.18810018810018814,-0.0002377533578936488,-0.0018340973323224337,0.00022498353771527503,0.00404970367887495,0.0017182996169398171,0.007137552254980779,0.0001699417203566752,0.007137552254980358,0.0004155233744019856,0.0040273803980500145,0.008352120709927626,0.01868107472398014,1.0,1.0,2.76694,0
0.19800019800019802,-0.00023965694446966527,-0.0018487821430517037,0.000195002049142934,0.003510036884572812,0.0017147643847272012,0.007122867444251451,0.0001695920820059778,0.007122867444251069,0.000414008274882299,0.004012695587320744,0.008345555278675604,0.018666389913250765,1.0,1.0,2.76694,0
0.2079002079002079,-0.00024156053104568178,-0.0018634669537809737,0.000165020560570593,0.0029703700902706737,0.001711229152514585,0.007108182633522123,0.00016924244365528049,0.00710818263352178,0.00041249317536261245,0.003998010776591475,0.008338989847423584,0.018651705102521395,1.0,1.0,2.76694,0
0.21780021780021783,-0.00024346411762169828,-0.001878151764510244,0.0001350390719982519,0.0024307032959685337,0.0017076939203019689,0.007093497822792795,0.0001688928053045831,0.007093497822792491,0.00041097807584292064,0.003983325965862154,0.008332424416171564,0.018637020291792022,1.0,1.0,2.76694,0
0.22770022770022774,-0.0002453677041977148,-0.0018928365752395142,0.00010505758342591077,0.0018910365016663938,0.001704158688089353,0.007078813012063466,0.00016854316695388526,0.007078813012063182,0.0004094629763232237,0.0039686411551327835,0.008325858984919544,0.018622335481062652,1.0,1.0,2.76694,0
0.23760023760023763,-0.0002472712907737313,-0.0019075213859687842,7.507609485356975e-05,0.0013513697073642555,0.001700623455876737,0.007064128201334139,0.0001681935286031873,0.007064128201333867,0.00040794787680352657,0.003953956344403412,0.008319293553667523,0.018607650670333282,1.0,1.0,2.76694,0
0.24750024750024752,-0.00024917487734974777,-0.0019222061966980542,4.5094606281228745e-05,0.0008117029130621173,0.0016970882236641209,0.0070494433906048105,0.00016784389025248936,0.007049443390604554,0.0004064327772838295,0.00393927153367404,0.008312728122415501,0.01859296585960391,1.0,1.0,2.76694,0
0.2574002574002574,-0.00025107846392576424,-0.0019368910074273244,1.5113117708887727e-05,0.0002720361187599791,0.001693552991451505,0.007034758579875482,0.0001674942519017914,0.007034758579875239,0.0004049176777641325,0.003924586722944669,0.008306162691163481,0.01857828104887454,1.0,1.0,2.76694,0
0.26730026730026735,-0.0002529820505017807,-0.0019515758181565944,-1.486837086345348e-05,-0.0002676306755421626,0.0016900177592388888,0.007020073769146154,0.00016714461355109343,0.007020073769145925,0.00040340257824443543,0.003909901912215298,0.008299597259911494,0.018563596238145238,1.0,1.0,2.76694,0
0.27720027720027723,-0.0002548856370778092,-0.001966260628885957,2.831585031804172e-06,5.096853057247509e-05,0.0016864825270262727,0.0070053889584168255,0.00016679497520039548,0.00700538895841661,0.0004018874787247384,0.0038952171014859263,0.008293031828659519,0.01854891142741597,1.0,1.0,2.76694,0
0.2871002871002871,-0.00025678922365383883,-0.001980945439615328,3.6042372259896396e-05,0.0006487627006781351,0.0016829472948136567,0.006990704147687498,0.00016644533684969753,0.006990704147687297,0.00040037237920504136,0.003880532290756555,0.008286466397407544,0.0185342266166867,1.0,1.0,2.76694,0
0.29700029700029706,-0.0002586928102298684,-0.0019956302503446994,6.92531594879888e-05,0.0012465568707837984,0.0016794120626010408,0.00697601933695817,0.00016609569849899958,0.006976019336957982,0.0003988572796853443,0.0038658474800271833,0.008279900966155567,0.018519541805957426,1.0,1.0,2.76694,0
0.30690030690030695,-0.000260596396805898,-0.0020103150610740706,0.00010246394671608102,0.0018443510408894582,0.0016758768303884247,0.006961334526228841,0.0001657460601483016,0.006961334526228668,0.00039734218016565477,0.003851162669297885,0.008273335534903592,0.018504856995228157,1.0,1.0,2.76694,0
0.31680031680031684,-0.00026249998338192767,-0.002024999871803442,0.00013567473394417325,0.0024421452109951182,0.0016723415981758085,0.006946649715499513,0.00016539642179760365,0.006946649715499354,0.0003958270806459682,0.003836477858568615,0.008266770103651616,0.018490172184498888,1.0,1.0,2.76694,0
0.3267003267003267,-0.00026440356995795726,-0.002039684682532813,0.00016888552117226547,0.0030399393811007783,0.0016688063659631926,0.006931964904770185,0.0001650467834469057,0.00693196490477004,0.0003943119811262816,0.003821793047839345,0.008260204672399641,0.018475487373769618,1.0,1.0,2.76694,0
0.3366003366003366,-0.00026630715653398686,-0.0020543694932621845,0.00020209630840035769,0.003637733551206438,0.0016652711337505764,0.006917280094040856,0.00016469714509620773,0.006917280094040725,0.00039279688160659496,0.0038071082371100746,0.008253639241147668,0.01846080256304035,1.0,1.0,2.76694,0
0.34650034650034656,-0.0002682107431100165,-0.002069054303991556,0.0002353070956284501,0.004235527721312101,0.001661735901537963,0.006902595283311538,0.0001643475067455098,0.006902595283311412,0.00039128178208690836,0.0037924234263808044,0.008247073809895691,0.018446117752311076,1.0,1.0,2.76694,0
0.35640035640035644,-0.0002701143296860443,-0.0020837391147209136,0.00026851788285654234,0.0048333218914177615,0.0016582006693253502,0.006887910472582224,0.00016399786839481182,0.006887910472582097,0.0003897666825672218,0.0037777386156515346,0.008240508378643674,0.018431432941581713,1.0,1.0,2.76694,0
0.36630036630036633,-0.00027201791626206085,-0.002098423925450184,0.00030172867008463456,0.0054311160615234215,0.0016546654371127373,0.0068732256618529095,0.00016364823004411387,0.006873225661852783,0.0003882515830475352,0.0037630538049222644,0.008233942947391652,0.01841674813085234,1.0,1.0,2.76694,0
0.3762003762003763,-0.0002739215028380774,-0.002113108736179454,0.000334939457312727,0.006028910231629085,0.0016511302049001249,0.006858540851123596,0.0001632985916934159,0.006858540851123468,0.00038673648352784856,0.003748368994192994,0.008227377516139632,0.01840206332012297,1.0,1.0,2.76694,0
0.38610038610038616,-0.0002758250894140938,-0.002127793546908724,0.0003681502445408192,0.006626704401734745,0.0016475949726875122,0.006843856040394281,0.00016294895334271797,0.006843856040394155,0.000385221384008162,0.0037336841834637244,0.008220812084887612,0.0183873785093936,1.0,1.0,2.76694,0
0.39600039600039605,-0.00027772867599011033,-0.002142478357637994,0.00037939840164805995,0.006829171229665079,0.0016440597404748993,0.006829171229664967,0.00016259931499202,0.00682917122966484,0.00038370628448846554,0.0037189993727343583,0.008214246653635592,0.018372693698664226,1.0,1.0,2.76694,0
0.40590040590040594,-0.0002796322625661268,-0.0021571631683672643,0.00037858257882976345,0.006814486418935742,0.0016405245082622868,0.006814486418935653,0.00016224967664132204,0.006814486418935526,0.0003821911849687685,0.003704314562004987,0.008207681222383571,0.018358008887934856,1.0,1.0,2.76694,0
0.4158004158004158,-0.0002815358491421433,-0.002171847979096534,0.00037776675601146695,0.006799801608206405,0.0016369892760496742,0.006799801608206339,0.0001619000382906241,0.006799801608206212,0.00038067608544907147,0.0036896297512756158,0.008201115791131551,0.018343324077205486,1.0,1.0,2.76694,0
0.42570042570042577,-0.0002834394357181598,-0.0021865327898258043,0.00037695093319317044,0.006785116797477068,0.0016334540438370613,0.006785116797477024,0.00016155039993992612,0.006785116797476898,0.00037916098592937435,0.003674944940546244,0.008194550359879529,0.018328639266476113,1.0,1.0,2.76694,0
0.43560043560043565,-0.0002853430222941763,-0.0022012176005550745,0.00037613511037487394,0.006770431986747731,0.0016299188116244486,0.00677043198674771,0.00016120076158922833,0.00677043198674759,0.00037764588640967734,0.0036602601298168728,0.008187984928627516,0.018313954455746757,1.0,1.0,2.76694,0
0.44550044550044554,-0.00028724660887019277,-0.0022159024112843443,0.00037531928755657744,0.006755747176018394,0.0016263835794118361,0.006755747176018396,0.00016085112323853062,0.006755747176018286,0.0003761307868899803,0.0036455753190875015,0.00818141949737554,0.018299269645017487,1.0,1.0,2.76694,0
0.4554004554004555,-0.0002891501954462093,-0.0022305872220136145,0.00037450346473828094,0.006741062365289057,0.0016228483471992232,0.006741062365289082,0.0001605014848878329,0.006741062365288982,0.00037461568737028327,0.0036308905083581302,0.008174854066123567,0.018284584834288218,1.0,1.0,2.76694,0
0.46530046530046537,-0.0002910537820222258,-0.0022452720327428848,0.00037368764191998444,0.00672637755455972,0.0016193131149866106,0.006726377554559767,0.0001601518465371352,0.006726377554559679,0.0003731005878505862,0.003616205697628759,0.008168288634871592,0.01826990002355895,1.0,1.0,2.76694,0
0.47520047520047526,-0.0002929573685982423,-0.002259956843472155,0.00037287181910168794,0.006711692743830383,0.001615777882773998,0.006711692743830454,0.00015980220818643748,0.006711692743830375,0.000371585488330891,0.003601520886899405,0.008161723203619617,0.01825521521282968,1.0,1.0,2.76694,0
0.48510048510048515,-0.00029486095517425873,-0.002274641654201425,0.00037205599628339144,0.006697007933101046,0.0016122426505613902,0.006697007933101159,0.0001594525698357398,0.006697007933101072,0.0003700703888112044,0.003586836076170135,0.00815515777236764,0.018240530402100406,1.0,1.0,2.76694,0
0.49500049500049503,-0.00029676454175027526,-0.002289326464930695,0.00037124017346509494,0.006682323122371709,0.0016087074183487858,0.0066823231223718796,0.0001591029314850421,0.006682323122371768,0.0003685552892915178,0.003572151265440865,0.008148592341115665,0.018225845591371137,1.0,1.0,2.76694,0
0.504900504900505,-0.0002986681283262918,-0.0023040112756599652,0.0003704243506467999,0.006667638311642398,0.0016051721861361815,0.006667638311642601,0.00015875329313434436,0.006667638311642464,0.0003670401897718312,0.0035574664547115948,0.00814202690986369,0.018211160780641868,1.0,1.0,2.76694,0
0.5148005148005148,-0.0003005717149023082,-0.002318696086389235,0.0003696085278285061,0.006652953500913109,0.001601636953923577,0.006652953500913321,0.00015840365478364668,0.00665295350091316,0.0003655250902521446,0.0035427816439823246,0.008135461478611715,0.0181964759699126,1.0,1.0,2.76694,0
0.5247005247005248,-0.00030247530147832475,-0.0023333808971185053,0.00036879270501021227,0.00663826869018382,0.0015981017217109729,0.006638268690184042,0.00015805401643294894,0.006638268690183856,0.00036400999073245803,0.0035280968332530548,0.008128896047359741,0.01818179115918333,1.0,1.0,2.76694,0
0.5346005346005347,-0.00030437888805434903,-0.0023480657078478353,0.00036797688219191837,0.006623583879454531,0.0015945664894983687,0.006623583879454762,0.00015770437808225124,0.006623583879454552,0.0003624948912127714,0.0035134120225237845,0.008122330616107764,0.018167106348454056,1.0,1.0,2.76694,0
0.5445005445005445,-0.0003062824746303786,-0.0023627505185772066,0.0003671610593736246,0.006608899068725242,0.0015910312572857644,0.006608899068725483,0.00015735473973155353,0.006608899068725249,0.0003609797916930848,0.0034987272117945143,0.00811576518485579,0.018152421537724787,1.0,1.0,2.76694,0
0.5544005544005545,-0.0003081860612064082,-0.002377435329306578,0.00036634523655533073,0.006594214257995953,0.0015874960250731602,0.006594214257996204,0.00015700510138085588,0.006594214257995948,0.0003594646921733982,0.003484042401065244,0.008109199753603814,0.018137736726995517,1.0,1.0,2.76694,0
0.5643005643005644,-0.00031008964778243787,-0.0023921201400359496,0.0003655294137370369,0.006579529447266664,0.0015839607928605558,0.006579529447266925,0.00015665546303015828,0.006579529447266648,0.0003579495926537116,0.0034693575903359743,0.008102634322351839,0.018123051916266248,1.0,1.0,2.76694,0
