r (A),g(r)_weighted_Li-Cl,g(r)_unweighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Ce-Cl,g(r)_unweighted_Ce-Cl,S_i_Li-Cl,S_i_K-Cl,S_i_Ce-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.006965772814814815,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.01393154562962963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.020897318444444445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.02786309125925926,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.034828864074074074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.04179463688888889,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.048760409703703704,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.05572618251851852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.06269195533333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.06965772814814815,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.07662350096296297,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.08358927377777778,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.09055504659259259,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.09752081940740741,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.10448659222222223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.11145236503703704,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.11841813785185185,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.12538391066666665,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.1323496834814815,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.1393154562962963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.1462812291111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.15324700192592594,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.16021277474074075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.16717854755555556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.17414432037037036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.18111009318518517,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.188075866,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.19504163881481482,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.20200741162962962,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.20897318444444446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.21593895725925927,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.22290473007407408,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.22987050288888888,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.2368362757037037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.24380204851851853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.2507678213333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.25773359414814817,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.264699366962963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.2716651397777778,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.2786309125925926,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.2855966854074074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.2925624582222222,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.299528231037037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.3064940038518519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.3134597766666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.3204255494814815,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.3273913222962963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.3343570951111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.3413228679259259,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.34828864074074073,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.35525441355555554,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.36222018637037035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.3691859591851852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.376151732,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.3831175048148148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.39008327762962963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.39704905044444444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.40401482325925925,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.41098059607407406,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.4179463688888889,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.4249121417037037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.43187791451851854,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.43884368733333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.44580946014814815,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.45277523296296296,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.45974100577777777,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.4667067785925926,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.4736725514074074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.48063832422222225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.48760409703703705,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.49456986985185186,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.5015356426666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.5085014154814815,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.5154671882962963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.5224329611111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.529398733925926,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.5363645067407408,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.5433302795555556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.5502960523703704,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.5572618251851852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.564227598,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.5711933708148148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.5781591436296296,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.5851249164444444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.5920906892592592,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.599056462074074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.6060222348888888,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.6129880077037038,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.6199537805185186,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.6269195533333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.6338853261481482,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.640851098962963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.6478168717777778,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.6547826445925926,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.6617484174074074,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.6687141902222222,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.675679963037037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.6826457358518518,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.6896115086666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.6965772814814815,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.7035430542962963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.7105088271111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.7174745999259259,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.7244403727407407,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.7314061455555556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.7383719183703704,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.7453376911851852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.752303464,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.7592692368148148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.7662350096296296,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.7732007824444445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.7801665552592593,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.7871323280740741,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.7940981008888889,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.8010638737037037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.8080296465185185,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.8149954193333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.8219611921481481,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.8289269649629629,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.8358927377777778,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
0.8428585105925926,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.8225,0
