r (A),g(r)_weighted_Mg-Cl,g(r)_unweighted_Mg-Cl,g(r)_weighted_Mg-Mg,g(r)_unweighted_Mg-Mg,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,S_i_Mg-Cl,Average_SCL,lambda_BC
0.6124310342342342,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.6233673027027027,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.6343035711711711,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.6452398396396396,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.6561761081081081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.6671123765765765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.678048645045045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.6889849135135134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.6999211819819819,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.7108574504504505,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.7217937189189189,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.7327299873873874,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.7436662558558558,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.7546025243243243,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.7655387927927928,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.7764750612612612,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.7874113297297297,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.7983475981981981,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.8092838666666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.8202201351351351,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.8311564036036035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.8420926720720721,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
0.8530289405405405,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.53692,4.76796
