r (A),g(r)_weighted_K-K,g(r)_unweighted_K-K,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Ca-K,g(r)_unweighted_Ca-K,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,g(r)_weighted_Ca-Cl,g(r)_unweighted_Ca-Cl,g(r)_weighted_Ca-Ca,g(r)_unweighted_Ca-Ca,S_i_K-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.00596,0
0.014808978058058057,0.001747306002819505,0.012618819141660046,0.00067877261752499,0.002745430664277156,0.00022527580412531683,0.00414228171238642,0.0017984664118572515,0.004074036507974521,0.000447684782375817,0.004610349336848235,8.768677419600285e-05,0.004105201817022284,1.0,1.0,4.00596,0
0.029617956116116114,0.00349461200563901,0.025237638283320093,0.00135754523504998,0.005490861328554312,0.00045055160825063366,0.00828456342477284,0.003596932823714503,0.008148073015949041,0.000895369564751634,0.00922069867369647,0.0001753735483920057,0.008210403634044568,1.0,1.0,4.00596,0
0.04442693417417417,0.003797199458342585,0.02742288593544325,0.0020363178525749704,0.008236291992831468,0.0006758274123759505,0.01242684513715926,0.005395399235571754,0.012222109523923561,0.001343054347127451,0.013831048010544703,0.00026306032258800857,0.012315605451066853,1.0,1.0,4.00596,0
0.05923591223223223,0.003773981449935177,0.027255208465984636,0.00271509047009996,0.010981722657108624,0.0009011032165012673,0.01656912684954568,0.007193865647429006,0.016296146031898082,0.001790739129503268,0.01844139734739294,0.0003507470967840114,0.016420807268089137,1.0,1.0,4.00596,0
0.07404489029029028,0.0037507634415277695,0.027087530996526023,0.0033938630876249503,0.01372715332138578,0.001126379020626584,0.0207114085619321,0.008992332059286257,0.0203701825398726,0.002238423911879085,0.023051746684241172,0.0004384338709800143,0.020526009085111423,1.0,1.0,4.00596,0
0.08885386834834834,0.0037275454331203617,0.026919853527067408,0.004072635705149941,0.016472583985662936,0.001351654824751901,0.02485369027431852,0.010790798471143509,0.024444219047847122,0.002686108694254902,0.027662096021089405,0.0005261206451760171,0.024631210902133705,1.0,1.0,4.00596,0
0.1036628464064064,0.0037043274247129535,0.026752176057608792,0.004751408322674931,0.019218014649940093,0.001576930628877218,0.028995971986704942,0.01258926488300076,0.02851825555582164,0.003133793476630719,0.03227244535793764,0.0006138074193720199,0.02873641271915599,1.0,1.0,4.00596,0
0.11847182446446446,0.003681109416305546,0.02658449858815018,0.005003122739412481,0.020236123602053895,0.0018022064330025346,0.03313825369909136,0.014387731294858012,0.032592292063796165,0.003581478259006536,0.03688279469478588,0.0006487392726668571,0.03037180538735222,1.0,1.0,4.00596,0
0.1332808025225225,0.003657891407898138,0.026416821118691564,0.004936250651534207,0.019965646161000536,0.0020274822371278514,0.03728053541147778,0.016186197706715262,0.03666632857177068,0.004029163041382353,0.04149314403163411,0.0006429441745723127,0.030100498255282687,1.0,1.0,4.00596,0
0.14808978058058056,0.00363467339949073,0.026249143649232948,0.004869378563655933,0.019695168719947174,0.002252758041253168,0.0414228171238642,0.017984664118572514,0.0407403650797452,0.00447684782375817,0.046103493368482344,0.0006371490764777682,0.029829191123213153,1.0,1.0,4.00596,0
0.16289875863863862,0.003611455391083322,0.026081466179774332,0.004802506475777659,0.019424691278893815,0.0024780338453784852,0.04556509883625062,0.019783130530429766,0.044814401587719724,0.004924532606133987,0.05071384270533058,0.0006313539783832237,0.02955788399114362,1.0,1.0,4.00596,0
0.17770773669669668,0.0035882373826759146,0.02591378871031572,0.004735634387899385,0.019154213837840457,0.002703309649503802,0.04970738054863704,0.021581596942287017,0.048888438095694244,0.005372217388509804,0.05532419204217881,0.0006255588802886792,0.029286576859074084,1.0,1.0,4.00596,0
0.19251671475475474,0.0035697350099779556,0.025780166955230815,0.004668762300021112,0.018883736396787098,0.0028577632970124777,0.05254741266824569,0.02277603989390289,0.05159419015171994,0.005680655822580177,0.058500554040521485,0.0006197637821941348,0.029015269727004554,1.0,1.0,4.00596,0
0.2073256928128128,0.003566164914178352,0.025754384182699326,0.004601890212142837,0.018613258955733736,0.0028542501925015065,0.05248281510249289,0.022752172215881866,0.05154012309159741,0.005676441858084611,0.05845715777336553,0.0006139686840995903,0.02874396259493502,1.0,1.0,4.00596,0
0.22213467087087085,0.0035625948183787477,0.025728601410167834,0.004535018124264563,0.018342781514680377,0.002850737087990535,0.05241821753674009,0.02272830453786084,0.051486056031474874,0.005672227893589043,0.05841376150620956,0.0006081735860050459,0.028472655462865485,1.0,1.0,4.00596,0
0.2369436489289289,0.003559024722579144,0.025702818637636345,0.00446814603638629,0.01807230407362702,0.0028472239834795633,0.052353619970987295,0.022704436859839812,0.05143198897135234,0.005668013929093477,0.058370365239053604,0.0006023784879105014,0.02820134833079595,1.0,1.0,4.00596,0
0.25175262698698697,0.0035554546267795397,0.025677035865104853,0.004401273948508016,0.01780182663257366,0.0028437108789685916,0.052289022405234496,0.022680569181818787,0.05137792191122981,0.005663799964597909,0.05832696897189764,0.0005965833898159569,0.027930041198726416,1.0,1.0,4.00596,0
0.266561605045045,0.003551884530979936,0.025651253092573365,0.004334401860629742,0.0175313491915203,0.00284019777445762,0.0522244248394817,0.02265670150379776,0.05132385485110727,0.005659586000102343,0.05828357270474168,0.0005907882917214125,0.027658734066656886,1.0,1.0,4.00596,0
0.2813705831031031,0.0035483144351803318,0.025625470320041872,0.004326169231470127,0.017498050687781534,0.0028366846699466484,0.0521598272737289,0.02263283382577673,0.05126978779098473,0.005655372035606775,0.058240176437585715,0.0005899496311151716,0.027619470778935645,1.0,1.0,4.00596,0
0.2961795611611611,0.0035447443393807274,0.02559968754751038,0.004318148788676291,0.017465610413942012,0.0028331715654356772,0.0520952297079761,0.022608966147755705,0.0512157207308622,0.005651158071111209,0.05819678017042976,0.0005892536608923299,0.02758688777825396,1.0,1.0,4.00596,0
0.3109885392192192,0.003541174243581124,0.02557390477497889,0.0043101283458824545,0.01743317014010249,0.0028296584609247056,0.0520306321422233,0.022585098469734676,0.05116165367073967,0.005646944106615641,0.05815338390327379,0.0005885576906694883,0.027554304777572276,1.0,1.0,4.00596,0
0.32579751727727724,0.0035376041477815194,0.0255481220024474,0.004302107903088616,0.017400729866262964,0.002826145356413734,0.051966034576470505,0.02256123079171365,0.05110758661061714,0.005642730142120074,0.05810998763611783,0.0005878617204466466,0.027521721776890593,1.0,1.0,4.00596,0
0.3406064953353353,0.003534034051981916,0.02552233922991591,0.00429408746029478,0.017368289592423442,0.0028226322519027624,0.051901437010717706,0.022537363113692626,0.0510535195504946,0.005638516177624507,0.05806659136896187,0.0005871657502238049,0.027489138776208906,1.0,1.0,4.00596,0
0.35541547339339336,0.0035304639561823115,0.02549655645738442,0.004286067017500944,0.01733584931858392,0.0028191191511278196,0.05183683951366152,0.022513495404432707,0.05099945241960712,0.005634302213109239,0.058023195101603024,0.0005864697800009632,0.027456555775527223,1.0,1.0,4.00596,0
0.37022445145145144,0.003526893860382708,0.02547077368485293,0.004278046574707106,0.017303409044744398,0.0028156060517559108,0.05177224204240376,0.022489627684697297,0.05094538526498967,0.005630088248586767,0.05797979883416998,0.0005857738097781216,0.02742397277484554,1.0,1.0,4.00596,0
0.3850334295095095,0.0035233237645831035,0.025444990912321438,0.00427002613191327,0.017270968770904876,0.0028120929523840024,0.051707644571146,0.022465759964961883,0.05089131811037222,0.005625874284064294,0.05793640256673694,0.0005850778395552799,0.027391389774163857,1.0,1.0,4.00596,0
0.39984240756756756,0.0035197536687835,0.02541920813978995,0.0042620056891194335,0.017238528497065354,0.002808579853012094,0.05164304709988825,0.02244189224522647,0.050837250955754774,0.005621660319541821,0.0578930062993039,0.0005843818693324382,0.02735880677348217,1.0,1.0,4.00596,0
0.4146513856256256,0.0035161835729838956,0.025393425367258457,0.004253985246325596,0.01720608822322583,0.002805066753640185,0.051578449628630486,0.022418024525491062,0.05078318380113733,0.005617446355019348,0.057849610031870856,0.0005836858991095966,0.027326223772800487,1.0,1.0,4.00596,0
0.4294603636836837,0.003512613477184292,0.02536764259472697,0.004245964803531759,0.017173647949386306,0.0028015536542682767,0.05151385215737273,0.022394156805755648,0.050729116646519884,0.0056132323904968745,0.05780621376443781,0.0005829899288884381,0.027293640772197605,1.0,1.0,4.00596,0
0.4442693417417417,0.0035090433813846876,0.025341859822195476,0.004237944360737923,0.017141207675546784,0.002798040554896368,0.05144925468611497,0.022370289086020238,0.050675049491902435,0.005609018425974402,0.057762817497004765,0.0005822939586700331,0.02726105777172363,1.0,1.0,4.00596,0
0.4590783197997998,0.0035054732855850836,0.025316077049663988,0.004229923917944086,0.01710876740170726,0.002794527455524459,0.051384657214857216,0.022346421366284827,0.05062098233728499,0.005604804461451929,0.05771942122957172,0.0005815979884516282,0.02722847477124966,1.0,1.0,4.00596,0
0.4738872978578578,0.0035019031897854797,0.025290294277132495,0.004221903475150249,0.01707632712786774,0.0027910143561525502,0.051320059743599454,0.022322553646549413,0.050566915182667545,0.005600590496929457,0.05767602496213868,0.0005809020182332232,0.02719589177077569,1.0,1.0,4.00596,0
0.48869627591591586,0.0034983330939858757,0.025264511504601007,0.0042138830323564126,0.017043886854028217,0.002787501256780642,0.0512554622723417,0.022298685926814003,0.050512848028050096,0.005596376532406984,0.05763262869470564,0.0005802060480148182,0.027163308770301715,1.0,1.0,4.00596,0
0.5035052539739739,0.0034947629981862717,0.025238728732069515,0.004205862589562576,0.017011446580188695,0.002783988157408733,0.05119086480108394,0.022274818214015505,0.05045878088914673,0.005592162567884511,0.05758923242727259,0.0005795100777964133,0.027130725769827745,1.0,1.0,4.00596,0
0.518314232032032,0.0034911929023866677,0.025212945959538026,0.004197842146768739,0.016979006306349173,0.0027804750580368246,0.05112626732982618,0.02225095053599448,0.0504047138290242,0.005587948603362038,0.05754583615983955,0.0005788141075780083,0.027098142769353774,1.0,1.0,4.00596,0
0.53312321009009,0.0034876228065870638,0.025187163187006534,0.004189821703974902,0.016946566032509647,0.0027769619586649158,0.05106166985856842,0.02222708285797345,0.05035064676890166,0.005583734638839565,0.057502439892406505,0.0005781181373596034,0.0270655597688798,1.0,1.0,4.00596,0
