r (A),g(r)_weighted_Na-F,g(r)_unweighted_Na-F,g(r)_weighted_Na-Na,g(r)_unweighted_Na-Na,g(r)_weighted_F-F,g(r)_unweighted_F-F,S_i_Na-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.012745851723292269,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.025491703446584538,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.038237555169876807,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.050983406893169075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.06372925861646134,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.07647511033975361,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.08922096206304589,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.10196681378633815,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.11471266550963041,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.12745851723292267,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.14020436895621496,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.15295022067950723,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.1656960724027995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.17844192412609178,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.19118777584938404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.2039336275726763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.21667947929596856,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.22942533101926083,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.24217118274255311,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.25491703446584535,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.26766288618913764,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.28040873791242993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.29315458963572216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.30590044135901445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.31864629308230674,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.331392144805599,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.34413799652889127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.35688384825218356,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.3696296999754758,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.3823755516987681,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.3951214034220603,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.4078672551453526,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.4206131068686449,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.4333589585919371,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.4461048103152294,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.45885066203852165,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.47159651376181394,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.48434236548510623,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.49708821720839846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.5098340689316907,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.522579920654983,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.5353257723782753,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.5480716241015675,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.5608174758248599,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.5735633275481521,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.5863091792714443,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.5990550309947367,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.6118008827180289,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.6245467344413211,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.6372925861646135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.6500384378879057,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.662784289611198,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.6755301413344903,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.6882759930577825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.7010218447810748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.7137676965043671,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.7265135482276593,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.7392593999509516,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.7520052516742438,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.7647511033975362,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.7774969551208284,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.7902428068441206,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.802988658567413,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.8157345102907052,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.8284803620139974,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.8412262137372898,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.853972065460582,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.8667179171838743,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.8794637689071666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.8922096206304588,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.9049554723537511,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.9177013240770433,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.9304471758003356,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.9431930275236279,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.9559388792469201,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.9686847309702125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.9814305826935047,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
0.9941764344167969,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.0069222861400893,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.0196681378633814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.0324139895866737,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.045159841309966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.0579056930332582,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.0706515447565506,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.083397396479843,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.096143248203135,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.1088890999264274,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.1216349516497197,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.1343808033730118,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.1471266550963042,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.1598725068195965,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.1726183585428887,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.185364210266181,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.1981100619894733,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.2108559137127655,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.2236017654360578,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.2363476171593502,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.2490934688826423,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.2618393206059346,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.274585172329227,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.287331024052519,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.3000768757758114,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.3128227274991038,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.325568579222396,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.3383144309456882,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.3510602826689806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.3638061343922727,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.376551986115565,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.3892978378388574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.4020436895621495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.4147895412854419,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.4275353930087342,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.4402812447320263,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
1.4530270964553187,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.9325,5.22361
