r (A),g(r)_weighted_Th-F,g(r)_unweighted_Th-F,g(r)_weighted_Th-Th,g(r)_unweighted_Th-Th,g(r)_weighted_F-F,g(r)_unweighted_F-F,S_i_Th-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.007961797024024024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.015923594048048047,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.02388539107207207,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.031847188096096095,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.03980898512012012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.04777078214414414,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.055732579168168164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.06369437619219219,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.07165617321621622,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.07961797024024024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.08757976726426427,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.09554156428828828,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.1035033613123123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.11146515833633633,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.11942695536036035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.12738875238438438,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.1353505494084084,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.14331234643243243,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.15127414345645646,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.15923594048048048,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.1671977375045045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.17515953452852853,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.18312133155255256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.19108312857657656,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.19904492560060058,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.2070067226246246,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.21496851964864863,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.22293031667267266,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.23089211369669668,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.2388539107207207,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.24681570774474473,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.25477750476876876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.26273930179279276,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.2707010988168168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.2786628958408408,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.28662469286486486,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.29458648988888886,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.3025482869129129,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.3105100839369369,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.31847188096096096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.32643367798498496,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.334395475009009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.342357272033033,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.35031906905705706,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.35828086608108106,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.3662426631051051,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.3742044601291291,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.3821662571531531,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.39012805417717716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.39808985120120116,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
0.4060516482252252,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.63732,0
