r (A),g(r)_weighted_K-F,g(r)_weighted_K-K,g(r)_weighted_F-F,S_i_K-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.007486542067525664,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.014973084135051329,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.022459626202576993,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.029946168270102658,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.03743271033762832,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.04491925240515399,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.05240579447267965,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.059892336540205315,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.06737887860773098,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.07486542067525664,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.08235196274278231,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.08983850481030797,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.09732504687783364,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.1048115889453593,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.11229813101288497,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.11978467308041063,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.1272712151479363,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.13475775721546196,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.14224429928298762,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.1497308413505133,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.15721738341803895,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.16470392548556462,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.17219046755309028,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.17967700962061595,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.1871635516881416,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.19465009375566728,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.20213663582319294,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.2096231778907186,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.21710971995824427,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.22459626202576993,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.2320828040932956,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.23956934616082126,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.24705588822834693,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.2545424302958726,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.2620289723633983,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.2695155144309239,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.27700205649844956,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.28448859856597525,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.29197514063350094,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.2994616827010266,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.3069482247685522,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.3144347668360779,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.3219213089036036,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.32940785097112923,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.33689439303865487,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.34438093510618056,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.35186747717370626,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.3593540192412319,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.36684056130875753,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.3743271033762832,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.3818136454438089,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.38930018751133455,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.3967867295788602,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.4042732716463859,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.41175981371391157,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.4192463557814372,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.42673289784896284,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.43421943991648854,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.44170598198401423,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.44919252405153987,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.4566790661190655,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.4641656081865912,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.4716521502541169,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.4791386923216425,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.48662523438916816,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.49411177645669385,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.5015983185242195,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.5090848605917452,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.5165714026592708,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.5240579447267966,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.5315444867943222,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.5390310288618478,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.5465175709293735,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.5540041129968991,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.5614906550644249,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.5689771971319505,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.5764637391994761,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.5839502812670019,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.5914368233345275,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.5989233654020532,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.6064099074695788,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.6138964495371044,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.6213829916046302,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.6288695336721558,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.6363560757396814,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.6438426178072072,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.6513291598747328,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.6588157019422585,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.6663022440097841,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.6737887860773097,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.6812753281448355,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.6887618702123611,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.6962484122798868,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.7037349543474125,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.7112214964149381,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.7187080384824638,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.7261945805499894,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
0.7336811226175151,0.0,0.0,0.0,1.0,4.692586036562379,4.63533
