r (A),g(r)_weighted_Na-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_Mg-Cl,S_i_Na-Cl,S_i_Ca-Cl,S_i_Mg-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.5006263936342603,3.52027
0.007469477768884442,0.0,0.0,0.0,0.00021836783167611377,0.0,0.0,1.0,1.0,1.0,2.5006263936342603,3.52027
0.014938955537768884,0.0,0.0,0.0,0.00043673566335222753,0.0,0.0,1.0,1.0,1.0,2.5006263936342603,3.52027
0.022408433306653326,0.0,0.0,0.0,0.0006551034950283413,0.0,0.0,1.0,1.0,1.0,2.5006263936342603,3.52027
0.029877911075537767,0.0,0.0,0.0,0.0008734713267044551,0.0,0.0,1.0,1.0,1.0,2.5006263936342603,3.52027
0.03734738884442221,0.0,0.0,0.0,0.001091839158380569,0.0,0.0006007012840855501,1.0,1.0,1.0,2.5006263936342603,3.52027
0.04481686661330665,0.0,0.0,0.0,0.0013102069900566826,0.0,0.0009839625258595617,1.0,1.0,1.0,2.5006263936342603,3.52027
0.05228634438219109,0.0,0.0,0.0,0.0015285748217327964,0.0,0.0013672237676335727,1.0,1.0,1.0,2.5006263936342603,3.52027
0.059755822151075534,0.0,0.0,0.0,0.0017469426534089101,0.0,0.0017504850094075843,1.0,1.0,1.0,2.5006263936342603,3.52027
0.06722529991995997,0.0,0.0,0.0,0.001965310485085024,0.0,0.0021337462511815957,1.0,1.0,1.0,2.5006263936342603,3.52027
0.07469477768884442,0.0,0.0,0.0,0.002183678316761138,0.0,0.0025170074929556072,1.0,1.0,1.0,2.5006263936342603,3.52027
0.08216425545772886,0.0,0.0,1.8159825704626424e-05,0.0024020461484372518,0.0,0.002900268734729619,1.0,1.0,1.0,2.5006263936342603,3.52027
0.0896337332266133,0.0,0.0,4.1048978474973196e-05,0.0026204139801133653,0.000729733957277658,0.0032835299765036304,1.0,1.0,1.0,2.5006263936342603,3.52027
0.09710321099549775,0.0027527071135737716,0.0,6.393813124531996e-05,0.0028387818117894792,0.0007210787604375485,0.003666791218277642,1.0,1.0,1.0,2.5006263936342603,3.52027
0.10457268876438218,0.0026724629016755402,0.005698622184871994,8.682728401566667e-05,0.0030571496434655928,0.0007124235635974389,0.004050052460051652,1.0,1.0,1.0,2.5006263936342603,3.52027
0.11204216653326662,0.002592218689777309,0.005618581107035951,0.00010971643678601345,0.0032755174751417067,0.0007037683667573293,0.004433313701825664,1.0,1.0,1.0,2.5006263936342603,3.52027
0.11951164430215107,0.0025119744778790776,0.00553854002919991,0.00013260558955636021,0.0034938853068178202,0.0006951131699172198,0.0048165749435996755,1.0,1.0,1.0,2.5006263936342603,3.52027
0.1269811220710355,0.0024317302659808463,0.005458498951363867,0.000155494742326707,0.003712253138493934,0.0006864579730771101,0.005199836185373687,1.0,1.0,1.0,2.5006263936342603,3.52027
0.13445059983991994,0.0023514860540826145,0.005378457873527825,0.0001783838950970537,0.0037535461831194163,0.0006778027762370006,0.005583097427147698,1.0,1.0,1.0,2.5006263936342603,3.52027
0.1419200776088044,0.0022712418421843832,0.005298416795691783,0.0002012730478674005,0.003743734150280978,0.000669147579396891,0.005696257681413682,1.0,1.0,1.0,2.5006263936342603,3.52027
0.14938955537768883,0.0021909976302861515,0.005218375717855741,0.00022416220063774725,0.003733922117442541,0.0006604923825567814,0.005691931498424791,1.0,1.0,1.0,2.5006263936342603,3.52027
0.1568590331465733,0.00211075341838792,0.005138334640019698,0.0002323943291001283,0.003724110084604103,0.0006518371857166718,0.0056876053154359,1.0,1.0,1.0,2.5006263936342603,3.52027
0.16432851091545772,0.002030509206489689,0.0050582935621836566,0.00023030400213828854,0.0037142980517656655,0.0006431819888765623,0.005683279132447008,1.0,1.0,1.0,2.5006263936342603,3.52027
0.17179798868434215,0.0019502649945914578,0.004978252484347615,0.00022821367517644877,0.0037044860189272286,0.0006345267920364528,0.005678952949458116,1.0,1.0,1.0,2.5006263936342603,3.52027
0.1792674664532266,0.0018700207826932262,0.004898211406511573,0.00022612334821460898,0.0036946739860887904,0.0006258715951963431,0.005674626766469225,1.0,1.0,1.0,2.5006263936342603,3.52027
0.18673694422211104,0.0017897765707949947,0.0048181703286755305,0.0002240330212527692,0.003684861953250353,0.000618287766157202,0.005670300583480333,1.0,1.0,1.0,2.5006263936342603,3.52027
0.1942064219909955,0.0017095323588967632,0.004738129250839489,0.00022194269429092945,0.003675049920411916,0.0006180109195717751,0.005665974400491442,1.0,1.0,1.0,2.5006263936342603,3.52027
0.20167589975987993,0.0016292881469985316,0.004658088173003446,0.0002198523673290897,0.003665237887573478,0.0006177340729863481,0.00566164821750255,1.0,1.0,1.0,2.5006263936342603,3.52027
