r (A),g(r)_weighted_U-Cl,g(r)_weighted_Na-Cl,g(r)_weighted_Cl-Cl,g(r)_weighted_Na-Na,g(r)_weighted_Na-U,g(r)_weighted_U-U,S_i_U-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.0034989019304652326,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.006997803860930465,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.010496705791395698,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.01399560772186093,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.017494509652326164,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.020993411582791395,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.02449231351325663,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.02799121544372186,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.031490117374187096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.03498901930465233,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.03848792123511756,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.04198682316558279,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.04548572509604802,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.04898462702651326,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.05248352895697849,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.05598243088744372,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.059481332817908954,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.06298023474837419,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.06647913667883942,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.06997803860930465,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.07347694053976989,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.07697584247023512,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.08047474440070035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.08397364633116558,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.08747254826163081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.09097145019209604,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.09447035212256129,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.09796925405302652,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.10146815598349175,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.10496705791395698,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.10846595984442221,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.11196486177488744,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.11546376370535268,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.11896266563581791,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.12246156756628314,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.12596046949674838,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.12945937142721362,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.13295827335767885,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.13645717528814408,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.1399560772186093,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.14345497914907454,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.14695388107953977,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.150452783010005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.15395168494047023,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.15745058687093547,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.1609494888014007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.16444839073186593,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.16794729266233116,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.1714461945927964,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.17494509652326162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.17844399845372685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.18194290038419209,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.18544180231465732,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.18894070424512258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.1924396061755878,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.19593850810605304,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.19943741003651827,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.2029363119669835,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.20643521389744873,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.20993411582791396,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.2134330177583792,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.21693191968884443,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.22043082161930966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.2239297235497749,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.22742862548024012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.23092752741070535,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
0.23442642934117058,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.70037473884,2.5393
