r (A),g(r)_weighted_Mg-Cl,g(r)_unweighted_Mg-Cl,g(r)_weighted_Mg-Mg,g(r)_unweighted_Mg-Mg,S_i_Mg-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,1.0,4.42533,4.76796
0.017953987727727726,-0.00017291945884562927,-0.0006052181059597024,8.890353561857039e-06,6.223247493299927e-05,1.0,4.42533,4.76796
0.03590797545545545,-0.00034583891769125855,-0.0012104362119194048,1.7780707123714078e-05,0.00012446494986599854,1.0,4.42533,4.76796
0.053861963183183176,-0.0005187583765368878,-0.001815654317879107,2.667106068557112e-05,0.0001866974247989978,1.0,4.42533,4.76796
0.0718159509109109,-0.0006916778353825171,-0.0024208724238388097,3.5561414247428156e-05,0.0002489298997319971,1.0,4.42533,4.76796
0.08976993863863864,-0.0006443621568210369,-0.002255267548873629,4.4451767809285205e-05,0.0003111623746649964,1.0,4.42533,4.76796
0.10772392636636635,-0.0005795682431922414,-0.0020284888511728446,4.705164132930074e-05,0.00032936148930510513,1.0,4.42533,4.76796
0.1256779140940941,-0.0005147743295634457,-0.00180171015347206,4.651480326689951e-05,0.00032560362286829654,1.0,4.42533,4.76796
0.1436319018218218,-0.00044998041593465027,-0.0015749314557712757,4.597796520449829e-05,0.00032184575643148794,1.0,4.42533,4.76796
0.16158588954954953,-0.00038518650230585466,-0.0013481527580704912,4.544112714209705e-05,0.0003180878899946793,1.0,4.42533,4.76796
0.17953987727727727,-0.00032039258867705905,-0.0011213740603697065,4.490428907969582e-05,0.0003143300235578707,1.0,4.42533,4.76796
0.197493865005005,-0.0002555986750482635,-0.000894595362668922,4.4367451017294594e-05,0.0003105721571210621,1.0,4.42533,4.76796
0.2154478527327327,-0.00019080476141946788,-0.0006678166649681375,4.383061295489336e-05,0.00030681429068425345,1.0,4.42533,4.76796
0.23340184046046045,-0.00012601084779067232,-0.00044103796726735305,4.3293774892492126e-05,0.00030305642424744485,1.0,4.42533,4.76796
0.2513558281881882,-0.00011943725889899228,-0.0004180304061464729,4.2756936830090895e-05,0.0002992985578106362,1.0,4.42533,4.76796
0.2693098159159159,-0.0001215811508814639,-0.00042553402808512356,4.2220098767689664e-05,0.0002955406913738276,1.0,4.42533,4.76796
0.2872638036436436,-0.0001237250428639355,-0.00043303765002377417,4.168326070528843e-05,0.000291782824937019,1.0,4.42533,4.76796
0.30521779137137134,-0.0001258689348464071,-0.00044054127196242477,4.11464226428872e-05,0.00028802495850021036,1.0,4.42533,4.76796
0.32317177909909905,-0.0001280128268288787,-0.00044804489390107543,4.060958458048597e-05,0.00028426709206340176,1.0,4.42533,4.76796
