r (A),g(r)_weighted_Li-F,g(r)_unweighted_Li-F,g(r)_weighted_Li-Li,g(r)_unweighted_Li-Li,g(r)_weighted_F-F,g(r)_unweighted_F-F,S_i_Li-F,Average_SCL,lambda_BC
0.5861131531231231,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.59639584002002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.6066785269169169,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.6169612138138137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.6272439007107107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.6375265876076076,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.6478092745045044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.6580919614014014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.6683746482982983,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.6786573351951951,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.688940022092092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.699222708988989,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.7095053958858858,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.7197880827827827,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.7300707696796797,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.7403534565765766,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.7506361434734734,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.7609188303703703,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.7712015172672673,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.7814842041641641,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.791766891061061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.802049577957958,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.8123322648548548,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.8226149517517517,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.8328976386486486,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.8431803255455455,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.8534630124424424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.8637456993393393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.8740283862362361,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.8843110731331331,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.89459376003003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.9048764469269268,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.9151591338238237,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.9254418207207207,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.9357245076176176,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.9460071945145144,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.9562898814114114,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.9665725683083083,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.9768552552052051,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.987137942102102,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
0.997420628998999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.007703315895896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.0179860027927927,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.0282686896896895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.0385513765865866,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.0488340634834834,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.0591167503803802,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.0693994372772773,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.079682124174174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.089964811071071,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.100247497967968,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.1105301848648648,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.1208128717617616,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.1310955586586586,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.1413782455555554,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.1516609324524523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.1619436193493493,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.1722263062462461,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.1825089931431432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.19279168004004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.2030743669369368,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.2133570538338339,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.2236397407307307,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.2339224276276275,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.2442051145245245,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.2544878014214214,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.2647704883183182,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.2750531752152152,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.285335862112112,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.2956185490090089,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.305901235905906,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.3161839228028027,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.3264666096996995,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.3367492965965966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.3470319834934934,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.3573146703903902,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.3675973572872873,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.377880044184184,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.388162731081081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.398445417977978,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.4087281048748748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.4190107917717716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.4292934786686686,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.4395761655655654,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.4498588524624623,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.4601415393593593,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.4704242262562561,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.4807069131531532,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.49098960005005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.5012722869469468,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.5115549738438439,0.018700996892959083,0.05610299067887725,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.5218376607407407,0.028763997731168084,0.08629199319350425,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.5321203476376375,0.03882699856937708,0.11648099570813125,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.5424030345345345,0.048889999407586295,0.1466699982227589,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.5526857214314314,0.05895300024579529,0.1768590007373859,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.5629684083283282,0.07208118322456558,0.21624354967369677,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.5732510952252252,0.10304426302004002,0.3091327890601201,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.583533782122122,0.13118822978311184,0.3935646893493356,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.5938164690190189,0.15634573197897117,0.46903719593691356,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
1.604099155915916,0.18150323417483105,0.5445097025244932,0.0,0.0,0.0,0.0,1.0,3.44935,3.28553
