r (A),g(r)_weighted_Na-Na,g(r)_unweighted_Na-Na,g(r)_weighted_Na-Cl,g(r)_unweighted_Na-Cl,g(r)_weighted_K-K,g(r)_unweighted_K-K,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Ca-Ca,g(r)_unweighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_unweighted_Ca-Cl,S_i_Na-Cl,S_i_K-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.78889,0
0.014915753083083082,0.00014427039412062383,0.0037974502538706822,0.00031493381866121454,0.002266733095532922,5.679020564488134e-07,0.0007726884833822328,0.0005179188789556545,0.026800993281947808,0.0003816931369530553,0.006338445047419135,0.003554241874090864,0.020319116351842408,1.0,1.0,1.0,2.78889,0
0.029831506166166165,0.00028854078824124766,0.0075949005077413645,0.0006298676373224291,0.004533466191065844,1.1358041128976267e-06,0.0015453769667644656,0.0007410189743717912,0.03834585947896041,0.0007633862739061106,0.01267689009483827,0.005379593981698976,0.030754405555973197,1.0,1.0,1.0,2.78889,0
0.044747259249249244,0.0004328111823618715,0.011392350761612047,0.0009448014559836434,0.0068001992865987645,1.7037061693464398e-06,0.002318065450146698,0.0007578066789072701,0.03921458076863794,0.001145079410859166,0.019015335142257405,0.005769648248816249,0.03298429263677739,1.0,1.0,1.0,2.78889,0
0.05966301233233233,0.0005770815764824953,0.015189801015482729,0.0012597352746448582,0.009066932382131687,2.2716082257952535e-06,0.003090753933528931,0.000774594383442749,0.04008330205831546,0.0015267725478122212,0.02535378018967654,0.0061597025159335255,0.0352141797175816,1.0,1.0,1.0,2.78889,0
0.07457876541541542,0.0007213519706031192,0.01898725126935341,0.0015746690933060726,0.011333665477664609,2.839510282244067e-06,0.003863442416911164,0.0007913820879782278,0.04095202334799298,0.0018030052425915695,0.029940935646901187,0.006549756783050799,0.03744406679838579,1.0,1.0,1.0,2.78889,0
0.08949451849849849,0.000865622364723743,0.022784701523224093,0.0018896029119672868,0.013600398573197529,3.4074123386928796e-06,0.004636130900293396,0.0008081697925137066,0.04182074463767051,0.001787655450140804,0.029686035030361064,0.006939811050168075,0.039673953879189996,1.0,1.0,1.0,2.78889,0
0.10441027158158157,0.0010098927588443668,0.026582151777094776,0.0022045367306285017,0.015867131668730453,3.975314395141693e-06,0.005408819383675629,0.0008249574970491855,0.04268946592734803,0.0017723056576900381,0.02943113441382094,0.0073298653172853495,0.04190384095999419,1.0,1.0,1.0,2.78889,0
0.11932602466466466,0.0011541631529649907,0.030379602030965458,0.0025194705492897164,0.018133864764263374,4.543216451590507e-06,0.006181507867057862,0.0008350103630237292,0.04320967633943292,0.0017569558652392723,0.029176233797280814,0.007710089837720283,0.04407753271880762,1.0,1.0,1.0,2.78889,0
0.13424177774774773,0.0012984335470856145,0.03417705228483614,0.00283440436795093,0.020400597859796293,5.11111850803932e-06,0.006954196350440095,0.0008287274220381063,0.04288455001948471,0.0017416060727885065,0.02892133318074069,0.007653851664260198,0.043756026746386185,1.0,1.0,1.0,2.78889,0
0.14915753083083083,0.0013243641714539745,0.03485959187787505,0.0031493381866121452,0.022667330955329218,5.679020564488134e-06,0.007726884833822328,0.0008224444810524833,0.0425594236995365,0.0017262562803377409,0.028666432564200567,0.007597613490800114,0.04343452077396476,1.0,1.0,1.0,2.78889,0
0.1640732839139139,0.0013227342508810944,0.03481668950465427,0.0032806690382318478,0.02361258348202322,6.246922620936946e-06,0.00849957331720456,0.0008161615400668604,0.04223429737958829,0.001710906487886975,0.028411531947660443,0.007541375317340029,0.04311301480154332,1.0,1.0,1.0,2.78889,0
0.17898903699699698,0.0013211043303082144,0.03477378713143349,0.003272698443300421,0.023555215202557534,6.814824677385759e-06,0.009272261800586792,0.0008098785990812375,0.04190917105964008,0.0017080902231381406,0.028364764695065943,0.007485137143879944,0.04279150882912189,1.0,1.0,1.0,2.78889,0
0.19390479008008007,0.0013194744097353346,0.03473088475821271,0.003264727848368994,0.023497846923091845,6.9915948875786835e-06,0.009512775642841984,0.0008035956580956144,0.041584044739691864,0.001705653859901948,0.028324306135576415,0.00742889897041986,0.04247000285670046,1.0,1.0,1.0,2.78889,0
0.20882054316316315,0.0013178444891624546,0.034687982384991926,0.0032567572534375673,0.02344047864362616,6.9686743214379035e-06,0.009481589882395319,0.0007973127171099915,0.041258918419743655,0.0017032174966657553,0.028283847576086887,0.007372660796959775,0.042148496884279026,1.0,1.0,1.0,2.78889,0
0.22373629624624625,0.0013162145685895745,0.03464508001177115,0.0032487866585061403,0.023383110364160475,6.945753755297125e-06,0.009450404121948655,0.0007965069672583946,0.041217222900933596,0.0017007811334295625,0.02824338901659736,0.007348788505032535,0.042012022245118796,1.0,1.0,1.0,2.78889,0
0.23865204932932932,0.0013145846480166947,0.03460217763855037,0.0032408160635747133,0.023325742084694786,6.922833189156345e-06,0.00941921836150199,0.0007957279377366785,0.04117691009167657,0.0016983447701933699,0.028202930457107832,0.00733747542744117,0.04194734692249879,1.0,1.0,1.0,2.78889,0
0.2535678024124124,0.0013129547236907493,0.034559275166542315,0.0032328454686432863,0.0232683738052291,6.899912623015566e-06,0.009388032601055325,0.0007949489082149624,0.04113659728241954,0.0016959084069571773,0.028162471897618307,0.007326162349849805,0.04188267159987878,1.0,1.0,1.0,2.78889,0
0.26848355549549546,0.0013113247977736223,0.03451637265265156,0.0032248748736773063,0.02321100552551472,6.876992056874786e-06,0.00935684684060866,0.0007941698786932464,0.04109628447316252,0.001693472037258654,0.02812201323081449,0.0073148492722584415,0.04181799627725878,1.0,1.0,1.0,2.78889,0
0.2833993085785786,0.0013096948718564953,0.03447347013876081,0.00321690427867071,0.023153637245508,6.854071449100693e-06,0.009325661023515638,0.0007933908491715302,0.04105597166390549,0.0016910356644563912,0.02808155451246958,0.007303536194667076,0.041753320954638774,1.0,1.0,1.0,2.78889,0
0.29831506166166166,0.001308064945939368,0.03443056762487005,0.003208933683664114,0.023096268965501283,6.831150766388187e-06,0.009294475104461289,0.0007926118196498141,0.04101565885464847,0.0016885992916541286,0.02804109579412467,0.0072922231170757116,0.04168864563201877,1.0,1.0,1.0,2.78889,0
0.31323081474474473,0.001306435020022241,0.03438766511097929,0.003200963088657517,0.02303890068549456,6.80823008367568e-06,0.009263289185406937,0.0007918327901223045,0.04097534604509164,0.001686162918851866,0.028000637075779763,0.007280910039484348,0.04162397030939877,1.0,1.0,1.0,2.78889,0
0.3281465678278278,0.0013048050941051137,0.03434476259708854,0.0031929924936509205,0.022981532405487844,6.785309400963173e-06,0.009232103266352586,0.0007910537605922939,0.04093503323540539,0.0016837265460496033,0.027960178357434855,0.0072695969618929825,0.04155929498677876,1.0,1.0,1.0,2.78889,0
0.3430623209109109,0.0013031751681879867,0.034301860083197785,0.003185021898644324,0.022924164125481126,6.762388718250667e-06,0.009200917347298236,0.0007902747310622832,0.04089472042571914,0.0016812901732473407,0.027919719639089947,0.007258283884301619,0.04149461966415876,1.0,1.0,1.0,2.78889,0
0.35797807399399395,0.0013015452422708593,0.034258957569307025,0.0031770513036377276,0.022866795845474408,6.7394680355381605e-06,0.009169731428243885,0.0007894957015322724,0.04085440761603289,0.001678853804094968,0.027879260981355576,0.007246970806710254,0.04142994434153875,1.0,1.0,1.0,2.78889,0
0.3728938270770771,0.0012999153163537323,0.03421605505541627,0.0031690807018025843,0.02280942751631929,6.716547352825654e-06,0.009138545509189534,0.0007887166720022617,0.04081409480634664,0.001676417440884723,0.02783880242229694,0.00723565772911889,0.04136526901891875,1.0,1.0,1.0,2.78889,0
0.38780958016016015,0.0012982853904366053,0.03417315254152552,0.003161110087327098,0.02275205909618543,6.693626670113147e-06,0.009107359590135183,0.000787937642472251,0.04077378199666039,0.0016739810776744781,0.027798343863238303,0.007224344651527525,0.041300593696298744,1.0,1.0,1.0,2.78889,0
0.4027253332432432,0.0012966554645194779,0.034130250027634756,0.0031531394728516126,0.02269469067605157,6.670705987400642e-06,0.009076173671080833,0.0007871586129455728,0.040733469187146584,0.001671544714464233,0.027757885304179667,0.007213031573936162,0.041235918373678744,1.0,1.0,1.0,2.78889,0
0.4176410863263263,0.0012950255386023509,0.034087347513744,0.0031451688583761265,0.02263732225591771,6.647785304688134e-06,0.009044987752026482,0.0007863795834238568,0.04069315637788956,0.0016691083512539882,0.02771742674512103,0.007201718496344796,0.04117124305105874,1.0,1.0,1.0,2.78889,0
0.43255683940940937,0.0012933956126852239,0.03404444499985325,0.0031371982439006405,0.022579953835783845,6.624864621975627e-06,0.00901380183297213,0.0007856005539021407,0.04065284356863254,0.0016666719880437432,0.027676968186062394,0.007190405418753432,0.04110656772843873,1.0,1.0,1.0,2.78889,0
0.4474725924924925,0.0012917656867680964,0.03400154248596249,0.0031292276294251544,0.022522585415649984,6.60194393926312e-06,0.00898261591391778,0.0007848215243804246,0.04061253075937551,0.0016642356240135785,0.027636509613388066,0.007179092341162068,0.04104189240581873,1.0,1.0,1.0,2.78889,0
0.46238834557557557,0.0012901357634407255,0.033958640040238665,0.003121257014949669,0.022465216995516124,6.579023256550615e-06,0.00895142999486343,0.0007840424948587086,0.040572217950118485,0.0016617992512113157,0.027596050895043155,0.007167779263570703,0.04097721708319872,1.0,1.0,1.0,2.78889,0
0.47730409865865864,0.0012885058428678455,0.03391573766701789,0.0031132864052001888,0.022407848609397645,6.556102660965942e-06,0.008920244194355354,0.0007832634653369925,0.04053190514086146,0.0016593628784090531,0.027555592176698247,0.007156466185979338,0.040912541760578715,1.0,1.0,1.0,2.78889,0
0.4922198517417417,0.0012868759222949657,0.03387283529379711,0.0031053158102687614,0.022350480329931956,6.533182094825162e-06,0.008889058433908689,0.000782484435491867,0.04049159231486882,0.0016569265056067906,0.02751513345835334,0.007145153108387973,0.04084786643795871,1.0,1.0,1.0,2.78889,0
0.5071356048248248,0.0012852460017220855,0.033829932920576324,0.003097345215337335,0.02229311205046627,6.510261528684382e-06,0.008857872673462023,0.0007817054028928414,0.0404512793463688,0.0016544901328045278,0.027474674740008427,0.007133840030796609,0.04078319111533871,1.0,1.0,1.0,2.78889,0
0.5220513579079079,0.0012836160811492056,0.033787030547355545,0.0030893746204059074,0.02223574377100058,6.487340962543602e-06,0.008826686913015358,0.0007809263702938158,0.040410966377868784,0.001652053760002265,0.02743421602166352,0.0071225269532052445,0.0407185157927187,1.0,1.0,1.0,2.78889,0
0.5369671109909909,0.0012819861605763258,0.03374412817413477,0.0030814040254744804,0.022178375491534896,6.464420396402824e-06,0.008795501152568694,0.0007801473376947902,0.04037065340936877,0.0016496173872000025,0.02739375730331861,0.007111213875613881,0.0406538404700987,1.0,1.0,1.0,2.78889,0
