r (A),g(r)_weighted_Li-F,g(r)_unweighted_Li-F,g(r)_weighted_F-F,g(r)_unweighted_F-F,g(r)_weighted_Na-F,g(r)_unweighted_Na-F,S_i_Li-F,S_i_Na-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.005635365854854855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.01127073170970971,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.016906097564564564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.02254146341941942,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.028176829274274277,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.03381219512912913,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.039447560983983984,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.04508292683883884,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.0507182926936937,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.056353658548548555,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.061989024403403405,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.06762439025825825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.07325975611311311,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.07889512196796797,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.08453048782282283,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.09016585367767768,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.09580121953253254,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.1014365853873874,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.10707195124224225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.11270731709709711,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.11834268295195195,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.12397804880680681,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.12961341466166168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.1352487805165165,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.14088414637137137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.14651951222622622,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.15215487808108108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.15779024393593594,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.1634256097907908,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
0.16906097564564565,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.28196,2.63857
