r (A),g(r)_weighted_Zn-Cl,g(r)_unweighted_Zn-Cl,g(r)_weighted_Zn-Zn,g(r)_unweighted_Zn-Zn,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,S_i_Zn-Cl,Average_SCL,lambda_BC
0.6580328738738739,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.6690000884384384,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.679967303003003,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.6909345175675676,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.7019017321321321,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.7128689466966966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.7238361612612613,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.7348033758258259,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.7457705903903904,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.7567378049549549,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.7677050195195195,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.7786722340840841,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.7896394486486487,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.8006066632132132,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.8115738777777778,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.8225410923423424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.8335083069069069,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.8444755214714714,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.855442736036036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.8664099506006007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.8773771651651652,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.8883443797297297,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.8993115942942943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.9102788088588589,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.9212460234234234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.9322132379879879,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.9431804525525526,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.9541476671171172,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.9651148816816817,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.9760820962462462,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.9870493108108108,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
0.9980165253753754,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.00898373993994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.0199509545045045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.0309181690690692,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.0418853836336337,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.0528525981981982,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.0638198127627627,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.0747870273273272,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.085754241891892,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.0967214564564565,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.107688671021021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
1.1186558855855857,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.51281,0
