r (A),g(r)_weighted_Li-Li,g(r)_unweighted_Li-Li,g(r)_weighted_Be-F,g(r)_unweighted_Be-F,g(r)_weighted_Be-Be,g(r)_unweighted_Be-Be,g(r)_weighted_F-F,g(r)_unweighted_F-F,g(r)_weighted_Be-Li,g(r)_unweighted_Be-Li,g(r)_weighted_Li-F,g(r)_unweighted_Li-F,S_i_Be-F,S_i_Li-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.98552,1.90187
0.007792677237237237,0.0,0.0,8.795724093580094e-05,0.0007550885881213888,0.0,0.0,0.0,0.0,0.0,0.0,9.874129408226556e-05,0.00043667678585996954,1.0,1.0,1.98552,1.90187
0.015585354474474475,0.0,0.0,0.0001759144818716019,0.0015101771762427777,0.0,0.0,0.0,0.0,0.0,0.0,0.00019748258816453112,0.0008733535717199391,1.0,1.0,1.98552,1.90187
0.02337803171171171,0.0,0.0,0.00026387172280740285,0.0022652657643641664,0.0,0.0,0.0,0.0,0.0,0.0,0.0002962238822467967,0.0013100303575799086,1.0,1.0,1.98552,1.90187
0.03117070894894895,0.0,0.0,0.0003518289637432038,0.0030203543524855553,0.0,0.0,0.0,0.0,0.0,0.0,0.00039496517632906224,0.0017467071434398782,1.0,1.0,1.98552,1.90187
0.03896338618618619,0.0,0.0,0.00043978620467900476,0.0037754429406069443,0.0,0.0,0.0,0.0,0.0,0.0,0.0004937064704113278,0.0021833839292998477,1.0,1.0,1.98552,1.90187
0.04675606342342342,0.0,0.0,0.0005277434456148057,0.004530531528728333,0.0,0.0,0.0,0.0,0.0,0.0,0.0005924477644935934,0.0026200607151598172,1.0,1.0,1.98552,1.90187
0.05454874066066066,0.0,0.0,0.0006157006865506067,0.005285620116849722,0.0,0.0,0.0,0.0,0.0,0.0,0.0006911890585758589,0.0030567375010197868,1.0,1.0,1.98552,1.90187
0.0623414178978979,0.0,0.0,0.0007036579274864076,0.006040708704971111,0.0,0.0,0.0,0.0,0.0,0.0,0.0007899303526581245,0.0034934142868797563,1.0,1.0,1.98552,1.90187
0.07013409513513513,0.0,0.0,0.0007916151684222084,0.006795797293092499,0.0,0.0,0.0,0.0,0.0,0.0,0.00088867164674039,0.003930091072739726,1.0,1.0,1.98552,1.90187
0.07792677237237237,0.0,0.0,0.0008795724093580095,0.0075508858812138886,0.0,0.0,0.0,0.0,0.0,0.0,0.0009874129408226557,0.004366767858599695,1.0,1.0,1.98552,1.90187
0.08571944960960962,0.0,0.0,0.0009675296502938105,0.008305974469335278,0.0,0.0,0.0,0.0,0.0,0.0,0.0010861542349049212,0.004803444644459665,1.0,1.0,1.98552,1.90187
0.09351212684684684,0.0,0.0,0.0010554868912296114,0.009061063057456666,0.0,0.0,0.0,0.0,0.0,0.0,0.0011848955289871868,0.0052401214303196345,1.0,1.0,1.98552,1.90187
0.10130480408408409,0.0,0.0,0.0011434441321654123,0.009816151645578055,0.0,0.0,0.0,0.0,0.0,0.0,0.0012836368230694523,0.005676798216179604,1.0,1.0,1.98552,1.90187
0.10909748132132133,0.0,0.0,0.0012314013731012134,0.010571240233699444,0.0,0.0,0.0,0.0,0.0,0.0,0.0013823781171517179,0.0061134750020395735,1.0,1.0,1.98552,1.90187
0.11689015855855855,0.0,0.0,0.001319358614037014,0.011326328821820832,0.0,0.0,0.0,0.0,0.0,0.0,0.0014811194112339832,0.006550151787899542,1.0,1.0,1.98552,1.90187
0.1246828357957958,0.0,0.0,0.0014073158549728151,0.012081417409942221,0.0,0.0,0.0,0.0,0.0,0.0,0.001579860705316249,0.006986828573759513,1.0,1.0,1.98552,1.90187
0.13247551303303304,0.0,0.0,0.0014952730959086162,0.01283650599806361,0.0,0.0,0.0,0.0,0.0,0.0,0.0016786019993985145,0.007423505359619482,1.0,1.0,1.98552,1.90187
0.14026819027027027,0.0,0.0,0.0015832303368444169,0.013591594586184998,0.0,0.0,0.0,0.0,0.0,0.0,0.00177734329348078,0.007860182145479452,1.0,1.0,1.98552,1.90187
0.14806086750750752,0.0,0.0,0.0016711875777802182,0.01434668317430639,0.0,0.0,0.0,0.0,0.0,0.0,0.0018760845875630456,0.008296858931339421,1.0,1.0,1.98552,1.90187
0.15585354474474475,0.0,0.0,0.001759144818716019,0.015101771762427777,0.0,0.0,0.0,0.0,0.0,0.0,0.0019748258816453114,0.00873353571719939,1.0,1.0,1.98552,1.90187
0.16364622198198198,0.0,0.0,0.00184710205965182,0.015856860350549166,0.0,0.0,0.0,0.0,0.0,0.0,0.0020735671757275767,0.00917021250305936,1.0,1.0,1.98552,1.90187
0.17143889921921923,0.0,0.0,0.001935059300587621,0.016611948938670556,0.0,0.0,0.0,0.0,0.0,0.0,0.0021723084698098425,0.00960688928891933,1.0,1.0,1.98552,1.90187
0.17923157645645646,0.0,0.0,0.002023016541523422,0.017367037526791945,0.0,0.0,0.0,0.0,0.0,0.0,0.002271049763892108,0.0100435660747793,1.0,1.0,1.98552,1.90187
0.1870242536936937,0.0,0.0,0.0021109737824592228,0.01812212611491333,0.0,0.0,0.0,0.0,0.0,0.0,0.0023697910579743736,0.010480242860639269,1.0,1.0,1.98552,1.90187
0.19481693093093094,0.0,0.0,0.0021989310233950237,0.01887721470303472,0.0,0.0,0.0,0.0,0.0,0.0,0.002468532352056639,0.010916919646499238,1.0,1.0,1.98552,1.90187
0.20260960816816817,0.0,0.0,0.0022868882643308245,0.01963230329115611,0.0,0.0,0.0,0.0,0.0,0.0,0.0025672736461389047,0.011353596432359208,1.0,1.0,1.98552,1.90187
0.2104022854054054,0.0,0.0,0.0023748455052666254,0.0203873918792775,0.0,0.0,0.0,0.0,0.0,0.0,0.00266601494022117,0.011790273218219176,1.0,1.0,1.98552,1.90187
0.21819496264264265,0.0,0.0,0.0024628027462024267,0.02114248046739889,0.0,0.0,0.0,0.0,0.0,0.0,0.0027647562343034358,0.012226950004079147,1.0,1.0,1.98552,1.90187
0.22598763987987988,0.0,0.0,0.0025507599871382276,0.021897569055520278,0.0,0.0,0.0,0.0,0.0,0.0,0.0028634975283857015,0.012663626789939117,1.0,1.0,1.98552,1.90187
0.2337803171171171,0.0,0.0,0.002638717228074028,0.022652657643641664,0.0,0.0,0.0,0.0,0.0,0.0,0.0029622388224679664,0.013100303575799084,1.0,1.0,1.98552,1.90187
0.24157299435435436,0.0,0.0,0.0027266744690098298,0.023407746231763057,0.0,0.0,0.0,0.0,0.0,0.0,0.0030609801165502326,0.013536980361659056,1.0,1.0,1.98552,1.90187
0.2493656715915916,0.0,0.0,0.0028146317099456302,0.024162834819884443,0.0,0.0,0.0,0.0,0.0,0.0,0.003159721410632498,0.013973657147519025,1.0,1.0,1.98552,1.90187
