r (A),g(r)_weighted_Li-Cl,g(r)_unweighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Eu-Cl,g(r)_unweighted_Eu-Cl,S_i_Li-Cl,S_i_K-Cl,S_i_Eu-Cl,Average_SCL,lambda_BC
0.3521830387687688,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.3590885885485486,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.36599413832832833,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.37289968810810814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.3798052378878879,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.3867107876676677,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.39361633744744745,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.40052188722722726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.407427437007007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.4143329867867868,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.42123853656656657,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.4281440863463464,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.4350496361261261,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.44195518590590593,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.44886073568568574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.4557662854654655,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.4626718352452453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.46957738502502505,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.47648293480480486,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.4833884845845846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.4902940343643644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.49719958414414417,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.504105133923924,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5110106837037037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5179162334834835,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5248217832632633,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5317273330430431,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5386328828228228,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5455384326026026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5524439823823825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5593495321621622,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.566255081941942,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5731606317217217,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5800661815015016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5869717312812813,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5938772810610611,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6007828308408408,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6076883806206207,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6145939304004004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6214994801801802,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.62840502995996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6353105797397398,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6422161295195196,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6491216792992993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6560272290790791,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6629327788588589,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6698383286386387,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6767438784184184,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6836494281981983,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.690554977977978,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6974605277577578,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.7043660775375375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.7112716273173174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.7181771770970972,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.7250827268768769,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.7319882766566567,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.7388938264364365,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.7457993762162163,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.752704925995996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.7596104757757758,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.7665160255555556,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.7734215753353354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.7803271251151151,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.7872326748948949,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.7941382246746748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.8010437744544545,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.8079493242342343,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.814854874014014,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.8217604237937939,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.8286659735735736,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.8355715233533534,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.8424770731331331,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.849382622912913,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.8562881726926928,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.8631937224724725,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.8700992722522523,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.8770048220320321,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.8839103718118119,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.8908159215915916,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.8977214713713715,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.9046270211511512,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.911532570930931,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.9184381207107107,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.9253436704904906,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.9322492202702704,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.9391547700500501,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.9460603198298299,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.9529658696096097,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.9598714193893895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.9667769691691692,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.973682518948949,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.9805880687287288,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.9874936185085086,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.9943991682882883,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.001304718068068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.008210267847848,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.0151158176276276,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.0220213674074075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.0289269171871873,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.035832466966967,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.0427380167467468,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.0496435665265267,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.0565491163063063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.0634546660860862,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.0703602158658658,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.0772657656456457,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.0841713154254256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.0910768652052052,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.097982414984985,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.104887964764765,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.1117935145445446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.1186990643243244,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.1256046141041043,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.132510163883884,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.1394157136636638,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.1463212634434434,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.1532268132232233,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.1601323630030032,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.1670379127827828,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.1739434625625627,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.1808490123423425,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.1877545621221222,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.194660111901902,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.2015656616816817,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.2084712114614615,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.2153767612412414,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.222282311021021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.229187860800801,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.2360934105805808,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.2429989603603604,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.2499045101401403,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.25681005991992,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.2637156096996998,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.2706211594794796,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.2775267092592593,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.2844322590390391,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.291337808818819,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.2982433585985986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.3051489083783785,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.3120544581581581,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.318960007937938,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.3258655577177179,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.3327711074974975,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.3396766572772774,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.3465822070570572,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.3534877568368369,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.3603933066166167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.3672988563963966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.3742044061761762,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.381109955955956,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.3880155057357357,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.3949210555155156,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.4018266052952955,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.408732155075075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.415637704854855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.4225432546346348,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.4294488044144145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.4363543541941943,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.443259903973974,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.4501654537537538,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.4570710035335337,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.4639765533133133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.4708821030930932,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.477787652872873,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.4846932026526527,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.4915987524324326,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.4985043022122122,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.505409851991992,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.512315401771772,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.5192209515515516,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.5261265013313314,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.5330320511111113,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.539937600890891,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.5468431506706708,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.5537487004504507,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.5606542502302303,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.5675598000100102,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.5744653497897898,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.5813708995695697,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.5882764493493495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.5951819991291292,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.602087548908909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.608993098688689,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.6158986484684685,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.6228041982482484,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.629709748028028,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.636615297807808,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.6435208475875878,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.6504263973673674,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.6573319471471473,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.6642374969269271,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.6711430467067068,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.6780485964864866,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.6849541462662663,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.6918596960460461,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.698765245825826,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.7056707956056056,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.7125763453853855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.7194818951651654,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.726387444944945,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.7332929947247249,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.7401985445045045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.7471040942842844,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.7540096440640642,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.7609151938438439,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.7678207436236237,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.7747262934034036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.7816318431831832,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.788537392962963,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.795442942742743,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.8023484925225226,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.8092540423023025,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
1.816159592082082,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
