r (A),g(r)_weighted_Li-Cl,g(r)_unweighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,S_i_Li-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.67993,0
0.007884148798798798,0.0020520051116627576,0.011286028114145167,0.0038190755674674167,0.02100491562107079,1.0,1.0,2.67993,0
0.015768297597597597,0.004104010223325515,0.022572056228290335,0.007638151134934833,0.04200983124214158,1.0,1.0,2.67993,0
0.023652446396396395,0.006156015334988273,0.0338580843424355,0.01145722670240225,0.06301474686321237,1.0,1.0,2.67993,0
0.031536595195195194,0.00820802044665103,0.04514411245658067,0.015276302269869667,0.08401966248428316,1.0,1.0,2.67993,0
0.03942074399399399,0.010260025558313788,0.05643014057072583,0.019095377837337082,0.10502457810535396,1.0,1.0,2.67993,0
0.04730489279279279,0.012312030669976546,0.067716168684871,0.0229144534048045,0.12602949372642475,1.0,1.0,2.67993,0
0.05518904159159159,0.014364035781639304,0.07900219679901617,0.026733528972271915,0.14703440934749554,1.0,1.0,2.67993,0
0.06307319039039039,0.01641604089330206,0.09028822491316134,0.030552604539739334,0.16803932496856633,1.0,1.0,2.67993,0
0.07095733918918919,0.01846804600496482,0.1015742530273065,0.03437168010720675,0.18904424058963712,1.0,1.0,2.67993,0
0.07884148798798798,0.020520051116627577,0.11286028114145166,0.034854403344717406,0.19169921839594573,1.0,1.0,2.67993,0
0.08672563678678678,0.022572056228290335,0.12414630925559683,0.03489612185173892,0.19192867018456405,1.0,1.0,2.67993,0
0.09460978558558558,0.024624061339953093,0.135432337369742,0.034937840358760436,0.19215812197318238,1.0,1.0,2.67993,0
0.10249393438438438,0.02667606645161585,0.14671836548388717,0.03497955886578195,0.19238757376180068,1.0,1.0,2.67993,0
0.11037808318318318,0.02872807156327861,0.15800439359803234,0.03502127737280346,0.192617025550419,1.0,1.0,2.67993,0
0.11826223198198198,0.030780076674941367,0.1692904217121775,0.03506299587982497,0.19284647733903734,1.0,1.0,2.67993,0
0.12614638078078078,0.03283208178660412,0.18057644982632268,0.03510471438684649,0.19307592912765567,1.0,1.0,2.67993,0
0.13403052957957956,0.03488408689826688,0.19186247794046782,0.035146432893868,0.193305380916274,1.0,1.0,2.67993,0
0.14191467837837837,0.035820357126559045,0.19701196419607472,0.03518815140088951,0.1935348327048923,1.0,1.0,2.67993,0
0.14979882717717719,0.03584597146770346,0.19715284307236902,0.03522986990791103,0.19376428449351063,1.0,1.0,2.67993,0
0.15768297597597597,0.035871585808847875,0.1972937219486633,0.03527158841493254,0.19399373628212896,1.0,1.0,2.67993,0
0.16556712477477475,0.03589720014999229,0.19743460082495756,0.03531330692195405,0.1942231880707473,1.0,1.0,2.67993,0
0.17345127357357357,0.035922814491136705,0.19757547970125186,0.03535502542897557,0.19445263985936562,1.0,1.0,2.67993,0
0.18133542237237238,0.03594842883228112,0.19771635857754613,0.03539674393599708,0.19468209164798392,1.0,1.0,2.67993,0
0.18921957117117116,0.03597404317342553,0.1978572374538404,0.03543846244301859,0.19491154343660225,1.0,1.0,2.67993,0
0.19710371996996995,0.03599965751456995,0.1979981163301347,0.03547332537552207,0.19510328956537137,1.0,1.0,2.67993,0
0.20498786876876876,0.03602527185571436,0.19813899520642897,0.03543028690500409,0.1948665779775225,1.0,1.0,2.67993,0
0.21287201756756757,0.03605088619685877,0.19827987408272324,0.03538724843448611,0.1946298663896736,1.0,1.0,2.67993,0
0.22075616636636636,0.03607650053800319,0.19842075295901754,0.035344209963968136,0.19439315480182476,1.0,1.0,2.67993,0
0.22864031516516514,0.0361021148791476,0.1985616318353118,0.03530117149345016,0.19415644321397588,1.0,1.0,2.67993,0
0.23652446396396395,0.03612772922029202,0.19870251071160608,0.03525813302293218,0.193919731626127,1.0,1.0,2.67993,0
0.24440861276276277,0.036153343561436437,0.19884338958790038,0.03521509455241421,0.19368302003827811,1.0,1.0,2.67993,0
0.25229276156156155,0.03617895790258085,0.19898426846419465,0.035172056081896226,0.19344630845042923,1.0,1.0,2.67993,0
0.26017691036036034,0.03620457224372526,0.19912514734048892,0.03512901761137825,0.19320959686258038,1.0,1.0,2.67993,0
0.2680610591591591,0.03623018658486968,0.19926602621678322,0.03508597914086027,0.1929728852747315,1.0,1.0,2.67993,0
0.27594520795795796,0.03625580092601409,0.19940690509307749,0.0350429406703423,0.19273617368688262,1.0,1.0,2.67993,0
0.28382935675675675,0.03629237384058747,0.19960805612323107,0.034999902199824316,0.19249946209903374,1.0,1.0,2.67993,0
0.29171350555555553,0.03634100057184159,0.19987550314512875,0.03495686372930634,0.19226275051118488,1.0,1.0,2.67993,0
0.29959765435435437,0.036389627303095716,0.20014295016702643,0.03491382525878837,0.192026038923336,1.0,1.0,2.67993,0
0.30748180315315315,0.03643825403434984,0.20041039718892412,0.03487078678827039,0.19178932733548712,1.0,1.0,2.67993,0
0.31536595195195194,0.03648688076560396,0.2006778442108218,0.034827748317752406,0.19155261574763824,1.0,1.0,2.67993,0
0.3232501007507507,0.03653550749685809,0.20094529123271948,0.03480718550870106,0.19143952029785583,1.0,1.0,2.67993,0
0.3311342495495495,0.036584134228112214,0.20121273825461716,0.03484484388491545,0.19164664136703496,1.0,1.0,2.67993,0
