r (A),g(r)_weighted_Li-Cl,g(r)_unweighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Sm-Cl,g(r)_unweighted_Sm-Cl,S_i_Li-Cl,S_i_K-Cl,S_i_Sm-Cl,Average_SCL,lambda_BC
0.4013378316096097,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.4092072008568569,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.41707657010410415,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.4249459393513514,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.4328153085985986,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.44068467784584586,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.44855404709309316,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.4564234163403404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.46429278558758763,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.47216215483483487,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.4800315240820821,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.4879008933293294,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.49577026257657664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.5036396318238239,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.5115090010710711,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.5193783703183183,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
0.5272477395655656,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.09665,0
