r (A),g(r)_weighted_Ca-Ca,g(r)_unweighted_Ca-Ca,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,g(r)_weighted_Ca-Cl,g(r)_unweighted_Ca-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
0.7649342622622624,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
0.7767024816816818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
0.7884707011011012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
0.8002389205205206,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
0.81200713993994,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
0.8237753593593594,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
0.8355435787787789,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
0.8473117981981984,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
0.8590800176176178,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
0.8708482370370372,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
0.8826164564564566,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
0.894384675875876,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
0.9061528952952954,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
0.9179211147147148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
0.9296893341341342,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
0.9414575535535536,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
0.9532257729729731,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
0.9649939923923925,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
0.9767622118118119,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
0.9885304312312314,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.0002986506506508,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.0120668700700701,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.0238350894894896,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.035603308908909,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.0473715283283285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.059139747747748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.0709079671671673,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.0826761865865868,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.0944444060060061,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.1062126254254256,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.117980844844845,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.1297490642642645,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.1415172836836838,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.1532855031031033,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.1650537225225226,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.1768219419419421,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.1885901613613614,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.200358380780781,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.2121266002002005,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.2238948196196198,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.2356630390390393,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.2474312584584586,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.2591994778778781,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.2709676972972974,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.282735916716717,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.2945041361361362,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.3062723555555558,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.318040574974975,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.3298087943943946,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.341577013813814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.3533452332332334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.365113452652653,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.3768816720720722,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.3886498914914918,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.400418110910911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.4121863303303306,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.4239545497497499,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.4357227691691694,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.4474909885885887,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.4592592080080082,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.4710274274274275,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.482795646846847,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.4945638662662664,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.5063320856856859,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.5181003051051054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.5298685245245247,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.5416367439439442,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.5534049633633635,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.565173182782783,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.5769414022022024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.5887096216216219,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.6004778410410412,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
1.6122460604604607,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.50317,7.72598
