r (A),g(r)_weighted_Ca-Cl,g(r)_unweighted_Ca-Cl,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,g(r)_weighted_Ca-Ca,g(r)_unweighted_Ca-Ca,S_i_Ca-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.7543,7.72598
0.009945077109109109,0.0,0.0,0.0,0.0,0.00020614160480377143,0.0014429912336263997,1.0,4.7543,7.72598
0.019890154218218218,0.0,0.0,0.0,0.0,0.00041228320960754285,0.0028859824672527994,1.0,4.7543,7.72598
0.02983523132732733,0.0,0.0,0.0,0.0,0.0006184248144113143,0.0043289737008792,1.0,4.7543,7.72598
0.039780308436436436,0.0,0.0,0.0,0.0,0.0008245664192150857,0.005771964934505599,1.0,4.7543,7.72598
0.04972538554554554,0.0,0.0,0.0,0.0,0.0010307080240188572,0.007214956168131999,1.0,4.7543,7.72598
0.05967046265465466,0.0,0.0,0.0,0.0,0.0012368496288226287,0.0086579474017584,1.0,4.7543,7.72598
0.06961553976376376,0.0,0.0,0.0,0.0,0.0014429912336264,0.010100938635384799,1.0,4.7543,7.72598
0.07956061687287287,0.0,0.0,0.0,0.0,0.0014117494098901879,0.009882245869231313,1.0,4.7543,7.72598
0.08950569398198198,0.0,0.0,0.0,0.0,0.0013662783289919364,0.009563948302943553,1.0,4.7543,7.72598
0.09945077109109109,0.0,0.0,0.0,0.0,0.001320807248093685,0.009245650736655793,1.0,4.7543,7.72598
0.1093958482002002,0.0,0.0,0.0,0.0,0.0012753361671954335,0.008927353170368033,1.0,4.7543,7.72598
0.11934092530930931,0.0,0.0,0.0,0.0,0.001229865086297182,0.008609055604080273,1.0,4.7543,7.72598
0.12928600241841842,0.0,0.0,0.0,0.0,0.0011843940053989305,0.008290758037792513,1.0,4.7543,7.72598
0.13923107952752753,0.0,0.0,0.0,0.0,0.0011389229245006792,0.007972460471504754,1.0,4.7543,7.72598
0.14917615663663664,0.0,0.0,0.0,0.0,0.001093451843602428,0.007654162905216994,1.0,4.7543,7.72598
0.15912123374574574,0.0,0.0,0.0,0.0,0.0010479807627041765,0.007335865338929234,1.0,4.7543,7.72598
0.16906631085485485,0.0,0.0,0.0,0.0,0.001002509681805925,0.007017567772641474,1.0,4.7543,7.72598
0.17901138796396396,0.0,0.0,0.0,0.0,0.0009842363718226054,0.006889654602758236,1.0,4.7543,7.72598
0.18895646507307307,0.0,0.0,0.0,0.0,0.0009970235081997653,0.006979164557398357,1.0,4.7543,7.72598
0.19890154218218217,0.0,0.0,0.0,0.0,0.0010098106445769256,0.007068674512038478,1.0,4.7543,7.72598
0.20884661929129128,0.0,0.0,0.0,0.0,0.0010225977809540856,0.007158184466678598,1.0,4.7543,7.72598
0.2187916964004004,0.0,0.0,0.0,0.0,0.0010353849173312458,0.007247694421318719,1.0,4.7543,7.72598
0.2287367735095095,0.0,0.0,0.0,0.0,0.001048172053708406,0.00733720437595884,1.0,4.7543,7.72598
0.23868185061861863,0.0,0.0,0.0,0.0,0.001060959190085566,0.0074267143305989615,1.0,4.7543,7.72598
0.24862692772772774,0.0,0.0,0.0,0.0,0.0010737463264627262,0.0075162242852390825,1.0,4.7543,7.72598
0.25857200483683684,0.0,0.0,0.0,0.0,0.0010865334628398862,0.007605734239879203,1.0,4.7543,7.72598
0.2685170819459459,0.0,0.0,0.0,0.0,0.0010993205992170462,0.007695244194519323,1.0,4.7543,7.72598
0.27846215905505506,0.0,0.0,0.0,0.0,0.0011121077355942066,0.007784754149159445,1.0,4.7543,7.72598
0.28840723616416414,0.0,0.0,0.0,0.0,0.0010220533726269148,0.007154373608388402,1.0,4.7543,7.72598
0.2983523132732733,0.0,0.0,0.0,0.0,0.0009199348018156193,0.0064395436127093345,1.0,4.7543,7.72598
0.30829739038238235,0.0,0.0,0.0,0.0,0.0008178162310043245,0.005724713617030271,1.0,4.7543,7.72598
0.3182424674914915,0.0,0.0,0.0,0.0,0.0007156976601930291,0.005009883621351203,1.0,4.7543,7.72598
0.3281875446006006,0.0,0.0,0.0,0.0,0.0006135790893817337,0.004295053625672136,1.0,4.7543,7.72598
0.3381326217097097,0.0,0.0,0.0,0.0,0.0005114605185704389,0.003580223629993072,1.0,4.7543,7.72598
0.34807769881881884,0.0,0.0,0.0,0.0,0.0004093419477591435,0.002865393634314004,1.0,4.7543,7.72598
