r (A),g(r)_weighted_Li-Cl,g(r)_unweighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,S_i_Li-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.80606,0
0.007969175355355355,0.005638748505713757,0.024509249703950662,0.004818038156042064,0.03674940685197363,1.0,1.0,2.80606,0
0.01593835071071071,0.011277497011427514,0.049018499407901324,0.009636076312084128,0.07349881370394726,1.0,1.0,2.80606,0
0.023907526066066064,0.016916245517141267,0.07352774911185198,0.014454114468126191,0.11024822055592089,1.0,1.0,2.80606,0
0.03187670142142142,0.02255499402285503,0.09803699881580265,0.019272152624168256,0.14699762740789452,1.0,1.0,2.80606,0
0.03984587677677677,0.02819374252856878,0.12254624851975329,0.024090190780210317,0.18374703425986813,1.0,1.0,2.80606,0
0.04781505213213213,0.033832491034282534,0.14705549822370395,0.026073429843953392,0.19887411646174374,1.0,1.0,2.80606,0
0.05578422748748749,0.0394712395399963,0.17156474792765464,0.02607294881528663,0.1988704474334775,1.0,1.0,2.80606,0
0.06375340284284284,0.04510998804571006,0.1960739976316053,0.02607246778661987,0.1988667784052113,1.0,1.0,2.80606,0
0.07172257819819819,0.04737977346356793,0.20593979276758162,0.02607198675795311,0.19886310937694507,1.0,1.0,2.80606,0
0.07969175355355354,0.047376400073204074,0.20592513006952143,0.02607150572928635,0.19885944034867886,1.0,1.0,2.80606,0
0.0876609289089089,0.04737302668284022,0.20591046737146126,0.026071024700619585,0.19885577132041263,1.0,1.0,2.80606,0
0.09563010426426426,0.04736965329247637,0.20589580467340107,0.02607054367195283,0.19885210229214642,1.0,1.0,2.80606,0
0.10359927961961961,0.04736627990211252,0.2058811419753409,0.026030951423468843,0.19855011388927382,1.0,1.0,2.80606,0
0.11156845497497497,0.04736290651174866,0.20586647927728072,0.025990316291022334,0.198240170927762,1.0,1.0,2.80606,0
0.11953763033033032,0.047359533121384814,0.20585181657922055,0.025949681158575825,0.1979302279662502,1.0,1.0,2.80606,0
0.12750680568568568,0.04735615973102096,0.2058371538811604,0.025909046026129316,0.19762028500473838,1.0,1.0,2.80606,0
0.13547598104104103,0.04735278634065711,0.2058224911831002,0.02586841089368281,0.1973103420432266,1.0,1.0,2.80606,0
0.14344515639639638,0.04734941295029326,0.20580782848504003,0.025827775761236304,0.1970003990817148,1.0,1.0,2.80606,0
0.15141433175175173,0.0473460395599294,0.20579316578697984,0.025787140628789795,0.19669045612020297,1.0,1.0,2.80606,0
0.15938350710710708,0.047342666169565555,0.20577850308891968,0.025746505496343285,0.19638051315869118,1.0,1.0,2.80606,0
0.16735268246246246,0.0473392927792017,0.2057638403908595,0.025705870363896776,0.19607057019717936,1.0,1.0,2.80606,0
0.1753218578178178,0.04733591938883785,0.20574917769279932,0.02566523523145027,0.19576062723566756,1.0,1.0,2.80606,0
0.18329103317317316,0.047332545998473995,0.20573451499473913,0.025624600099003764,0.19545068427415577,1.0,1.0,2.80606,0
0.1912602085285285,0.04732917260811015,0.20571985229667897,0.02558396496655725,0.19514074131264394,1.0,1.0,2.80606,0
0.19922938388388386,0.047325799217746295,0.2057051895986188,0.025632156054423788,0.1955083170431154,1.0,1.0,2.80606,0
0.20719855923923922,0.04732242582738244,0.2056905269005586,0.025685213815765523,0.19591301314452694,1.0,1.0,2.80606,0
0.21516773459459457,0.04731905243701859,0.20567586420249845,0.025738271577107258,0.1963177092459385,1.0,1.0,2.80606,0
