r (A),g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_K-K,g(r)_unweighted_K-K,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.849223887027027,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
0.8641225517117117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
0.8790212163963964,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
0.8939198810810811,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
0.9088185457657658,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
0.9237172104504504,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
0.9386158751351351,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
0.9535145398198198,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
0.9684132045045045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
0.9833118691891892,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
0.9982105338738738,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.0131091985585585,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.0280078632432432,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.042906527927928,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.0578051926126126,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.0727038572972973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.087602521981982,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.1025011866666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.1173998513513514,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.132298516036036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.1471971807207206,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.1620958454054053,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.17699451009009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.1918931747747747,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.2067918394594594,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.2216905041441442,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.2365891688288289,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.2514878335135136,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.2663864981981983,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.281285162882883,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.2961838275675677,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.3110824922522522,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.3259811569369369,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.3408798216216216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.3557784863063063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.370677150990991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.3855758156756757,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.4004744803603604,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.415373145045045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.4302718097297298,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.4451704744144145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.4600691390990992,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.4749678037837837,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.4898664684684684,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.504765133153153,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.5196637978378378,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.5345624625225225,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.5494611272072072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.564359791891892,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.5792584565765766,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.5941571212612613,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.609055785945946,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.6239544506306307,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.6388531153153154,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.65375178,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.6686504446846846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.6835491093693693,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.698447774054054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.7133464387387387,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.7282451034234234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.7431437681081081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.7580424327927928,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.7729410974774775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.7878397621621622,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.802738426846847,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.8176370915315316,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.8325357562162161,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.8474344209009008,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.8623330855855855,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.8772317502702702,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.892130414954955,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.9070290796396396,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.9219277443243243,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.936826409009009,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.9517250736936937,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.9666237383783784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.9815224030630632,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
1.9964210677477476,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.0113197324324323,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.026218397117117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.0411170618018017,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.0560157264864865,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
2.070914391171171,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.09199,4.47675
