r (A),g(r)_weighted_Sr-Sr,g(r)_unweighted_Sr-Sr,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,g(r)_weighted_Sr-Cl,g(r)_unweighted_Sr-Cl,S_i_Sr-Cl,Average_SCL,lambda_BC
0.8154507513513514,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
0.8290415972072072,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
0.8426324430630631,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
0.8562232889189189,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
0.8698141347747748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
0.8834049806306307,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
0.8969958264864865,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
0.9105866723423424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
0.9241775181981982,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
0.9377683640540541,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
0.9513592099099099,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
0.9649500557657658,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
0.9785409016216216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
0.9921317474774775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.0057225933333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.0193134391891892,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.032904285045045,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.046495130900901,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.0600859767567568,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.0736768226126125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.0872676684684683,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.1008585143243244,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.1144493601801801,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.128040206036036,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.141631051891892,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.1552218977477478,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.1688127436036035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.1824035894594593,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.1959944353153154,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.2095852811711711,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.223176127027027,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.236766972882883,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.2503578187387387,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.2639486645945945,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.2775395104504503,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.2911303563063063,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.3047212021621621,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.318312048018018,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.05062,0
1.331902893873874,0.0,0.0,-0.010087693828002873,-0.017653464199005025,0.0,0.0,1.0,5.05062,0
1.3454937397297297,0.0,0.0,-0.010126121902167624,-0.01772071332879334,0.0,0.0,1.0,5.05062,0
1.3590845855855855,0.0,0.0,-0.010164549976332376,-0.017787962458581656,0.0,0.0,1.0,5.05062,0
1.3726754314414413,0.0,0.0,-0.010202978050497129,-0.017855211588369974,0.0,0.0,1.0,5.05062,0
1.3862662772972973,0.0,0.0,-0.010241406124661881,-0.01792246071815829,0.0,0.0,1.0,5.05062,0
1.3998571231531531,0.0,0.0,-0.010279834198826632,-0.017989709847946605,0.0,0.0,1.0,5.05062,0
1.413447969009009,0.0,0.0,-0.010318262272991386,-0.018056958977734922,0.0,0.0,1.0,5.05062,0
1.427038814864865,0.0,0.0,-0.010356690347156139,-0.01812420810752324,0.0,0.0,1.0,5.05062,0
1.4406296607207207,0.0,0.0,-0.01039511842132089,-0.018191457237311554,0.0,0.0,1.0,5.05062,0
1.4542205065765765,0.0,0.0,-0.010433546495485642,-0.01825870636709987,0.0,0.0,1.0,5.05062,0
1.4678113524324323,0.0,0.0,-0.010471974569650393,-0.018325955496888185,0.0,0.0,1.0,5.05062,0
1.4814021982882883,0.0,0.0,-0.010510402643815146,-0.018393204626676502,0.0,0.0,1.0,5.05062,0
1.4949930441441441,0.0,0.0,-0.010548830717979898,-0.01846045375646482,0.0,0.0,1.0,5.05062,0
1.50858389,0.0,0.0,-0.01058725879214465,-0.018527702886253137,0.0,0.0,1.0,5.05062,0
1.522174735855856,0.0,0.0,-0.010625686866309401,-0.01859495201604145,0.0,0.0,1.0,5.05062,0
1.5357655817117117,0.0,0.0,-0.010664114940474154,-0.018662201145829768,0.0,0.0,1.0,5.05062,0
1.5493564275675675,0.0,0.0,-0.010702543014638908,-0.018729450275618086,0.0,0.0,1.0,5.05062,0
1.5629472734234233,0.0,0.0,-0.010740971088803659,-0.0187966994054064,0.0,0.0,1.0,5.05062,0
