Cs-F,,Cs-Cs,,F-F,
X,Y,X,Y,X,Y
2.317241379310345,0.03027305560028548,3.183925024193959,0.0017712958063995643,2.7632048082310403,0.017663186115718155
2.3761422095451534,0.13857974281705054,3.361506986536275,0.039012163920266296,2.9483217032547246,0.0560110083838552
2.409799826822187,0.2791884244668861,3.44477155809097,0.12242874560051575,3.0997809810013752,0.13423661751512572
2.4350430397799627,0.45997101515953176,3.5036723883257785,0.22218490487911513,3.2007538328324765,0.2229449518069524
2.4602862527377374,0.7580179890041636,3.5541588142413287,0.3387254338141146,3.2764834717058022,0.3086402429205677
2.4602862527377374,0.6402107151894372,3.604645240156879,0.45304915920958866,3.343798706259869,0.4036461089001868
2.485529465695513,0.9527800142623821,3.6298884531146545,0.5566055531273726,3.415321142973565,0.506252444158175
2.5107726786532885,1.2102459110671484,3.668594712983243,0.6630121230245454,3.4531859624102283,0.5844739404813941
2.533211090171311,1.6533532699960904,3.70561809198798,0.7998205700351964,3.5036723883257785,0.6658622990039342
2.5444302959303213,1.761279933748936,3.730861304945755,0.9100273745715537,3.5541588142413287,0.7618182236433491
2.5612591045688387,1.9664926042649125,3.769567564814344,1.0164339444687265,3.618669247355643,0.8739251454992987
2.578087913207355,2.4292767336589662,3.8065909438190806,1.1617929194175431,3.667753272551317,0.9774815394170826
2.611745530484389,2.9317522026178375,3.8402485610961143,1.2930910262013757,3.70561809198798,1.059503270379487
2.6369887434421644,3.266410365531044,3.8823205826924063,1.4221089922016983,3.7561045179035304,1.141841687561823
2.662231956399939,3.5093878677739183,3.918783001409193,1.5155314270816556,3.8192125502979684,1.2596489613765502
2.6846703679179615,3.824807342826252,3.958050221565732,1.633338700896383,3.865491774053889,1.3375537714798371
2.7160698823409577,4.061613489452739,4.008536647481282,1.7473457400719257,3.9412214129272147,1.4390200363460703
2.736749350583203,4.215281452002484,4.067437477716091,1.8572358583883508,4.042194264758316,1.5392376526879996
2.788448021188815,4.3026868487037335,4.168410329547192,1.953666812357664,4.193653542504967,1.6068522170475195
2.8480619365354256,4.174254100434771,4.328284011613101,1.9640742731308851,4.378770437528651,1.5937241337485188
2.8836448836143234,3.9971061167214903,4.462914480721235,1.8752869729244788,4.547058523913819,1.5243986412397543
2.916423029253468,3.7895488946654075,4.547058523913819,1.793961951645925,4.69851780166047,1.438259989418233
2.954810777772119,3.537406546893331,4.631202567106403,1.7027563203054905,4.841562675087863,1.355604886015965
2.965150511893241,3.425782705711854,4.7069322059797285,1.616871017459916,5.001436357153772,1.269322285912657
2.9875889234112636,3.274336317868787,4.7910762491723125,1.522498523920162,5.186553252177457,1.1933175931289615
3.0156369378087913,3.136964873133814,4.892049101003413,1.4287594028202717,5.371670147201142,1.1235314661184788
3.040880150766567,2.907050677463136,4.993021952834514,1.3394538887994294,5.548372637905568,1.054056267396656
3.0661233637243424,2.7284396494214533,5.102409208984873,1.2498769294472174,5.725075128609994,0.9659944665304563
3.088561775242364,2.5500397455263926,5.225820472333996,1.16590984027666,5.90177761931442,0.88114559131375
3.1166097896398925,2.3902187665340113,5.346426934243366,1.0905385199328288,6.078480110018846,0.8084574669424338
3.139048201157914,2.2299755392483878,5.489471807670759,1.0143227030025121,6.263597005042532,0.7569815613752953
3.1670962155554427,2.086199995399232,5.64093108541741,0.9298730443539629,6.448713900066215,0.7334892017876076
3.1923394285132183,1.9740930735432816,5.809219171802578,0.8468052892105709,6.633830795089901,0.7345256294164759
3.217582641470993,1.8296841572542615,5.994336066826262,0.7694186929217182,6.8189476901135855,0.7576725131278748
3.2428258544287685,1.7308780566354587,6.179452961849948,0.7158699320968429,7.00406458513727,0.8022389011692228
3.268069067386543,1.6016700789031768,6.364569856873631,0.6813223444678895,7.189181480160954,0.863388131272468
3.2848978760250604,1.5218651514802977,6.549686751897317,0.6761402063235478,7.3742983751846385,0.9314468789015047
3.318555493302094,1.4344597547790485,6.7348036469210015,0.69583233127205,7.559415270208325,0.9977782471490917
3.3353843019406106,1.350854592716984,6.919920541944686,0.7331437259113187,7.744532165232009,1.0599639048812062
3.3774563235369026,1.2254468496238875,7.10503743696837,0.7936020042619845,7.929649060255693,1.1117852863246345
3.4111139408139364,1.1456419222010075,7.281739927672797,0.8674647466126846,8.114765955279378,1.1435690669432708
3.4531859624102283,1.0430355869430201,7.429593032139767,0.9355432357203659,8.299882850303062,1.1594609572525894
3.5036723883257785,0.9366290170458473,7.660388122039425,1.0575455737471797,8.484999745326746,1.1594609572525894
3.5373300056028123,0.8720250281797064,7.845505017063109,1.1314774112731376,8.670116640350432,1.1449509704484289
3.613059644476137,0.7703687515815147,8.030621912086794,1.1905537861186453,8.855233535374117,1.120422183231872
3.747690113584272,0.6397356858595389,8.215738807110478,1.2202647114795449,9.040350430397801,1.089329354365816
3.8907349870116645,0.5464715940895459,8.400855702134162,1.2223375667372824,9.225467325421485,1.0513270079739687
4.053974430805277,0.48858135308596573,8.585972597157848,1.2029909176650682,9.41058422044517,1.012633709829542
4.244139968420517,0.4605632595188851,8.771089492181533,1.166370474778379,9.595701115468854,0.9760132669428518
4.429256863444202,0.4640180182817808,8.9393775785667,1.1236850109523848,9.78081801049254,0.9456113898293745
4.614373758467886,0.4868194261168899,9.275953751337036,1.0281801242625699,9.965934905516225,0.9217735543653971
4.804539296083126,0.5357042626118567,9.46107064636072,0.9836137362212218,10.151051800539909,0.9058816640560794
4.984607548515256,0.5966807547769566,9.646187541384405,0.9463023415819531,10.336168695563593,0.9010450017880265
5.148688432740794,0.6663373283338316,9.83130443640809,0.9114092780767118,10.521285590587278,0.9020814294168948
5.304354912647074,0.7537955060717367,10.016421331431774,0.8892988219941822,10.706402485610962,0.914173085087028
5.4417901831949615,0.8371895439871793,10.201538226455458,0.8789345457054969,10.891519380634648,0.9338652100355302
5.5680062479838375,0.9214280784891082,10.386655121479144,0.875825262818891,11.076636275658332,0.95609082474349
5.694783273060664,1.0073133813346828,10.571772016502829,0.886535014983866,11.261753170682017,0.9784315980768792
5.809219171802578,1.0908099652641994,10.756888911526513,0.9020814294168948,11.446870065705701,1.0049180819257426
5.943849640910712,1.1768882959009712,10.942005806550197,0.9255737890045816,11.631986960729385,1.0240344137470965
6.103723322976622,1.2683895010466752,11.107889777415577,0.9491155022888824,11.81710385575307,1.0419991593141509
6.280425813681048,1.3342717506550876,11.389171293230786,1.005576131213913,12.002220750776756,1.0558181943657319
6.470591351296289,1.3626353200984562,11.564671726175318,1.0302529795203075,12.18733764580044,1.0610003325100754
6.65439933898142,1.337342647333216,11.749788621199004,1.0537453391079943,12.372454540824124,1.0610003325100754
