K-K,,K-Cl,,K-Ca,,Cl-Cl,,Ca-Cl,,Ca-Ca,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
9.925468853,0.984274017,10.94113806,0.915574942,9.827840719,0.968031597,10.40210979,0.945817518,6.454611242,1.383908899,9.576286537,1.018625068
10.08208826,0.965993231,11.09774858,0.920266999,9.98448175,0.927243024,10.55883652,0.95028044,6.611143942,1.322829497,9.733037666,0.957592793
10.23870766,0.940209068,11.25434958,0.929994203,10.14114177,0.896480693,10.71555849,0.952225816,6.767712498,1.287008614,9.889807969,0.906675041
10.39532707,0.917426256,11.41093628,0.947274127,10.29785401,0.893290525,10.87229953,0.964241373,6.924209342,1.200670693,10.04664059,0.888629487
10.55194648,0.9096502,11.56751345,0.969589197,10.45452827,0.870047875,11.02904056,0.97625693,7.080742042,1.139591292,10.20342527,0.845297627
10.70856588,0.898872793,11.72409062,0.991904267,10.61122627,0.859338027,11.18579114,0.993307578,7.237332112,1.11892552,10.36024831,0.822194811
10.86518529,0.895598764,11.88068208,1.006666617,10.76795275,0.86366754,11.34253218,1.005323136,7.393857641,1.052794415,10.51709051,0.809206518
11.02180469,0.899828113,12.03726402,1.026464114,10.92466974,0.862983933,11.49925891,1.009786057,7.550397512,0.996766717,10.6739519,0.806332748
11.1784241,0.907058813,12.19386025,1.038708891,11.08143894,0.889872489,11.65599995,1.021801614,7.706958897,0.95589413,10.83085163,0.823688022
11.33504351,0.920292215,12.35043265,1.063541534,11.23817967,0.901721683,11.81271715,1.021229445,7.863541795,0.930176655,10.98773698,0.833457404
11.49166291,0.936526969,12.5070527,1.063198445,11.39494887,0.928610239,11.96945342,1.030727457,8.020031468,0.83878703,11.14466547,0.865984462
11.64828232,0.957263749,12.66367276,1.062855356,11.55172283,0.958005355,12.12618015,1.035190378,8.176657394,0.843379778,11.30160834,0.906097411
11.80490172,0.976499854,12.82029281,1.062512267,11.70849678,0.987400472,12.28289735,1.034618209,8.333247463,0.822714006,11.4585656,0.953796252
11.96152113,0.988232581,12.97691287,1.062169179,11.8652565,1.009275907,12.43961455,1.03404604,8.489866218,0.82225505,11.61550847,0.993909202
12.11814053,1.008969362,13.13353769,1.059308516,12.0220257,1.036164463,12.59630791,1.020886143,8.646499314,0.831899502,11.77241779,1.016321737
12.27475994,1.02370344,13.29017681,1.048895135,12.17876643,1.048013658,12.75302034,1.017796429,8.803175438,0.871854176,11.92936066,1.056434686
12.43137935,1.036936842,13.44683022,1.030929034,12.33552139,1.067382533,12.90973753,1.017224259,8.959837219,0.901705443,12.08631792,1.104133527
12.58799875,1.032162137,13.6034741,1.017998079,12.49225262,1.074218606,13.06644996,1.014134545,9.116513343,0.941660118,12.24316971,1.096202496
12.74461816,1.046896215,13.76010845,1.01010227,12.64898385,1.08105468,13.22314332,1.000974648,9.273153611,0.956356273,12.40005985,1.108500508
12.90123756,1.046623537,13.91674756,0.999688889,12.80569609,1.077864512,13.37985575,0.997884934,9.429836906,1.001362652,12.55693082,1.110683999
13.05785697,1.040348157,14.07338668,0.989275507,12.96238934,1.064648103,13.53654911,0.984725037,9.586520201,1.04636903,12.71378741,1.105281598
13.21447638,1.02957075,14.2300258,0.978862125,13.1190731,1.046418574,13.69326631,0.984152868,9.743189154,1.081272,12.87063921,1.097350566
13.37109578,1.020294018,14.38666015,0.970966317,13.2757616,1.030695605,13.84997397,0.978545608,9.899843764,1.106071564,13.02745745,1.07171912
13.52771519,1.008015935,14.54328497,0.968105655,13.43243586,1.007452954,14.0066721,0.967903257,10.05648403,1.120767719,13.18429965,1.058730827
13.68433459,0.995737853,14.69990502,0.967762566,13.58912436,0.991729985,14.16341313,0.979918815,10.21310279,1.120308763,13.34110351,1.025513489
13.840954,0.978957743,14.85652508,0.967419477,13.74580812,0.973500456,14.32012556,0.9768291,10.36972154,1.119849807,13.49792175,0.999882043
13.9975734,0.974183038,,,13.90251561,0.967803728,14.47683799,0.973739385,10.52634029,1.119390851,13.6547304,0.969193336
14.15419281,0.964906307,,,14.05918987,0.944561077,14.63354566,0.968132125,10.68295905,1.118931895,13.81158699,0.963790934
14.31081222,0.955629575,,,14.21589737,0.938864349,14.79028669,0.980147682,10.8395778,1.118472939,13.96837647,0.922987705
14.46743162,0.949354195,,,14.37260486,0.933167621,14.96008273,0.989598014,10.99614636,1.082652056,14.12524265,0.922642564
14.62405103,0.953583544,,,14.52930286,0.922457773,,,11.15272209,1.051882877,14.28209923,0.917240163
14.78067043,0.954811541,,,14.68602934,0.926787286,,,11.30931216,1.031217106,14.438975,0.921952284
14.93542532,0.97383651,,,14.84275107,0.928610239,,,11.46588788,1.000447927,14.5958172,0.908963991
,,,,,,,,11.6224923,0.989885563,14.75269776,0.916204743
,,,,,,,,11.77908236,0.969219792,14.91888696,0.908325414
,,,,,,,,11.95400442,0.932016784,,
,,,,,,,,12.1183728,0.93286346,,
,,,,,,,,12.27499156,0.932404504,,
,,,,,,,,12.43161031,0.931945548,,
,,,,,,,,12.58822906,0.931486592,,
,,,,,,,,12.74484782,0.931027636,,
,,,,,,,,12.90149526,0.950775495,,
,,,,,,,,13.05812835,0.960419947,,
,,,,,,,,13.21479014,0.990271213,,
,,,,,,,,13.37140889,0.989812257,,
,,,,,,,,13.52802764,0.989353301,,
,,,,,,,,13.68471094,1.03435968,,
,,,,,,,,13.84135121,1.049055835,,
,,,,,,,,13.99796996,1.048596879,,
,,,,,,,,14.15460306,1.058241331,,
,,,,,,,,14.31121464,1.052730671,,
,,,,,,,,14.46782622,1.047220011,,
,,,,,,,,14.62444498,1.046761055,,
,,,,,,,,14.79416908,1.084151631,,
