Li-Cl,,Li-Li,,Cl-Cl,
R (A),RDF,R (A),RDF,R (A),RDF
9.446522565,0.333333,,,,
9.523409329,0.333333,,,,
9.685725831,0.333333,,,,
9.793367301,0.333333,,,,
9.890757203,0.333333,,,,
9.993272888,0.333333,,,,
10.09578857,0.333333,,,,
10.19830426,0.333333,,,,
10.30081995,0.333333,,,,
10.40333563,0.333333,,,,
10.50585132,0.333333,,,,
10.608367,0.333333,,,,
10.72796864,0.333333,,,,
10.83048432,0.333333,,,,
10.93300001,0.333333,,,,
11.03551569,0.333333,,,,
11.13973997,0.333333,,,,
11.30034788,0.333333,,,,
11.39432059,0.333333,,,,
11.49854487,0.333333,,,,
11.59935196,0.333333,,,,
11.70186765,0.333333,,,,
11.79584036,0.333333,,,,
11.97524281,0.333333,,,,
12.14610229,0.333333,,,,
12.24861797,0.333333,,,,
12.35113366,0.333333,,,,
12.46219232,0.333333,,,,
12.55616503,0.333333,,,,
12.65868071,0.333333,,,,
12.74411045,0.333333,,,,
12.91496993,0.333333,,,,
13.03457156,0.333333,,,,
13.13708725,0.333333,,,,
13.23960293,0.333333,,,,
13.34211862,0.333333,,,,
13.4446343,0.333333,,,,
13.54714999,0.333333,,,,
13.64966568,0.333333,,,,
13.76926731,0.333333,,,,
13.87178299,0.333333,,,,
13.94012679,0.333333,,,,
