Na-Na,,Na-Cl,,Na-Ca,,Cl-Cl,,Ca-Cl,,Ca-Ca,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
7.789297705,1.217534504,3.990529515,0.612563408,5.804551551,0.64240272,5.670756494,0.78419398,3.921421972,0.140080362,5.662984186,0.641471367
7.942256621,1.224576575,4.143463062,0.60235941,5.957274713,0.593118624,5.8238032,0.742100999,4.1439266,0.14744541,5.857474731,0.504306345
8.095211032,1.226743712,4.296464334,0.628794988,6.110106318,0.573177257,5.976849907,0.741665898,4.329169445,0.189709404,6.01066398,0.440240949
8.248163191,1.226473383,4.449497212,0.672329036,6.262992144,0.567907253,6.129896614,0.773086824,4.482074747,0.239524385,6.163699551,0.41774529
8.401097327,1.206703321,4.602543634,0.723190999,6.415968338,0.587089524,6.282943321,0.824111457,4.634980049,0.290386635,6.316653764,0.417257138
8.554011188,1.164996059,4.755603602,0.781380877,6.56898068,0.616052703,6.435990027,0.899640726,4.787885351,0.351029884,6.469472379,0.453448166
8.706920545,1.118413864,4.908668085,0.842013393,6.722074354,0.667022929,6.589036734,0.984971849,4.940790654,0.409227883,6.622236755,0.504310865
8.859836659,1.079144069,5.061746113,0.909973825,6.875204176,0.727774064,6.742083441,1.067852508,5.093695956,0.482097381,6.774946891,0.569845237
9.012739257,1.025249473,5.214842201,0.98770481,7.028433403,0.8154227,6.895130147,1.136030387,5.246601258,0.54763113,6.927593749,0.652496559
9.165655371,0.985979678,5.367924745,1.058107881,7.181725888,0.920187928,7.048176854,1.172352239,5.399506561,0.605829129,7.080159249,0.757155388
9.318569233,0.944272416,5.521029863,1.140724143,7.335000299,1.0200627,7.201223561,1.186619919,5.552411863,0.661581879,7.232733788,0.859368939
9.471496611,0.917189954,5.674121436,1.21601249,7.488220489,1.105266109,7.354270267,1.183734355,5.705317165,0.717334628,7.385199849,0.990925834
9.624426241,0.892544959,5.827194949,1.281530283,7.641395495,1.178243381,7.507316974,1.168596473,5.858222467,0.74374438,7.53765687,1.124928007
9.777355872,0.867899963,5.980205251,1.312851139,7.794525317,1.238994516,7.660363681,1.1461072,6.01112777,0.748146884,7.690240449,1.22469628
9.93030803,0.867629634,6.133161373,1.314860333,7.947528622,1.265512468,7.813410387,1.11136561,6.164033072,0.737877889,7.842851147,1.317128716
10.08326019,0.867359305,6.28608589,1.299771058,8.100531927,1.292030421,7.966457094,1.07662402,6.316938374,0.703156396,7.995669762,1.353319744
10.23621911,0.874401376,6.438956226,1.255370122,8.253417753,1.286760417,8.119503801,1.059035674,6.469843676,0.653763405,8.148533576,1.377284378
10.38919604,0.90094318,6.591799472,1.196313356,8.40624032,1.264373822,8.272550507,1.031645474,6.622748979,0.604370414,8.301542028,1.362124555
10.54217523,0.929922451,6.744629173,1.129928674,8.558963483,1.215089727,8.425597214,1.011606665,6.775654281,0.557422672,8.454695117,1.307840273
10.69515217,0.956464255,6.897458873,1.063543993,8.711686645,1.165805631,8.578643921,0.99401832,6.928559583,0.527591679,8.607902446,1.23888432
10.84814037,0.995193392,7.050293089,0.999601949,8.864373659,1.106740626,8.731690627,0.978880438,7.081464886,0.500205936,8.761091694,1.174818923
11.00112182,1.026610129,7.203145365,0.94543046,9.017051637,1.045230393,8.884737334,0.958841629,7.234370188,0.482601192,8.914335182,1.096081855
11.15409425,1.048277,7.356038276,0.913242716,9.169738652,0.986165388,9.037784041,0.936352356,7.38727549,0.472332197,9.06756963,1.019790066
11.30706668,1.069943871,7.508908612,0.86884178,9.322497961,0.946662202,9.190830748,0.931016328,7.540180792,0.464508452,9.220713679,0.967951063
11.46004588,1.098923142,7.661810554,0.841539314,9.47523016,0.899823333,9.343877454,0.930581227,7.693086095,0.449348957,9.373830609,0.923447895
11.61300704,1.108402679,7.81476216,0.841105869,9.62798947,0.860320147,9.496924161,0.930146127,7.845991397,0.434189463,9.52692042,0.886280564
11.7659592,1.10813235,7.967713767,0.840672425,9.780830111,0.842824007,9.649970868,0.929711026,7.998896699,0.420744566,9.68001927,0.846667954
11.9189001,1.095674688,8.120669889,0.84268162,9.933734011,0.842444458,9.803017574,0.943978706,8.151802002,0.425877722,9.833027722,0.831508131
12.07184324,1.085654492,8.273680192,0.874002475,10.08656562,0.82250309,9.956064281,0.965597777,8.304707304,0.432725476,9.986099452,0.799231357
12.22477738,1.06588443,8.426690494,0.90532333,10.23954181,0.841685361,10.10911099,0.979865458,8.457612606,0.456689978,10.13907174,0.793852648
12.37770701,1.041239435,8.579714341,0.943972101,10.392518,0.860867631,10.26215769,1.011286383,8.610517908,0.475763981,10.29200788,0.798255053
12.5306434,1.023906839,8.732765279,0.997276702,10.54551227,0.884940356,10.4152044,1.025554063,8.763423211,0.502173733,10.44493497,0.805102737
12.68358204,1.00901171,8.885789127,1.035925473,10.6985698,0.926129672,10.56825111,1.044722671,8.916328513,0.545700234,10.59776263,0.838848486
12.83651167,0.984366715,9.038831034,1.084344797,10.8516454,0.972209443,10.72129781,1.046738034,9.069233815,0.564774236,10.75056316,0.879930071
12.98944806,0.967034119,9.191823277,1.105895099,11.00471196,1.015843987,10.87434452,1.05855525,9.222139117,0.576512489,10.90334562,0.925902214
13.14238445,0.949701524,9.344815519,1.127445401,11.15776949,1.057033303,11.02739123,1.05812015,9.37504442,0.588250743,11.05610999,0.976764913
13.29533661,0.949431195,9.497771641,1.129454595,11.31081798,1.095777392,11.18043793,1.050333658,9.527949722,0.604879496,11.20887437,1.027627613
13.44827976,0.939410999,9.650723248,1.129021151,11.46379417,1.114959662,11.33348464,1.042547167,9.680855024,0.6043915,11.36163874,1.078490313
13.60123642,0.944015604,9.803661309,1.121259791,11.61676133,1.131696705,11.48653135,1.042112066,9.833760327,0.574560507,11.51450256,1.102454947
13.75418633,0.941307808,9.956581311,1.103727878,11.76966523,1.131317156,11.63957805,1.041676965,9.986665629,0.574072511,11.66733925,1.133755418
13.90714524,0.948349879,10.10948777,1.07886805,11.92250587,1.113821016,11.79262476,1.016737229,10.13957093,0.558913017,11.82025731,1.143048381
14.06010191,0.952954483,10.26240325,1.058893498,12.07536459,1.101215331,11.94567147,1.011401201,10.29247623,0.551089272,11.97320248,1.145005508
14.21306758,0.967308954,10.41529165,1.024263116,12.22820523,1.08371919,12.09871817,1.0109661,10.44538154,0.538375027,12.12624709,1.120064569
14.36603326,0.981663425,10.56821617,1.009173841,12.3810278,1.061332596,12.25176488,0.988476828,10.59828684,0.523215533,12.27927362,1.100014189
14.51899893,0.996017896,10.72112714,0.986756651,12.53381422,1.029165091,12.40481159,0.980690336,10.75119214,0.512946538,12.43235439,1.065292136
14.6719601,1.005497433,10.87405617,0.974110015,12.68662775,1.004333269,12.55785829,0.970453381,10.90409744,0.497787044,12.58540804,1.037905919
14.82492803,1.022289371,11.02696263,0.949250187,12.83944128,0.979501447,12.710905,0.967567817,11.05700274,0.482627549,12.73851593,0.995848031
14.99062201,1.01746979,11.17989617,0.939046189,12.99224577,0.952224397,12.86395171,0.964682253,11.20990805,0.469913305,12.89156054,0.970907093
,,11.33283875,0.933727468,13.14514967,0.951844849,13.01699841,0.964247152,11.36281335,0.466980059,13.0446142,0.943520876
,,11.48579036,0.933294024,13.29798128,0.931903481,13.17004512,0.963812051,11.51571865,0.466492064,13.19764977,0.921025216
,,11.63874196,0.932860579,13.45084903,0.921743023,13.32309183,0.978079731,11.66862395,0.466004068,13.35060398,0.920537065
,,11.79170712,0.939755051,13.60375293,0.921363474,13.47613853,0.977644631,11.82152926,0.465516072,13.50363051,0.900486684
,,11.94468581,0.953977437,13.75665683,0.920983926,13.62918524,0.97720953,12.12733986,0.47921158,13.65662088,0.890217417
,,12.09766902,0.970642462,13.90958784,0.927940059,13.78223195,0.99147721,12.28024516,0.503176082,13.80958414,0.887283987
,,12.25064772,0.984864848,14.062555,0.944677102,13.93527865,1.005744891,12.43315047,0.514914335,13.96252027,0.891686393
,,12.40363545,1.003972511,14.21547697,0.949188008,14.08832536,1.00530979,12.58605577,0.521762089,14.11540216,0.91076047
,,12.55661415,1.018194898,14.36841702,0.958589368,14.24137207,1.004874689,12.73896107,0.533500342,14.26832926,0.917608154
,,12.70958833,1.029974646,14.52140225,0.980216866,14.39441877,1.004439588,12.89186637,0.535457597,14.42124731,0.926901117
,,12.86254896,1.034426478,14.67439652,1.004289591,14.54746548,1.004004487,13.04477167,0.534969601,14.57406592,0.963092145
,,13.01552315,1.046206226,14.82733656,1.013690952,14.70051219,1.010920777,13.19767698,0.534481605,14.7269659,0.977275665
,,13.1684883,1.053100698,14.99058587,1.054365919,14.85355889,1.008035213,13.35058228,0.53399361,14.87983875,0.998795021
,,13.32142636,1.045339338,,,14.9836486,1.005705006,13.50348758,0.533505614,14.96907651,0.99459782
,,13.47437797,1.044905894,,,,,13.65639288,0.533017618,,
,,13.62732054,1.039587173,,,,,13.80929819,0.532529623,,
,,13.78025409,1.029383175,,,,,13.96220349,0.527151127,,
,,13.93317861,1.0142939,,,,,14.11510879,0.516882133,,
,,14.08610312,0.999204626,,,,,14.26801409,0.516394137,,
,,14.2390457,0.993885905,,,,,14.42091939,0.503679892,,
,,14.39197925,0.983681907,,,,,14.5738247,0.500746647,,
,,14.54493085,0.983248463,,,,,14.72673,0.500258651,,
,,14.69785537,0.968159188,,,,,14.8796353,0.487544407,,
,,14.85080698,0.967725744,,,,,,,,
,,14.99828829,0.9631204,,,,,,,,
