r (A),g(r)_weighted_Li-F,g(r)_weighted_F-F,g(r)_weighted_Na-F,S_i_Li-F,S_i_Na-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
0.05686596453535354,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
0.11373192907070707,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
0.17059789360606062,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
0.22746385814141415,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
0.2843298226767677,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
0.34119578721212124,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
0.39806175174747477,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
0.4549277162828283,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
0.5117936808181819,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
0.5686596453535354,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
0.625525609888889,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
0.6823915744242425,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
0.739257538959596,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
0.7961235034949495,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
0.8529894680303031,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
0.9098554325656566,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
0.9667213971010101,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
1.0235873616363638,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
1.0804533261717173,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
1.1373192907070708,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
1.1941852552424244,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
1.251051219777778,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
1.3079171843131314,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
1.364783148848485,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
1.4216491133838385,0.0,0.0,0.0,1.0,1.0,2.26929,2.378058
1.478515077919192,0.02636159300696318,0.0,0.0,1.0,1.0,2.26929,2.378058
1.5353810424545455,0.09604727432349482,0.0,0.0004710185507246377,1.0,1.0,2.26929,2.378058
1.592247006989899,0.2631152889202361,0.0,0.0004710185507246377,1.0,1.0,2.26929,2.378058
1.6491129715252526,0.49848103984964176,0.0,0.0004710185507246377,1.0,1.0,2.26929,2.378058
1.7059789360606061,0.7287893711495257,0.0,0.0004710185507246377,1.0,1.0,2.26929,2.378058
1.7628449005959597,0.8693289577560089,0.0,0.0030852283477461225,0.8574271237115022,1.0,2.26929,2.378058
1.8197108651313132,0.8902715059145071,0.0007345561184508822,0.01502561238234044,0.24695247411910787,1.0,2.26929,2.378058
1.8765768296666667,0.8328881460368323,0.0011775463768115939,0.047538573555523454,0.24695247411910787,1.0,2.26929,2.378058
1.9334427942020203,0.7300561864304717,0.0011775463768115939,0.10564030965059816,0.24695247411910787,1.0,2.26929,2.378058
1.9903087587373738,0.6182831732920125,0.0011775463768115939,0.19075575129051503,0.24695247411910787,1.0,2.26929,2.378058
2.0471747232727275,0.5133680612329673,0.0011775463768115939,0.27885938372756275,0.24695247411910787,1.0,2.26929,2.378058
2.104040687808081,0.4159350902452928,0.0012789931694139828,0.3494094062463756,0.24695247411910787,1.0,2.26929,2.378058
2.1609066523434346,0.3433672596703955,0.00340571215150418,0.38467837559633067,0.24695247411910787,0.8240649458195491,2.26929,2.378058
2.217772616878788,0.2844295854574665,0.007363327836735838,0.3915235549774611,0.24695247411910787,0.019887226884398312,2.26929,2.378058
2.2746385814141417,0.23371452175838794,0.017998577873204757,0.37773123465749797,0.24695247411910787,0.019887226884398312,2.26929,2.378058
2.331504545949495,0.19650166648091036,0.03624158781969448,0.35555781512077,0.24695247411910787,0.019887226884398312,2.26929,2.378058
2.3883705104848487,0.16875063754579697,0.06704671049032872,0.32047561638333866,0.24695247411910787,0.019887226884398312,2.26929,2.378058
2.4452364750202022,0.1480543331091205,0.10683413468530047,0.2855110087706994,0.24695247411910787,0.019887226884398312,2.26929,2.378058
2.502102439555556,0.13232661560486889,0.15798785871499493,0.2524362931305521,0.24695247411910787,0.019887226884398312,2.26929,2.378058
2.5589684040909093,0.122656804800061,0.22106268175603694,0.22443631932819802,0.24695247411910787,0.019887226884398312,2.26929,2.378058
2.615834368626263,0.11356083386750797,0.28891112363305665,0.19867145602434091,0.24695247411910787,0.019887226884398312,2.26929,2.378058
2.6727003331616164,0.10668190510750562,0.3614767684658365,0.17668008473913782,0.24695247411910787,0.019887226884398312,2.26929,2.378058
2.72956629769697,0.10236565840560806,0.4313069251793986,0.15698702814497448,0.24695247411910787,0.019887226884398312,2.26929,2.378058
2.7864322622323234,0.0979484991381898,0.48668911736476483,0.14155251010361822,0.24695247411910787,0.019887226884398312,2.26929,2.378058
2.843298226767677,0.09688711717391303,0.5362827961408755,0.129405303149293,0.24695247411910787,0.019887226884398312,2.26929,2.378058
2.9001641913030305,0.09583182801974226,0.5730857355331364,0.11758110723563354,0.24695247411910787,0.019887226884398312,2.26929,2.378058
2.957030155838384,0.09610745498874976,0.5988384783129405,0.11025477440280017,0.24695247411910787,0.019887226884398312,2.26929,2.378058
3.0138961203737376,0.09830493935247786,0.6163573618254742,0.10405359893296076,0.24695247411910787,0.019887226884398312,2.26929,2.378058
