r (A),g(r)_weighted_Na-F,g(r)_weighted_Na-Na,g(r)_weighted_F-F,S_i_Na-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,3.89484,4.005403
0.12861723102594927,0.0,0.0,0.0,1.0,3.89484,4.005403
0.25723446205189854,0.0,0.0,0.0,1.0,3.89484,4.005403
0.38585169307784783,0.0,0.0,0.0,1.0,3.89484,4.005403
0.5144689241037971,0.0,0.0,0.0,1.0,3.89484,4.005403
0.6430861551297463,0.0,0.0,0.0,1.0,3.89484,4.005403
0.7717033861556957,0.0,0.0,0.0,1.0,3.89484,4.005403
0.9003206171816449,0.0,0.0,0.0,1.0,3.89484,4.005403
1.0289378482075942,0.0,0.0,0.0,1.0,3.89484,4.005403
1.1575550792335434,0.0,0.0,0.0,1.0,3.89484,4.005403
1.2861723102594926,0.0,0.0,0.0,1.0,3.89484,4.005403
1.4147895412854419,0.0,0.0,0.0,1.0,3.89484,4.005403
1.5434067723113913,0.0,0.0,0.0,1.0,3.89484,4.005403
1.6720240033373406,0.0,0.0,0.0,1.0,3.89484,4.005403
1.8006412343632898,0.031088915850573814,0.0,0.0,1.0,3.89484,4.005403
1.929258465389239,0.4020730485738212,0.0,0.0,1.0,3.89484,4.005403
2.0578756964151883,1.1430895367977407,0.0,0.0,1.0,3.89484,4.005403
2.1864929274411375,1.3143932993761849,0.0034148117949471344,0.01540553449985527,0.748512846651373,3.89484,4.005403
2.315110158467087,1.0708290081243321,0.012049730392080191,0.03545336075439905,0.748512846651373,3.89484,4.005403
2.443727389493036,0.7302590860487835,0.04353982421306364,0.07443212573959163,0.748512846651373,3.89484,4.005403
2.5723446205189853,0.49360940235731576,0.11496417733743997,0.13531233897129058,0.748512846651373,3.89484,4.005403
2.7009618515449345,0.34512542901726406,0.22045281836350972,0.21619030995872182,0.748512846651373,3.89484,4.005403
2.8295790825708838,0.25928728559055836,0.34169352338295933,0.3136384497253178,0.748512846651373,3.89484,4.005403
2.958196313596833,0.20821286477241185,0.45210452726696293,0.41168003409875453,0.748512846651373,3.89484,4.005403
3.0868135446227827,0.177679382365578,0.5268477272024676,0.4851783948054876,0.748512846651373,3.89484,4.005403
3.215430775648732,0.16240038068854262,0.5568094632038858,0.5241514042757321,0.748512846651373,3.89484,4.005403
3.344048006674681,0.1567066216933852,0.5560568631874071,0.5341716018695306,0.748512846651373,3.89484,4.005403
3.4726652377006304,0.15841523944705538,0.5337477738052194,0.5270662179921307,0.748512846651373,3.89484,4.005403
3.6012824687265796,0.16686095328885522,0.49397788368485723,0.5008539077179243,0.748512846651373,3.89484,4.005403
3.729899699752529,0.17991619701595785,0.4562023492722439,0.4686556765425152,0.748512846651373,3.89484,4.005403
3.858516930778478,0.19983020124486683,0.4207541340207692,0.4380579929552185,0.748512846651373,3.89484,4.005403
3.9871341618044274,0.22503989227528914,0.392557765220093,0.41242184978440566,0.748512846651373,3.89484,4.005403
4.115751392830377,0.25523846314627147,0.36967218915828814,0.3873515203905208,0.748512846651373,3.89484,4.005403
4.244368623856326,0.2914684138235101,0.3482367777113018,0.3630715427966767,0.506039997726256,3.89484,4.005403
4.372985854882275,0.3311158977501895,0.32455603691943186,0.3351453105608876,0.07505402089217052,3.89484,4.005403
4.501603085908225,0.36987946011811196,0.2995443532491578,0.30749007991859456,0.07505402089217052,3.89484,4.005403
4.630220316934174,0.40420374201582776,0.275681105069638,0.2811922220732185,0.07505402089217052,3.89484,4.005403
4.758837547960123,0.4298818645448609,0.26315650170854044,0.2613324440783883,0.07505402089217052,3.89484,4.005403
4.887454778986072,0.44421962935520387,0.25144945614913394,0.24792693690120118,0.07505402089217052,3.89484,4.005403
5.016072010012022,0.4461735166843305,0.2453223354458765,0.24024053435388484,0.07505402089217052,3.89484,4.005403
5.1446892410379705,0.4373670828636274,0.24477700918465864,0.2416543453875658,0.07505402089217052,3.89484,4.005403
5.27330647206392,0.4207683947308195,0.25326407866398704,0.24862506108329108,0.07505402089217052,3.89484,4.005403
5.401923703089869,0.3983543212066987,0.26670602927699183,0.26070082590975296,0.07505402089217052,3.89484,4.005403
5.530540934115819,0.37578965286239885,0.2839205287375444,0.2775941356352738,0.07505402089217052,3.89484,4.005403
5.6591581651417675,0.35248786307453506,0.3046373407883956,0.2981299133129298,0.07505402089217052,3.89484,4.005403
5.787775396167717,0.3317619969022973,0.3266740546550279,0.3196993800131227,0.07505402089217052,3.89484,4.005403
5.916392627193666,0.3144169175415084,0.3474128190278032,0.3406542818451897,0.07505402089217052,3.89484,4.005403
6.045009858219616,0.3009385993241113,0.36580204709001496,0.360298835657091,0.07505402089217052,3.89484,4.005403
6.173627089245565,0.2905663691425834,0.37996088860773025,0.3749569857029099,0.07505402089217052,3.89484,4.005403
6.302244320271514,0.2843748722240378,0.38400858224533874,0.3856908449451274,0.07505402089217052,3.89484,4.005403
6.430861551297464,0.2809131140265245,0.38678093853399975,0.3913755801624133,0.04582438530856074,3.89484,4.005403
6.559478782323413,0.28041071340894563,0.38873554062669047,0.3913429966943548,0.0029500011368961366,3.89484,4.005403
6.688096013349362,0.2842516393557905,0.3836817850623725,0.3878183586468376,0.0029500011368961366,3.89484,4.005403
6.816713244375311,0.28989372512136036,0.3753920711437826,0.3807724896451309,0.0029500011368961366,3.89484,4.005403
6.945330475401261,0.2983768213137413,0.36504270993350163,0.36987263591938413,0.0029500011368961366,3.89484,4.005403
7.07394770642721,0.30888401346101496,0.3529526392601186,0.3579464087777168,0.0029500011368961366,3.89484,4.005403
