r (A),g(r)_weighted_Al-F,g(r)_weighted_Na-F,g(r)_weighted_Al-Na,g(r)_weighted_K-F,g(r)_weighted_Na-Na,g(r)_weighted_F-F,g(r)_weighted_Al-K,g(r)_weighted_Al-Al,g(r)_weighted_K-Na,S_i_Al-F,S_i_Na-F,S_i_K-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.11029,0
0.0997662619006898,5.691480022713494e-05,5.4990145146990286e-05,1.2321336121776904e-05,-0.0026049790777421906,-0.0013128472049681755,-0.012267759477250336,-0.0003839494550339683,-0.0005870266441065938,-0.0004936831941382286,1.0,1.0,1.0,2.11029,0
0.1995325238013796,0.00011934118385258975,0.00011530549164498553,2.6114044606685995e-05,-0.0013668763730103476,-0.0013105200371422705,-0.014834756993640067,-0.00045493462018394255,-0.0008265830729863542,-0.0004936831941382286,1.0,1.0,1.0,2.11029,0
0.29929878570206936,0.00018237386162860275,0.00017620662959279227,-0.0006930336329483109,-0.00012877366827850482,-0.0009597087035965611,-0.017268672292298726,-0.000496004426532216,-0.0006949170408533496,-0.0004921762053511179,1.0,1.0,1.0,2.11029,0
0.3990650476027592,-0.0008958595296834804,0.00023710776754052104,-0.0009972467183888437,0.00011025511190638487,-0.00041774042718140055,-0.01939308403000077,-0.00042501926138224186,-0.0005804339953848715,-0.00044318713347397905,1.0,1.0,1.0,2.11029,0
0.498831309503449,-0.003878424043073649,0.0002255192303811022,0.0007179376886442945,0.00013857414105203185,6.520982614628426e-05,-0.021517495767702812,-0.00038322157944979397,-0.0008677053382205311,-0.0003941980615968402,1.0,1.0,1.0,2.11029,0
0.5985975714041387,-0.005138080797938528,-0.003097720333128608,0.0009785932635615877,0.00016689317019774402,7.853611453747401e-05,-0.020237107379642964,-0.00038322157944979397,-0.0011373027519155346,-0.0003873720386463732,1.0,1.0,1.0,2.11029,0
0.6983638333048285,-0.0023823038099870055,-0.005684570880001174,0.00014076612293610006,0.00019521219934350535,9.186240292866376e-05,-0.01743674645267209,-0.00038322157944979397,-0.0011373027519155346,-0.00042082799017222414,1.0,1.0,1.0,2.11029,0
0.7981300952055184,0.00037347317796451723,-0.005623669742053391,0.00010887029551605803,0.0002235312284892344,0.00010518869131985353,-0.01795887239484793,-0.0003960471362233956,-0.0011373027519155346,-0.00045428394169807514,1.0,1.0,1.0,2.11029,0
0.8978963571062082,0.0005605699282842973,-0.0032930037959542787,0.0001226630040009392,0.00013556007423091916,0.00011851497971104392,-0.019825779679495177,-0.0004450024225337226,-0.0011373027519155346,-0.00048773989322392603,1.0,1.0,1.0,2.11029,0
