r (A),g(r)_weighted_U-Cl,g(r)_weighted_Na-Cl,g(r)_weighted_Cl-Cl,g(r)_weighted_Na-Na,g(r)_weighted_Na-U,g(r)_weighted_U-U,S_i_U-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
0.06987714046464646,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
0.13975428092929293,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
0.2096314213939394,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
0.27950856185858586,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
0.3493857023232323,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
0.4192628427878788,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
0.4891399832525253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
0.5590171237171717,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
0.6288942641818182,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
0.6987714046464646,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
0.7686485451111111,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
0.8385256855757576,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
0.908402826040404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
0.9782799665050506,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
1.0481571069696969,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
1.1180342474343434,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
1.18791138789899,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
1.2577885283636363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
1.3276656688282829,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
1.3975428092929292,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
1.4674199497575757,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
1.5372970902222223,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
1.6071742306868686,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
1.6770513711515151,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
1.7469285116161617,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
1.816805652080808,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
1.8866827925454546,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
1.9565599330101011,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
2.0264370734747477,0.0,0.004143928271895924,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
2.0963142139393938,0.0,0.005866123823325517,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
2.1661913544040403,0.0,0.01565968576133963,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
2.236068494868687,0.0,0.039459244021211065,0.0,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
2.3059456353333334,0.0,0.11315907276818664,0.006927649690717199,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
2.37582277579798,0.00964436734676935,0.22626875969598498,0.0068072718830255105,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
2.445699916262626,0.04355019357466211,0.36311303277593565,0.006686894075333822,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
2.5155770567272726,0.14205608077615595,0.4893557534836518,0.006566516267642134,0.0,0.0,0.0,1.0,1.0,2.9513,2.717874
2.585454197191919,0.3253073540341979,0.5716005775310821,0.0065550340731277525,0.0,0.0,0.0,1.0,0.9437532785148055,2.9513,2.717874
2.6553313376565657,0.5356318016839852,0.6026365375945433,0.007898876731198554,0.0,0.0,0.0,1.0,0.18815996563686332,2.9513,2.717874
2.7252084781212123,0.6675640218853641,0.5885763890778759,0.013400440339199926,0.0015836782393491714,0.0,0.0,0.9525002303532536,0.1572977725470911,2.9513,2.717874
2.7950856185858584,0.6898724466196935,0.5508809166760289,0.029028134639171428,0.0035292360257694316,0.0,0.0,0.024230229493041492,0.1572977725470911,2.9513,2.717874
2.864962759050505,0.6401079738875785,0.4972880160160414,0.05187146334398974,0.005869747869550613,0.0,0.0,0.024230229493041492,0.1572977725470911,2.9513,2.717874
2.9348398995151515,0.5362956377840886,0.44116381270969857,0.12099241701459772,0.008540752496139501,0.0,0.0,0.024230229493041492,0.1572977725470911,2.9513,2.717874
3.004717039979798,0.41602699026757173,0.3880576079117696,0.21182684230943893,0.011962414481757517,0.0,0.0,0.024230229493041492,0.1572977725470911,2.9513,2.717874
3.0745941804444445,0.3142851914233908,0.3404822708774421,0.3256429410625038,0.01683022452772859,0.0,0.0,0.024230229493041492,0.1572977725470911,2.9513,2.717874
3.144471320909091,0.23282633447970455,0.29876551393373363,0.4592287871632234,0.023046559510709434,0.0007663730045188603,0.0,0.024230229493041492,0.1572977725470911,2.9513,2.717874
3.214348461373737,0.17268073309005566,0.26525328428621864,0.5601845662966038,0.029126327946626753,0.0013333316665492616,0.0,0.024230229493041492,0.1572977725470911,2.9513,2.717874
3.2842256018383837,0.12745855270899212,0.23339396261131137,0.7299334545534589,0.035190998748081834,0.0027424327802620754,0.0,0.024230229493041492,0.1572977725470911,2.9513,2.717874
3.3541027423030303,0.09778283738087866,0.21201961987154574,0.8317558361906641,0.0419030334733788,0.004623934897701364,0.0,0.024230229493041492,0.1572977725470911,2.9513,2.717874
3.423979882767677,0.07753099781301208,0.19242369962176778,0.9124805689678995,0.04866150448170089,0.00705232169267839,0.0,0.024230229493041492,0.1572977725470911,2.9513,2.717874
3.4938570232323234,0.06272710609979884,0.17762473247525984,0.9652050206270535,0.05551194184662563,0.010388681181201611,0.0,0.024230229493041492,0.1572977725470911,2.9513,2.717874
3.5637341636969695,0.05202870433629518,0.16572541033219967,1.0003991113431978,0.06282046989804116,0.014854954341674508,0.0,0.024230229493041492,0.1572977725470911,2.9513,2.717874
3.633611304161616,0.04517560911513667,0.15573541128479138,0.9963317443256854,0.07055620772579424,0.02076004438292941,0.0002949276839893206,0.024230229493041492,0.1572977725470911,2.9513,2.717874
3.7034884446262626,0.03934682647668601,0.14811961350357164,0.9840853995034814,0.07854217787451916,0.02726301988511169,0.0003248777038788934,0.024230229493041492,0.1572977725470911,2.9513,2.717874
3.773365585090909,0.03558256551977889,0.1407978947260555,0.9565079405177198,0.08566228402368324,0.033765995387293975,0.0009785963476284174,0.024230229493041492,0.1572977725470911,2.9513,2.717874
3.8432427255555557,0.03241010839568311,0.13658386541092007,0.9195596300225355,0.09109891687444478,0.04026897088947626,0.002156026323658683,0.024230229493041492,0.1572977725470911,2.9513,2.717874
3.9131198660202022,0.032397211327215285,0.1330781534212935,0.8773577609259717,0.09498166850261072,0.04757414538122969,0.004352544643480783,0.024230229493041492,0.1572977725470911,2.9513,2.717874
