r (A),g(r)_weighted_Na-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Ca-Na,g(r)_weighted_Cl-Cl,g(r)_weighted_Ca-Cl,g(r)_weighted_Ca-Ca,S_i_Na-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.88333,0
0.15029934646464646,0.0,0.006075051486355215,0.001269170714970455,0.01892647846199347,0.008274713622305736,0.0007032044773045103,1.0,1.0,2.88333,0
0.3005986929292929,0.0,0.006635227448491995,0.0016388904708138836,0.021210117258108917,0.008191932643730353,0.0012689768984913438,1.0,1.0,2.88333,0
0.45089803939393935,0.0,0.006567404465479394,0.0016185639503267383,0.022208394260012816,0.00810915152233482,0.0013421584581693577,1.0,1.0,2.88333,0
0.6011973858585858,0.0,0.006499581482519951,0.0015982374475907394,0.022124271883273792,0.008026370421023095,0.0013138349972045208,1.0,1.0,2.88333,0
0.7514967323232323,0.0,0.006431758499560508,0.0015779109539047498,0.021908751740170797,0.008082924669143702,0.0012855115018975862,1.0,1.0,2.88333,0
0.9017960787878787,0.0,0.009602375610269161,0.0016447908269429643,0.03191378146372615,0.00926464465138014,0.0012571880036142636,1.0,1.0,2.88333,0
1.0520954252525252,0.0,0.00924281430777168,0.0017632828274778331,0.032014311496799126,0.007522665382739257,0.001228864508194149,1.0,1.0,2.88333,0
1.2023947717171717,0.0,0.0067868411735487934,0.001624693441710967,0.023107660369648963,0.0074352142969101405,0.0012005410127740343,1.0,1.0,2.88333,0
1.3526941181818182,0.0,0.0061604664080356355,0.0014966049365960081,0.02104667167142552,0.0076124651943913265,0.0011722175107160644,1.0,1.0,2.88333,0
1.5029934646464647,0.0,0.006092643425076193,0.0014762784460558922,0.02083115152739939,0.0075296840729058255,0.0011438940030317837,1.0,1.0,2.88333,0
1.6532928111111111,0.0,0.006024820442116749,0.0014559519501497753,0.020615631384141946,0.007446903066230699,0.0011155705249608927,1.0,1.0,2.88333,0
1.8035921575757574,0.0,0.005956997459157306,0.0015729090287717063,0.020400111610494504,0.007364122036103565,0.0010173624374486755,1.0,1.0,2.88333,0
1.953891504040404,0.0017356988028463486,0.008978150153964247,0.001472133022628471,0.023997913395550387,0.008144242668677791,0.0018053577799948062,1.0,1.0,2.88333,0
2.1041908505050504,0.001205923962709147,0.012243955573689494,0.0010381907039537102,0.021732091940474336,0.011601550726358512,0.001911502395436746,1.0,1.0,2.88333,0
2.254490196969697,0.0009434949856023746,0.04184153144210018,0.001359039196455427,0.019753551315396668,0.030472363382092194,0.00100227654937359,1.0,1.0,2.88333,0
2.4047895434343434,0.0009081798486885902,0.2168620002135958,0.0013543194267407375,0.01953803117152499,0.14873664607772413,0.0009739530752489724,1.0,1.0,2.88333,0
2.5550888898989896,0.0008948258563324023,0.4336698853306989,0.0013339929090968453,0.0193225110281131,0.45072173908570745,0.0009456295675521375,1.0,1.0,2.88333,0
2.7053882363636363,0.0011640515520798466,0.46981463350273556,0.001313666388690673,0.019878767946111965,0.48322962521206375,0.0008076149348594071,0.07231035537362634,0.10704967376461169,2.88333,0
2.8556875828282826,0.0019432087738136944,0.39410798410683157,0.0014127091616547966,0.046214485550582635,0.3256144382217047,0.0011916174275567071,0.07231035537362634,0.10704967376461169,2.88333,0
3.0059869292929293,0.0032178381258732855,0.29256193215231097,0.001110363065323959,0.1530862592368651,0.16974988989699596,0.0016884213543222407,0.07231035537362634,0.10704967376461169,2.88333,0
3.1562862757575756,0.010482239984657908,0.21914395813983,0.0011770489000993416,0.3726599807018001,0.09588257840892082,0.0007010379692168785,0.07231035537362634,0.10704967376461169,2.88333,0
3.3065856222222223,0.02208746067835787,0.1625186168938941,0.002307985005510226,0.6617116554879945,0.058579062451251274,0.0007044496847876154,0.07231035537362634,0.10704967376461169,2.88333,0
3.4568849686868686,0.03544611148191536,0.133603157653709,0.004638735373942557,0.9057155545285681,0.04208423093134104,0.0007756886397497003,0.07231035537362634,0.10704967376461169,2.88333,0
3.607184315151515,0.053234353649728366,0.11612206367832008,0.020184647963553928,0.9915168176575353,0.031427686904854764,0.001619513414704555,0.07231035537362634,0.10704967376461169,2.88333,0
3.7574836616161615,0.0695743627896262,0.10405835792639048,0.03776553195119566,0.9815700087950964,0.026848052771748208,0.005621816475103667,0.07231035537362634,0.10704967376461169,2.88333,0
3.907783008080808,0.0831320668477978,0.09884216826529117,0.0657968197042375,0.9275343893252959,0.02438528814418274,0.01529827653092797,0.07231035537362634,0.10704967376461169,2.88333,0
4.058082354545454,0.0899083326951416,0.09682433829713566,0.0968731334066476,0.8231449221598486,0.02495517002720233,0.039172768039535316,0.07231035537362634,0.10704967376461169,2.88333,0
4.208381701010101,0.09175458891244018,0.09770330387981824,0.11593477532817496,0.6979221089956071,0.027983400379856145,0.07621702823988202,0.07231035537362634,0.10704967376461169,2.88333,0
4.3586810474747475,0.0887206248991582,0.10294503516161024,0.12591531792840077,0.595580425295669,0.03439854336574125,0.11256336216200968,0.07231035537362634,0.10704967376461169,2.88333,0
4.508980393939394,0.08155819435276593,0.11020666812443167,0.12458467802058922,0.5313115008205157,0.04288070192357182,0.13415861294510145,0.07231035537362634,0.10704967376461169,2.88333,0
4.65927974040404,0.07449072353696846,0.11859261090863989,0.11683372613534555,0.4785270354468859,0.05177696276216175,0.14383132236834462,0.07231035537362634,0.10704967376461169,2.88333,0
