r (A),g(r)_weighted_Sr-Sr,g(r)_weighted_Cl-Cl,g(r)_weighted_Sr-Cl,S_i_Sr-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,4.8667,3.388477
0.13714399,0.0,0.0,0.0,1.0,4.8667,3.388477
0.27428798,0.0,0.0,0.0,1.0,4.8667,3.388477
0.41143197,0.0,0.0,0.0,1.0,4.8667,3.388477
0.54857596,0.0,0.0,0.0,1.0,4.8667,3.388477
0.68571995,0.0,0.0,0.0,1.0,4.8667,3.388477
0.82286394,0.0,0.0,0.0,1.0,4.8667,3.388477
0.96000793,0.0,0.0,0.0,1.0,4.8667,3.388477
1.09715192,0.0,0.0,0.0,1.0,4.8667,3.388477
1.23429591,0.0,0.0,0.0,1.0,4.8667,3.388477
1.3714399,0.0,-0.010199484589209424,0.0,1.0,4.8667,3.388477
1.50858389,0.0,-0.01058725879214465,0.0,1.0,4.8667,3.388477
1.64572788,0.0,-0.010975032995079877,0.0,1.0,4.8667,3.388477
1.78287187,0.0,-0.011284737947510679,0.0,1.0,4.8667,3.388477
1.92001586,0.0,-0.011342507381622432,0.0,1.0,4.8667,3.388477
2.0571598499999997,0.0,-0.01140027681573418,0.0,1.0,4.8667,3.388477
2.19430384,0.0,-0.009691698272676515,-0.002162936903928079,1.0,4.8667,3.388477
2.33144783,0.0,0.0013090107138294335,0.009391295829117692,1.0,4.8667,3.388477
2.46859182,0.0,0.012309719700335347,0.2458335919685758,1.0,4.8667,3.388477
2.6057358099999997,0.0,0.05409196462134274,0.5625286100086869,1.0,4.8667,3.388477
2.7428798,-0.0008284675238257814,0.11812676266302104,0.8418501062367818,1.0,4.8667,3.388477
2.88002379,-0.0008428906650286196,0.209706329168984,0.9545002589226496,0.8111278845811343,4.8667,3.388477
3.01716778,-0.0008573138062314579,0.3136762727319816,0.8987696557830674,0.7585834688292913,4.8667,3.388477
3.1543117699999996,0.00047815376901335456,0.48304317035521793,0.7431652374230955,0.7585834688292913,4.8667,3.388477
3.29145576,0.0033220746776028206,0.6629678084448605,0.559728455481309,0.7585834688292913,4.8667,3.388477
3.42859975,0.010895906574918464,0.8507756373313886,0.3718866049851974,0.7585834688292913,4.8667,3.388477
3.56574374,0.033401476647778955,0.9783196566428529,0.22193181498641396,0.7585834688292913,4.8667,3.388477
3.7028877299999996,0.058601566765611304,1.0065334219860715,0.13088983231340592,0.7585834688292913,4.8667,3.388477
3.84003172,0.094136069476347,1.0034167007270829,0.09952904870226559,0.7585834688292913,4.8667,3.388477
3.97717571,0.139542222235813,0.9242958838622858,0.10501188182230564,0.7585834688292913,4.8667,3.388477
4.114319699999999,0.17169233378265358,0.8074029617874142,0.12983791252493304,0.7585834688292913,4.8667,3.388477
4.25146369,0.1936326361989081,0.6543079024788314,0.1546639432275606,0.7585834688292913,4.8667,3.388477
4.38860768,0.20543429124146523,0.527723296467261,0.17948997393018815,0.7585834688292913,4.8667,3.388477
4.52575167,0.2172359462840223,0.4781195027419702,0.19180522441295286,0.7585834688292913,4.8667,3.388477
4.66289566,0.22049218720905547,0.4465324494559942,0.19836132599870004,0.7585834688292913,4.8667,3.388477
4.8000396499999995,0.22372204220856484,0.45330111107874876,0.2049174275844472,0.7585834688292913,4.8667,3.388477
4.93718364,0.2269518972080742,0.48631212692862374,0.2114735291701944,0.7585834688292913,4.8667,3.388477
5.07432763,0.21949359212528888,0.5193231427784986,0.22602030416796554,0.7585834688292913,4.8667,3.388477
5.211471619999999,0.21093349408342982,0.5393659663276927,0.2448820578645832,0.7585834688292913,4.8667,3.388477
5.3486156099999995,0.19941334102551148,0.5460620317431004,0.263743811561201,0.7585834688292913,4.8667,3.388477
5.4857596,0.18262176990705456,0.552758097158508,0.28900859252957006,0.4208081767859732,4.8667,3.388477
5.62290359,0.16548164974668414,0.5506207402435711,0.31532302157834613,0.027661390626683713,4.8667,3.388477
5.76004758,0.14861013010316304,0.5358280170941084,0.32897565954633384,0.0017209707274354795,4.8667,3.388477
