r (A),g(r)_weighted_Sr-Sr,g(r)_weighted_Cl-Cl,g(r)_weighted_Sr-Cl,S_i_Sr-Cl,Average_SCL,lambda_BC
10.83437521,0.13326808021867623,0.5612263802474678,0.290513130752486,0.0001765473937960856,4.8667,3.388477
10.9715192,0.1344880005230477,0.5633123955912717,0.28900874778257984,0.0001765473937960856,4.8667,3.388477
11.10866319,0.13605029247748218,0.5645200240395495,0.2875043648126737,0.0001765473937960856,4.8667,3.388477
11.24580718,0.1379684011367977,0.5644622546059854,0.28599998184276754,0.0001765473937960856,4.8667,3.388477
11.38295117,0.13988650979611322,0.5644044851724213,0.28427903689431766,0.00013118095262188218,4.8667,3.388477
11.52009516,0.14162222645294248,0.5639621424207044,0.2825558387125571,8.5342493334752e-05,4.8667,3.388477
11.657239149999999,0.1430886711640219,0.5627491316525806,0.2808326405307965,3.950403404762238e-05,4.8667,3.388477
11.794383139999999,0.14455511587510136,0.5615361208844567,0.2793701077118973,2.407213308830132e-06,4.8667,3.388477
11.93152713,0.14579893654620124,0.5605351032758421,0.279013758383131,2.407213308830132e-06,4.8667,3.388477
12.06867112,0.1465665975984054,0.560147329077502,0.2786574090543648,2.407213308830132e-06,4.8667,3.388477
12.20581511,0.14733425865060956,0.559759554879162,0.2783010597255986,2.407213308830132e-06,4.8667,3.388477
12.3429591,0.1478014205939454,0.5594312753628332,0.27856100251770477,2.407213308830132e-06,4.8667,3.388477
12.48010309,0.14729245518861578,0.5593735059279,0.2797879759312018,2.407213308830132e-06,4.8667,3.388477
12.617247079999999,0.14678348978328615,0.5593157364929668,0.28101494934469884,2.407213308830132e-06,4.8667,3.388477
12.754391069999999,0.14618449165612524,0.55910431132363,0.28224192275819593,2.407213308830132e-06,4.8667,3.388477
12.891535059999999,0.14509797789614282,0.5575611162931664,0.2834050717669288,2.407213308830132e-06,4.8667,3.388477
13.02867905,0.14401146413616042,0.5560179212627027,0.28452292702160203,2.407213308830132e-06,4.8667,3.388477
13.16582304,0.14293139413810743,0.5544747262332513,0.28564078227627526,2.407213308830132e-06,4.8667,3.388477
13.30296703,0.14192742566350017,0.5529315312393716,0.28675863753094843,2.407213308830132e-06,4.8667,3.388477
13.44011102,0.14092345718889296,0.5513883362454918,0.2871303284665087,1.930959740574286e-06,4.8667,3.388477
13.57725501,0.13991948871428572,0.549845141251612,0.28729251788873766,1.3209878468460293e-06,4.8667,3.388477
