r (A),g(r)_weighted_K-Na,g(r)_weighted_Na-Zn,g(r)_weighted_Cl-Cl,g(r)_weighted_Na-Cl,g(r)_weighted_K-Cl,g(r)_weighted_Zn-Cl,S_i_Na-Cl,S_i_K-Cl,S_i_Zn-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.75784,0
0.19767976606060608,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.75784,0
0.39535953212121216,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.75784,0
0.5930392981818182,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.75784,0
0.7907190642424243,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.75784,0
0.9883988303030304,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.75784,0
1.1860785963636364,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.75784,0
1.3837583624242427,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.75784,0
1.5814381284848487,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.75784,0
1.7791178945454547,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.75784,0
1.9767976606060609,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.75784,0
2.174477426666667,0.0,0.0,0.0,-0.0002666765066732249,0.0,0.021754753860223918,1.0,1.0,1.0,2.75784,0
2.372157192727273,0.0,0.0,0.0,0.016526420878570872,0.0,0.8116684427651745,1.0,1.0,1.0,2.75784,0
2.569836958787879,0.0,0.0,0.0,0.25364963679252117,0.004501869583411016,1.1304933433517876,1.0,1.0,0.020325055014318676,2.75784,0
2.7675167248484853,0.0,0.0,0.0,0.34118933212969665,0.1056737043995906,0.28870637553414547,9.02111154461892e-05,1.0,0.020325055014318676,2.75784,0
2.9651964909090913,0.0,0.0,0.017069567444382965,0.19750072857062786,0.4369025601817644,0.07322667590041741,9.02111154461892e-05,1.0,0.020325055014318676,2.75784,0
3.1628762569696973,0.0,0.0,0.16920195693317797,0.08667331671585944,0.4509889057951886,0.02783246445290024,9.02111154461892e-05,0.005121523391002333,0.020325055014318676,2.75784,0
3.3605560230303033,0.0006475267308173246,2.3921390272320795e-05,0.8240251230001685,0.05170357568316474,0.2890225835558318,0.014275306003966743,9.02111154461892e-05,0.005121523391002333,0.020325055014318676,2.75784,0
3.5582357890909093,0.004458209621651001,0.003376916501305733,1.2193704926500537,0.03796205544616832,0.16371131250461662,0.00867126603265998,9.02111154461892e-05,0.005121523391002333,0.020325055014318676,2.75784,0
3.7559155551515158,0.01909737088068163,0.028144425344692185,1.0444992091539578,0.03367556878015101,0.11618082279496647,0.007962068405641823,9.02111154461892e-05,0.005121523391002333,0.020325055014318676,2.75784,0
3.9535953212121218,0.037595596977570866,0.05738461037700721,0.648371067992087,0.03400534776549735,0.08972148246279503,0.010939100980243765,9.02111154461892e-05,0.005121523391002333,0.020325055014318676,2.75784,0
4.151275087272728,0.046375465397083905,0.06515890483823113,0.47118111473779756,0.03675352093617335,0.0786174599893782,0.018593318280941008,9.02111154461892e-05,0.005121523391002333,0.020325055014318676,2.75784,0
4.348954853333334,0.04725607528651987,0.05912598514823554,0.3930426297269713,0.04239817709117471,0.07677020022430106,0.03073882447527298,9.02111154461892e-05,0.005121523391002333,0.020325055014318676,2.75784,0
4.54663461939394,0.042068166174272156,0.04867328940543477,0.3586589574755566,0.05007015828685831,0.07878255678633747,0.0684251621121151,9.02111154461892e-05,0.005121523391002333,0.020325055014318676,2.75784,0
4.744314385454546,0.03434468149446737,0.039351687750802083,0.37224783760718305,0.05748968084062213,0.08374832556834819,0.0967533296569453,9.02111154461892e-05,0.005121523391002333,0.020325055014318676,2.75784,0
4.941994151515152,0.028024089674824962,0.0291799511173646,0.4163249526832963,0.06506347269989259,0.0913868826347821,0.12291548667840865,9.02111154461892e-05,0.005121523391002333,1.667294475862601e-07,2.75784,0
5.139673917575758,0.022743248315595512,0.019898440348469562,0.41676748953927045,0.07292019001932445,0.10550810193816747,0.14714797617510428,5.5760748891055493e-05,0.005121523391002333,1.667294475862601e-07,2.75784,0
5.337353683636365,0.019178811224438302,0.013236949951390601,0.3414122835546795,0.08253263132788032,0.12034115093693887,0.17112025266438396,5.36412839426583e-19,0.005121523391002333,1.667294475862601e-07,2.75784,0
5.535033449696971,0.016792146595428246,0.009685977750190028,0.309011392701553,0.0934389262858314,0.1351741999357102,0.19515477269910414,5.36412839426583e-19,0.005121523391002333,1.667294475862601e-07,2.75784,0
5.732713215757577,0.015351781061968843,0.008189329413962713,0.3093623516277291,0.1043452212437825,0.1534034368853678,0.21261403471613294,5.36412839426583e-19,0.005121523391002333,1.667294475862601e-07,2.75784,0
5.930392981818183,0.014165177236529818,0.007905075906029659,0.3261758038522253,0.1132209983175266,0.17594654784626665,0.21648526020570374,5.36412839426583e-19,0.005121523391002333,1.667294475862601e-07,2.75784,0
6.128072747878789,0.013748119133630006,0.008222882133000809,0.35808647885439504,0.11297447018123358,0.1928061995368975,0.20200586691885808,5.36412839426583e-19,3.065615962984109e-11,1.667294475862601e-07,2.75784,0
6.325752513939395,0.013506160694183662,0.009295331962488133,0.39668477124842705,0.1019859613310356,0.19876289083389312,0.15679224768569636,5.36412839426583e-19,3.065615962984109e-11,1.667294475862601e-07,2.75784,0
