r (A),g(r)_weighted_Ca-Cl,g(r)_weighted_Cl-Cl,g(r)_weighted_Ca-Ca,S_i_Ca-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,2.67456,3.372692
0.10035486901010102,0.0,0.0,0.001316673513466571,1.0,2.67456,3.372692
0.20070973802020203,0.0,0.0,0.0010121355784636818,1.0,2.67456,3.372692
0.301064607030303,0.0,0.0,0.000892084282503448,1.0,2.67456,3.372692
0.40141947604040407,0.0,0.0,0.0006402821285880907,1.0,2.67456,3.372692
0.5017743450505051,0.0,0.0,0.0026062834634282108,1.0,2.67456,3.372692
0.602129214060606,0.0,0.0,0.0024926007916425594,1.0,2.67456,3.372692
0.7024840830707071,0.0,0.0,0.0014717590710008799,1.0,2.67456,3.372692
0.8028389520808081,0.0,0.0,0.00014358897366398694,1.0,2.67456,3.372692
0.9031938210909092,0.0,0.0,0.0022385484877589226,1.0,2.67456,3.372692
1.0035486901010102,0.0,0.0,0.0025623020065461137,1.0,2.67456,3.372692
1.1039035591111113,0.0,0.0,0.002566552058415398,1.0,2.67456,3.372692
1.204258428121212,0.0,0.0,0.0025599301575987784,1.0,2.67456,3.372692
1.3046132971313131,0.0,0.0,0.002553308256783897,1.0,2.67456,3.372692
1.4049681661414142,0.0,0.0,0.002546686355946178,1.0,2.67456,3.372692
1.5053230351515152,0.0,0.0,0.00254006445511828,1.0,2.67456,3.372692
1.6056779041616163,0.0,0.0,0.00253344255428747,1.0,2.67456,3.372692
1.7060327731717173,0.0,0.0,0.0025268206534810192,1.0,2.67456,3.372692
1.8063876421818184,0.0,0.0,0.0025201987526404963,1.0,2.67456,3.372692
1.9067425111919194,0.0,0.0,0.0025135768518215877,1.0,2.67456,3.372692
2.0070973802020204,0.0,0.0,0.0025069549510086395,1.0,2.67456,3.372692
2.1074522492121215,0.0,0.0,0.0025003330501676352,1.0,2.67456,3.372692
2.2078071182222225,0.0,0.0,0.0024937111493354407,1.0,2.67456,3.372692
2.3081619872323236,0.033508938467955,0.0,0.0024870892485387183,1.0,2.67456,3.372692
2.408516856242424,0.23543191306272007,0.0,0.002480467347718769,1.0,2.67456,3.372692
2.508871725252525,0.7476344016059231,0.0,0.002473845446864267,1.0,2.67456,3.372692
2.6092265942626263,1.2072736291761166,0.0,0.0024672235460301843,1.0,2.67456,3.372692
2.7095814632727273,1.3259253681404426,0.0,0.0024606016452198565,5.3241720601823716e-05,2.67456,3.372692
2.8099363322828284,1.1313177902545066,0.02632976796861886,0.0024539797444096236,5.3241720601823716e-05,2.67456,3.372692
2.9102912012929294,0.8530962952626434,0.06782872372850934,0.0024793196630641004,5.3241720601823716e-05,2.67456,3.372692
3.0106460703030304,0.614082894532023,0.17326303161862974,0.0026909676635999955,5.3241720601823716e-05,2.67456,3.372692
3.1110009393131315,0.42735844012687546,0.34046147850935005,0.0031099884903075343,5.3241720601823716e-05,2.67456,3.372692
3.2113558083232325,0.31418520332943756,0.5851788411814023,0.0035170397987746545,5.3241720601823716e-05,2.67456,3.372692
3.3117106773333336,0.2407833330268451,0.8061980235245907,0.005868399124623376,5.3241720601823716e-05,2.67456,3.372692
3.4120655463434346,0.20163597079644704,0.9714490362730683,0.010408449164135334,5.3241720601823716e-05,2.67456,3.372692
3.5124204153535357,0.17208563441688615,1.1355304340118293,0.018607755388547136,5.3241720601823716e-05,2.67456,3.372692
3.6127752843636367,0.14871136698156728,1.2086790452216416,0.035108399566239575,5.3241720601823716e-05,2.67456,3.372692
3.7131301533737378,0.13694059816146048,1.1691234575461198,0.05432009813090207,5.3241720601823716e-05,2.67456,3.372692
3.813485022383839,0.12932023420257513,1.113060068880777,0.08221520306275541,5.3241720601823716e-05,2.67456,3.372692
3.91383989139394,0.12531009219207168,1.0181206282843205,0.11827178733256315,5.3241720601823716e-05,2.67456,3.372692
4.014194760404041,0.12530791710290953,0.9330831023943755,0.16306148165423787,5.3241720601823716e-05,2.67456,3.372692
4.1145496294141415,0.12977336025569347,0.8286507528414971,0.19504267723408275,5.3241720601823716e-05,2.67456,3.372692
4.214904498424243,0.13533291468357683,0.7588699278870878,0.23276569090004076,5.3241720601823716e-05,2.67456,3.372692
4.315259367434344,0.14331901806276606,0.6922255903465243,0.2510303305842925,5.3241720601823716e-05,2.67456,3.372692
4.415614236444445,0.15438638530848606,0.6240225603985867,0.26652013404911684,5.3241720601823716e-05,2.67456,3.372692
4.515969105454546,0.1659777832719347,0.570270563955481,0.26698050899223225,5.3241720601823716e-05,2.67456,3.372692
4.616323974464647,0.17910726867179536,0.543690258747731,0.26739227621276185,5.3241720601823716e-05,2.67456,3.372692
4.716678843474748,0.1952042457168551,0.5019761256928598,0.26490299223162894,5.3241720601823716e-05,2.67456,3.372692
4.817033712484848,0.2112691452428434,0.48379123390657075,0.25558665115193285,5.3241720601823716e-05,2.67456,3.372692
4.91738858149495,0.2225417805155064,0.46795512016215296,0.2512952936364747,5.3241720601823716e-05,2.67456,3.372692
5.01774345050505,0.24407578879499142,0.4780760419773121,0.24543895902290025,5.3241720601823716e-05,2.67456,3.372692
5.118098319515152,0.2602178099440039,0.4886645955032284,0.23093389840877113,5.3241720601823716e-05,2.67456,3.372692
5.2184531885252525,0.2763354742367159,0.4973458936209847,0.2148498519535503,5.3241720601823716e-05,2.67456,3.372692
5.318808057535354,0.2927559236204164,0.5132888041685949,0.19548796626772094,5.3241720601823716e-05,2.67456,3.372692
5.419162926545455,0.3049397090967388,0.5086835020281727,0.17674981361554787,1.4080475514726242e-05,2.67456,3.372692
5.519517795555556,0.3192607522310345,0.49480529737821877,0.1559891190013019,2.7656495517748353e-11,2.67456,3.372692
5.619872664565657,0.33525469502201927,0.4772898248235102,0.14116609713077533,2.7656495517748353e-11,2.67456,3.372692
5.720227533575758,0.3508925590177212,0.4648875511472444,0.12984586014368774,2.7656495517748353e-11,2.67456,3.372692
5.820582402585859,0.36338091859911614,0.4511846485354906,0.11751860500756765,2.7656495517748353e-11,2.67456,3.372692
5.92093727159596,0.3715708643973422,0.45712151898678083,0.11151616752126847,2.7656495517748353e-11,2.67456,3.372692
6.021292140606061,0.3741290095141512,0.4688600622351982,0.1065378033668273,2.7656495517748353e-11,2.67456,3.372692
6.121647009616162,0.3721473181449094,0.47816185670584116,0.10235413683341901,2.7656495517748353e-11,2.67456,3.372692
6.222001878626263,0.36702121355978257,0.5014043762189794,0.10001474569154956,2.7656495517748353e-11,2.67456,3.372692
6.3223567476363645,0.3583454165073143,0.5225441314563242,0.09895837470713441,2.7656495517748353e-11,2.67456,3.372692
6.422711616646465,0.3451287537539958,0.543483591189577,0.09930390480335193,2.7656495517748353e-11,2.67456,3.372692
6.523066485656566,0.33297748486822654,0.5658864355868675,0.10009203814001613,2.7656495517748353e-11,2.67456,3.372692
6.623421354666667,0.32218422853414685,0.591507485687069,0.10328198396991249,2.7656495517748353e-11,2.67456,3.372692
6.723776223676768,0.31144489479914006,0.6168343331596678,0.10806531568961582,2.7656495517748353e-11,2.67456,3.372692
6.824131092686869,0.300532844626363,0.6290255484346018,0.11160002004588368,2.7656495517748353e-11,2.67456,3.372692
6.92448596169697,0.2899954575853292,0.6408301859412404,0.1144103710445316,2.7656495517748353e-11,2.67456,3.372692
7.024840830707071,0.2797514583771272,0.6509710178073377,0.11887169647290276,2.7656495517748353e-11,2.67456,3.372692
7.125195699717172,0.2728331822369732,0.6586928336379284,0.1257657483917304,2.7656495517748353e-11,2.67456,3.372692
7.225550568727273,0.2639859392735175,0.6591167552908678,0.13184509123287846,2.7656495517748353e-11,2.67456,3.372692
7.325905437737374,0.25777204944032217,0.6557105318936257,0.13569071733401145,2.7656495517748353e-11,2.67456,3.372692
7.4262603067474755,0.2580383304379483,0.6479645380621438,0.14000175825689656,2.7656495517748353e-11,2.67456,3.372692
7.526615175757576,0.25649314511253524,0.6385500388649948,0.14376927525979058,2.7656495517748353e-11,2.67456,3.372692
7.626970044767678,0.2555120088342599,0.6300359308213763,0.1472504670644108,2.7656495517748353e-11,2.67456,3.372692
