r (A),g(r)_weighted_Li-Cl,g(r)_weighted_K-Cl,S_i_Li-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,1.0,1.0,0.57867,0
0.008041622404040404,0.04737609340135281,0.026071461999407554,1.0,1.0,0.57867,0
0.016083244808080807,0.04734205282586304,0.02573911729044392,1.0,1.0,0.57867,0
0.02412486721212121,0.04730801225037325,0.0259119151596802,1.0,1.0,0.57867,0
0.032166489616161614,0.04727397170008284,0.02595232402576823,1.0,1.0,0.57867,0
0.04020811202020202,0.04723993117059787,0.025802758785891826,1.0,1.0,0.57867,0
0.04824973442424242,0.04720589063893698,0.025653193546015418,1.0,1.0,0.57867,0
0.056291356828282825,0.04717185006344721,0.02565787695075463,1.0,1.0,0.57867,0
0.06433297923232323,0.047022588089744105,0.025908214290979517,1.0,1.0,0.57867,0
0.07237460163636364,0.046178199960964984,0.026158551631204396,1.0,1.0,0.57867,0
0.08041622404040404,0.04567190537777315,0.02616020300752224,1.0,1.0,0.57867,0
0.08845784644444443,0.045637864808838934,0.02561876783057953,1.0,1.0,0.57867,0
0.09649946884848484,0.046193431933196825,0.025603515541299766,1.0,1.0,0.57867,0
0.10454109125252525,0.04696760649660449,0.025557134670447693,1.0,1.0,0.57867,0
0.11258271365656565,0.04693356597196214,0.02567319237174609,1.0,1.0,0.57867,0
0.12062433606060605,0.04689952544731979,0.026085270665756836,1.0,1.0,0.57867,0
0.12866595846464646,0.04686548488403919,0.02614731824230848,1.0,1.0,0.57867,0
0.13670758086868687,0.04531369917914232,0.026063772599617955,1.0,1.0,0.57867,0
0.14474920327272728,0.04543059687447185,0.02594029758611107,1.0,1.0,0.57867,0
0.15279082567676766,0.04692627682044707,0.025669828837387252,1.0,1.0,0.57867,0
0.16083244808080807,0.04926240077437518,0.025399360088663434,1.0,1.0,0.57867,0
0.16887407048484848,0.05918429030212369,0.02571313712917398,1.0,1.0,0.57867,0
0.17691569288888886,0.10223918683079146,0.025686344374311977,1.0,1.0,0.57867,0
0.18495731529292928,0.2347805200262154,0.025487751739707142,1.0,1.0,0.57867,0
0.19299893769696969,0.5248829354547829,0.024884532160716514,1.0,1.0,0.57867,0
0.2010405601010101,0.8614376092563323,0.02468689732850406,1.0,1.0,0.57867,0
0.2090821825050505,1.1061548291816212,0.025518099198456812,1.0,1.0,0.57867,0
0.2171238049090909,1.1702157586936195,0.026224997562453115,0.9156613686830696,1.0,0.57867,0
0.2251654273131313,1.1161965090857904,0.026798988314663295,0.8567948393061945,1.0,0.57867,0
0.2332070497171717,0.9494907350795246,0.031617795400114695,0.8567948393061945,1.0,0.57867,0
0.2412486721212121,0.7621835705449517,0.04158909582543031,0.8567948393061945,1.0,0.57867,0
0.2492902945252525,0.6257565076620937,0.07416125192095652,0.8567948393061945,1.0,0.57867,0
0.2573319169292929,0.48523452286045565,0.11171809688134293,0.8567948393061945,1.0,0.57867,0
0.2653735393333333,0.3798712895236127,0.18740236001315266,0.8567948393061945,1.0,0.57867,0
0.27341516173737374,0.3131684368949707,0.2707496322759606,0.8567948393061945,1.0,0.57867,0
0.2814567841414141,0.26642548830105794,0.3456982867460371,0.8567948393061945,1.0,0.57867,0
0.28949840654545456,0.2237595422209029,0.3761489717125516,0.8567948393061945,1.0,0.57867,0
0.29754002894949494,0.19352078609111512,0.37992531685709474,0.8567948393061945,0.5333314525065738,0.57867,0
0.3055816513535353,0.1725143109703787,0.36371280792158683,0.8567948393061945,0.5333314525065738,0.57867,0
0.31362327375757576,0.1568985705896148,0.332784025989857,0.8567948393061945,0.5333314525065738,0.57867,0
0.32166489616161614,0.14432074245239565,0.2958091669331131,0.8567948393061945,0.5333314525065738,0.57867,0
0.3297065185656565,0.13755791721676597,0.2618239573033888,0.8567948393061945,0.5333314525065738,0.57867,0
0.33774814096969696,0.1329887690701593,0.22943039669258522,0.8567948393061945,0.5333314525065738,0.57867,0
0.34578976337373735,0.13397227969219155,0.20900245161025516,0.8567948393061945,0.5333314525065738,0.57867,0
