r (A),g(r)_weighted_Na-Na,g(r)_weighted_Na-Cl,g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_Mg-Cl,S_i_Na-Cl,S_i_Ca-Cl,S_i_Mg-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.53493,0
0.15030403262626263,0.002181173448679192,0.005208576405655189,0.00023029267046707595,0.0037327208445998277,0.0006594327394549331,0.005691401850163036,1.0,1.0,1.0,2.53493,0
0.30060806525252526,0.0011394740481199801,0.004611620198733857,0.00019320585873664904,0.003607138736971754,0.0006140672795299657,0.005604348542437507,1.0,1.0,1.0,2.53493,0
0.4509120978787879,0.0011216839216323558,0.004323988170064699,0.00017194060488696778,0.0035739878210484057,0.0005620233611681844,0.005517295132361815,1.0,1.0,1.0,2.53493,0
0.6012161305050505,0.0011038937951447314,0.003579298736537045,0.00016992401550937187,0.003540836905345617,0.0004772751408060586,0.005430241820260905,1.0,1.0,1.0,2.53493,0
0.7515201631313131,0.0010861036686232058,0.003464748708025433,0.00016891926659093754,0.0035076859896428277,0.00046859385522875696,0.005343188512676174,1.0,1.0,1.0,2.53493,0
0.9018241957575758,0.0011390896306023226,0.003359380039470164,0.00018207176513053986,0.003674921097301403,0.0006684406555555888,0.007496916618801719,1.0,1.0,1.0,2.53493,0
1.0521282283838385,0.001222752845643627,0.003233060783897146,8.722762958343822e-05,0.004179124973267353,0.0006627841379488273,0.00746880309724272,1.0,1.0,1.0,2.53493,0
1.202432261010101,0.0010327332890758727,0.0033329923568853376,0.00016590501698975982,0.0034689608594167197,0.00045188140134989,0.008019110941452436,1.0,1.0,1.0,2.53493,0
1.3527362936363636,0.0010149431625882481,0.003289073622652904,0.00016490026806889908,0.003375082317131528,0.00044631057573429607,0.010572719006054316,1.0,1.0,1.0,2.53493,0
1.5030403262626262,0.0009971530361006238,0.0032451549047810015,0.0001638955191512,0.003341931401428738,0.00044073975935435977,0.013476993944903162,1.0,1.0,1.0,2.53493,0
1.653344358888889,0.000979362899174533,0.003820208880690508,0.0001628907702338623,0.0033087804855053897,0.00043516894746568343,0.03627639158732349,1.0,1.0,1.0,2.53493,0
1.8036483915151516,0.0009615727193307463,0.0043660368524726205,0.00016470262421015264,0.003275629569802601,0.00044049105428020234,0.47718574523807805,1.0,1.0,1.0,2.53493,0
1.9539524241414141,0.0009990349946285434,0.008520924872619804,0.00014350049358073335,0.00366375203906799,0.0006899800488941424,1.1665853865963713,1.0,1.0,0.5005078293972365,2.53493,0
2.104256456767677,0.0013362280856459656,0.010325576353497064,9.603571536284436e-05,0.004561568030325514,0.0004184564806672468,0.7836497475862799,1.0,1.0,0.013212016393726574,2.53493,0
2.2545604893939393,0.0009082023372146541,0.047776029991887264,0.0001588717769255892,0.011272788348160666,0.00041288566793415876,0.2867847719242569,1.0,1.0,0.013212016393726574,2.53493,0
2.404864522020202,0.0008904122107270296,0.24937582426406807,0.0001578670280075163,0.11245564695949155,0.0004073148423027029,0.08663181151592846,1.0,1.0,0.013212016393726574,2.53493,0
2.555168554646465,0.0008726220842394051,0.47169936799999673,0.00015686227908665552,0.2837750761180921,0.00040174402376285133,0.026299427185432538,1.0,1.0,0.013212016393726574,2.53493,0
2.705472587272727,0.0008548319577510459,0.5030566088678277,0.00015585753016806664,0.28095540703530913,0.0003961732140340902,0.0038349166541994948,0.08354309693616765,1.848083383301252e-05,0.013212016393726574,2.53493,0
2.85577661989899,0.0008370418311476118,0.42507317925184823,0.0001534108355806055,0.17860035713434136,0.0004474328195854064,0.002866533488237265,0.08354309693616765,1.848083383301252e-05,0.013212016393726574,2.53493,0
3.0060806525252524,0.0033666738516314383,0.3157982998517224,0.0001250342874506419,0.09489043500672131,0.0008598500999707515,0.005091990131540351,0.08354309693616765,1.848083383301252e-05,0.013212016393726574,2.53493,0
3.156384685151515,0.00476371781478306,0.23838556428504462,0.00018008567199182167,0.050178310493706565,0.0010870383678049061,0.005278604108353429,0.08354309693616765,1.848083383301252e-05,0.013212016393726574,2.53493,0
3.306688717777778,0.013980614379253735,0.18598008637635718,0.00020989663724665708,0.030227961499752067,0.0013814421300905647,0.0072394874208995385,0.08354309693616765,1.848083383301252e-05,0.013212016393726574,2.53493,0
3.4569927504040403,0.03006083882389965,0.14793435936486704,0.0002088918883279194,0.02098343875460375,0.0038310262333260915,0.009361299087706302,0.08354309693616765,1.848083383301252e-05,0.013212016393726574,2.53493,0
3.607296783030303,0.049626822584895244,0.13262256398956218,0.00025011040825847857,0.01620514361887998,0.011225525925871272,0.015459317838328095,0.08354309693616765,1.848083383301252e-05,0.013212016393726574,2.53493,0
3.757600815656566,0.06929149973869381,0.12381975126174669,0.0006020892552958079,0.01431229617283636,0.026673064696875456,0.02149108512240934,0.08354309693616765,1.848083383301252e-05,0.013212016393726574,2.53493,0
3.9079048482828282,0.08730167322597891,0.11960021675753581,0.0015188506276748721,0.01391464511044748,0.0442266149028263,0.030021006034467477,0.08354309693616765,1.848083383301252e-05,0.009189696202650043,2.53493,0
4.058208880909091,0.10189325329130465,0.12045593233956113,0.004034468468379589,0.015668421111895942,0.042276900567380385,0.037870694460693244,0.08354309693616765,1.848083383301252e-05,3.2871483140616846e-05,2.53493,0
4.208512913535354,0.10888086566300421,0.1249985102460954,0.0061761222121043185,0.0181563724695081,0.026628047603470477,0.059828052266253214,0.08354309693616765,1.848083383301252e-05,3.2871483140616846e-05,2.53493,0
