r (A),g(r)_weighted_Na-Na,g(r)_weighted_Na-Cl,g(r)_weighted_K-K,g(r)_weighted_K-Cl,g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,S_i_Na-Cl,S_i_K-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84775,0
0.1505135083838384,0.00132421599685644,0.003177968533763165,5.730648024165299e-06,0.0008218733045992449,0.0017248608446603984,0.007592500929576469,1.0,1.0,1.0,2.84775,0
0.3010270167676768,0.0013077685957726176,0.003207484484572005,6.826983369531368e-06,0.0007924701779185929,0.00168815631478099,0.007290166193877282,1.0,1.0,1.0,2.84775,0
0.4515405251515152,0.0012913211615179709,0.0031270538254772945,6.595692843977892e-06,0.000784609061783593,0.0016635711587038705,0.007176006956364422,1.0,1.0,1.0,2.84775,0
0.6020540335353536,0.0012748737652547091,0.00304662324759189,6.364403053393384e-06,0.0007767479263239779,0.001638985981982913,0.007061847694487018,1.0,1.0,1.0,2.84775,0
0.752567541919192,0.0012584263615769487,0.0030104936915570147,6.133112561339077e-06,0.0007688868102000131,0.0016144007860471542,0.006947688306417617,1.0,1.0,1.0,2.84775,0
0.9030810503030304,0.0011624101539972115,0.003111183747268639,1.2254408508474054e-05,0.0006802197928610881,0.0014777497813613515,0.007125038626780415,1.0,1.0,1.0,2.84775,0
1.0535945586868687,0.0008056897175323937,0.003445471852796698,1.3940730319848047e-05,0.0007265350145446957,0.001467579163853433,0.005014619513526218,1.0,1.0,1.0,2.84775,0
1.2041080670707072,0.0012090841066237919,0.0027779848284216683,5.5144290613681344e-06,0.00083235125822934,0.0015406452617192472,0.0066052104181994874,1.0,1.0,1.0,2.84775,0
1.3546215754545456,0.0011926367079556303,0.002644470503324438,5.207952224508114e-06,0.0009115379384975511,0.0015160601011503156,0.006698586190917401,1.0,1.0,1.0,2.84775,0
1.505135083838384,0.0011761893079797385,0.002564039954470948,4.976662106516108e-06,0.0009036768223729099,0.001491474944909854,0.007799014531065263,1.0,1.0,1.0,2.84775,0
1.6556485922222224,0.0011597418896620196,0.002483609405617458,4.7453720576293e-06,0.0008958157062586667,0.0014668897816391012,0.008180594528212395,1.0,1.0,1.0,2.84775,0
1.8061621006060609,0.00114329448117446,0.0025624691900613997,5.371161078615982e-06,0.0008889450449860773,0.0014423046015109736,0.011694623925571742,1.0,1.0,1.0,2.84775,0
1.9566756089898991,0.0007407394459306466,0.004589123383927357,1.398911473311423e-05,0.001083272598384007,0.0016993940572089103,0.013106710093405511,1.0,1.0,1.0,2.84775,0
2.1071891173737374,0.0010222789145094221,0.008609635103211251,8.107143635857598e-06,0.0011367138879894534,0.0016899851539426978,0.015369745051229148,1.0,1.0,1.0,2.84775,0
2.257702625757576,0.0010939522544918033,0.0338215668375931,3.820211683655631e-06,0.0011014661890091627,0.0016666140128925803,0.03337106611575241,1.0,1.0,1.0,2.84775,0
2.4082161341414143,0.0010775048361740844,0.1796554963428396,3.588921636590595e-06,0.0012709369726719888,0.0016420288505261135,0.33749586373497575,1.0,1.0,1.0,2.84775,0
2.5587296425252526,0.0010610574239846569,0.37802123599521087,3.357631367517647e-06,0.003523740160986331,0.0016174436703955395,0.9547837941385128,1.0,1.0,1.0,2.84775,0
2.7092431509090913,0.0010096339263511813,0.4172730198527924,3.126341468175113e-06,0.015563638941883014,0.0015928584902479522,0.9987243104613489,0.052054859827269234,1.0,0.10948956548844609,2.84775,0
2.8597566592929295,0.0014208335742104449,0.3545596146282274,9.272762529619712e-06,0.03575348216886783,0.0017019631843157184,0.6550856553177109,0.052054859827269234,1.0,0.10948956548844609,2.84775,0
3.010270167676768,0.002982950424039292,0.26542723299031695,1.24877904124492e-05,0.04682011565341517,0.00258394750590017,0.3459916619936533,0.052054859827269234,0.8538126616526961,0.10948956548844609,2.84775,0
3.1607836760606065,0.007985086943580815,0.19481078516408476,-2.693472745232498e-07,0.04552203402122797,0.002201835249663654,0.18003386379496977,0.052054859827269234,0.0020162315394936757,0.10948956548844609,2.84775,0
3.3112971844444448,0.015301571997684053,0.14572320184258858,2.0939535722049974e-05,0.03810003985866641,0.002090647675640247,0.11544918786135741,0.052054859827269234,0.0020162315394936757,0.10948956548844609,2.84775,0
3.461810692828283,0.028277620288134367,0.11619150201845034,8.164852911115699e-05,0.029904700199781906,0.0020660624956560015,0.06957744631160892,0.052054859827269234,0.0020162315394936757,0.10948956548844609,2.84775,0
3.6123242012121217,0.042013183321079416,0.09815162873157925,0.00022218304926538003,0.02464113864564584,0.0023822974633302403,0.04962804734368951,0.052054859827269234,0.0020162315394936757,0.10948956548844609,2.84775,0
3.76283770959596,0.05505218150773803,0.08845414968134355,0.00041970633634337676,0.019602333336344233,0.005028582545569156,0.04776802084801998,0.052054859827269234,0.0020162315394936757,0.10948956548844609,2.84775,0
3.9133512179797982,0.06364804544426972,0.0841326258750219,0.0006678918650357779,0.01706186311287712,0.016421110929959692,0.04721351534397629,0.052054859827269234,0.0020162315394936757,0.10948956548844609,2.84775,0
4.0638647263636365,0.06741593540115817,0.08359894461637332,0.0008657831292618055,0.014625876131164532,0.04310527315649392,0.049172582689446076,0.052054859827269234,0.0020162315394936757,0.10948956548844609,2.84775,0
4.214378234747475,0.06830781307786983,0.08528689872449204,0.0011392262505285015,0.013593702164372973,0.08204269397044879,0.05823290863580191,0.052054859827269234,0.0020162315394936757,0.10948956548844609,2.84775,0
