r (A),g(r)_weighted_Li-F,g(r)_weighted_Li-Li,g(r)_weighted_F-F,S_i_Li-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,3.4514,3.305228
0.10376165868686868,0.0,0.0,0.0,1.0,3.4514,3.305228
0.20752331737373736,0.0,0.0,0.0,1.0,3.4514,3.305228
0.311284976060606,0.0,0.0,0.0,1.0,3.4514,3.305228
0.4150466347474747,0.0,0.0,0.0,1.0,3.4514,3.305228
0.5188082934343434,0.0,0.0,0.0,1.0,3.4514,3.305228
0.622569952121212,0.0,0.0,0.0,1.0,3.4514,3.305228
0.7263316108080807,0.0,0.0,0.0,1.0,3.4514,3.305228
0.8300932694949494,0.0,0.0,0.0,1.0,3.4514,3.305228
0.9338549281818181,0.0,0.0,0.0,1.0,3.4514,3.305228
1.0376165868686869,0.0,0.0,0.0,1.0,3.4514,3.305228
1.1413782455555554,0.0,0.0,0.0,1.0,3.4514,3.305228
1.245139904242424,0.0,0.0,0.0,1.0,3.4514,3.305228
1.3489015629292929,0.0,0.0,0.0,1.0,3.4514,3.305228
1.4526632216161615,0.0,0.0,0.0,1.0,3.4514,3.305228
1.5564248803030303,0.06261227327787137,0.0,0.0,1.0,3.4514,3.305228
1.6601865389898989,0.4609578718776982,0.0,0.0,1.0,3.4514,3.305228
1.7639481976767675,0.9999476900734943,0.0,0.0,1.0,3.4514,3.305228
1.8677098563636363,1.238451698076807,0.0029059459344315053,0.0,0.8193346957764618,3.4514,3.305228
1.9714715150505049,1.090405237024565,0.008818671378152551,0.0,0.765977855705014,3.4514,3.305228
2.0752331737373737,0.8072390725929193,0.026986059689671247,0.04244836633959191,0.765977855705014,3.4514,3.305228
2.1789948324242423,0.5745100670828287,0.07233960951479038,0.09296969897069926,0.765977855705014,3.4514,3.305228
2.282756491111111,0.4104421104615353,0.15276925756723914,0.17765003407763824,0.765977855705014,3.4514,3.305228
2.3865181497979795,0.30796192165585773,0.2724484934431902,0.27724748683112377,0.765977855705014,3.4514,3.305228
2.490279808484848,0.242001179322541,0.3821261646940913,0.38172424062328175,0.765977855705014,3.4514,3.305228
2.594041467171717,0.19822381311765663,0.5009555802506447,0.47448019990086954,0.765977855705014,3.4514,3.305228
2.6978031258585857,0.17418548388294944,0.5651310291164409,0.529097698747567,0.765977855705014,3.4514,3.305228
2.8015647845454543,0.16011759433333334,0.5935078001415324,0.5616813136387871,0.765977855705014,3.4514,3.305228
2.905326443232323,0.16011759433333334,0.5813262066821256,0.5558985861423172,0.765977855705014,3.4514,3.305228
3.0090881019191915,0.16011759433333334,0.5540960532753401,0.5368191238114488,0.765977855705014,3.4514,3.305228
3.1128497606060606,0.1691394796292241,0.5135207291220083,0.5021699537691798,0.765977855705014,3.4514,3.305228
3.216611419292929,0.1885111081004323,0.4606354064905338,0.46613554155885406,0.765977855705014,3.4514,3.305228
3.3203730779797977,0.20788273657164053,0.4200322931938193,0.4347535284149382,0.765977855705014,3.4514,3.305228
3.4241347366666663,0.22725436504284874,0.3898280633902248,0.4063475023765819,0.765977855705014,3.4514,3.305228
3.527896395353535,0.2507869649432162,0.36245300952699255,0.3816609594030509,0.765977855705014,3.4514,3.305228
3.631658054040404,0.28392075119763166,0.3402470527918766,0.3580219814308097,0.30374862307017014,3.4514,3.305228
3.7354197127272726,0.3207841089362957,0.3192550141645494,0.33324540719997,0.13679561687706962,3.4514,3.305228
3.839181371414141,0.3577095005276123,0.297612456775897,0.3093781894852114,0.13679561687706962,3.4514,3.305228
3.9429430301010098,0.39463489211892877,0.27796354530275624,0.2869608147583987,0.13679561687706962,3.4514,3.305228
4.046704688787878,0.42435374864766284,0.2637299295845756,0.26525915465604444,0.13679561687706962,3.4514,3.305228
4.150466347474747,0.43216488924385854,0.25123353741260934,0.2513899975541389,0.13679561687706962,3.4514,3.305228
4.254228006161616,0.43997602984005413,0.2412920858662248,0.24057679150962943,0.13679561687706962,3.4514,3.305228
4.357989664848485,0.44778717043624977,0.23442381779361388,0.23494550413373697,0.13679561687706962,3.4514,3.305228
4.461751323535354,0.4409268788062589,0.23989161615846236,0.24051173717132437,0.13679561687706962,3.4514,3.305228
4.565512982222222,0.42160356239496977,0.24686788171436497,0.2467287446965178,0.13679561687706962,3.4514,3.305228
4.669274640909091,0.3979249818619439,0.26008673484080097,0.26265734513716565,0.13679561687706962,3.4514,3.305228
4.773036299595959,0.37292933227418584,0.2872561788159952,0.28014986236948947,0.13679561687706962,3.4514,3.305228
4.876797958282828,0.3505937502356631,0.3091273723386518,0.30076259432052627,0.13679561687706962,3.4514,3.305228
4.980559616969696,0.3308055274779056,0.3312900850234574,0.32264775383619915,0.13679561687706962,3.4514,3.305228
5.084321275656565,0.31125594584628324,0.3543329496633143,0.3446406551268084,0.13679561687706962,3.4514,3.305228
5.188082934343434,0.2971958928645763,0.3724614935346556,0.3660790707670315,0.13679561687706962,3.4514,3.305228
5.291844593030302,0.28584529164772415,0.38683488756910195,0.37993535477092444,0.08876466579456911,3.4514,3.305228
5.3956062517171715,0.28098256099999996,0.39767052299671013,0.39185894929708326,0.006872265082835001,3.4514,3.305228
5.49936791040404,0.28098256099999996,0.3975466193378786,0.39370895620937085,0.006872265082835001,3.4514,3.305228
5.603129569090909,0.28098256099999996,0.39738270510876084,0.3955589631216585,0.006872265082835001,3.4514,3.305228
5.706891227777778,0.28098256099999996,0.39443682366772914,0.3970276256056223,0.006872265082835001,3.4514,3.305228
5.810652886464646,0.28453529354192275,0.3843474338522658,0.38744967953019493,0.006872265082835001,3.4514,3.305228
