r (A),g(r)_weighted_Li-Cl,g(r)_unweighted_Li-Cl,g(r)_weighted_Li-Li,g(r)_unweighted_Li-Li,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,S_i_Li-Cl,Average_SCL,lambda_BC
0.9070152566066066,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
0.9209693374774774,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
0.9349234183483484,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
0.9488774992192193,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
0.9628315800900901,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
0.976785660960961,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
0.9907397418318318,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.0046938227027027,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.0186479035735736,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.0326019844444445,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.0465560653153154,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.060510146186186,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.074464227057057,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.088418307927928,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.1023723887987988,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.1163264696696698,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.1302805505405404,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.1442346314114114,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.1581887122822823,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.1721427931531532,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.186096874024024,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.200050954894895,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.2140050357657657,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.2279591166366366,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.2419131975075075,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.2558672783783784,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.2698213592492493,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.28377544012012,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.297729520990991,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.3116836018618618,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.3256376827327327,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.3395917636036037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.3535458444744746,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.3674999253453453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.3814540062162162,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.395408087087087,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.409362167957958,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.423316248828829,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.4372703296996996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.4512244105705705,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.4651784914414414,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.4791325723123123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.4930866531831832,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.5070407340540541,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.5209948149249248,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.5349488957957957,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.5489029766666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.5628570575375376,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.5768111384084085,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.5907652192792794,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.60471930015015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.618673381021021,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.632627461891892,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.6465815427627628,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.6605356236336337,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.6744897045045044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.6884437853753753,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.7023978662462462,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.7163519471171171,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.730306027987988,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.744260108858859,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.7582141897297296,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.7721682706006006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.7861223514714715,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.8000764323423424,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.8140305132132133,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.827984594084084,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.841938674954955,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.8558927558258258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.8698468366966967,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.8838009175675676,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.8977549984384385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.9117090793093092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.9256631601801801,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.939617241051051,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.953571321921922,0.016810487381598148,0.050431462144794444,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.9675254027927929,0.023940509316935008,0.07182152795080503,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.9814794836636636,0.03107053125227175,0.09321159375681526,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
1.9954335645345345,0.03820055318760861,0.11460165956282584,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
2.0093876454054054,0.049907180412196286,0.14972154123658887,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
2.0233417262762763,0.07386405474891368,0.22159216424674105,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
2.037295807147147,0.10440745429303244,0.3132223628790973,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
2.051249888018018,0.1372478578130299,0.41174357343908974,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
2.065203968888889,0.17008826133302737,0.5102647839990821,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
2.07915804975976,0.21307160459434588,0.6392148137830377,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
2.093112130630631,0.2730171995314058,0.8190515985942174,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
2.1070662115015013,0.3329677599050942,0.9989032797152826,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
2.121020292372372,0.3929183202787845,1.1787549608363534,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
2.134974373243243,0.4647389486316835,1.3942168458950506,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
2.148928454114114,0.5441705661937183,1.632511698581155,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
2.162882534984985,0.6157547168516889,1.8472641505550669,0.0,0.0,0.0,0.0,1.0,4.25921,3.893446
