r (A),g(r)_weighted_Be-F,g(r)_weighted_Li-F,g(r)_weighted_Be-Li,g(r)_weighted_Li-Li,g(r)_weighted_Be-Be,g(r)_weighted_F-F,S_i_Be-F,S_i_Li-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.10041,1.922959
0.10043447533333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.10041,1.922959
0.20086895066666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.10041,1.922959
0.301303426,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.10041,1.922959
0.4017379013333333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.10041,1.922959
0.5021723766666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.10041,1.922959
0.602606852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.10041,1.922959
0.7030413273333334,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.10041,1.922959
0.8034758026666666,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.10041,1.922959
0.9039102779999999,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.10041,1.922959
1.0043447533333332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.10041,1.922959
1.1047792286666667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.10041,1.922959
1.205213704,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.10041,1.922959
1.3056481793333332,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.10041,1.922959
1.4060826546666667,0.23137330092279246,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.10041,1.922959
1.50651713,1.1298012547074103,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.10041,1.922959
1.6069516053333333,1.0516221385128102,0.11019776646223058,0.0,0.0,0.0,0.0,0.0023768810788821907,1.0,2.10041,1.922959
1.7073860806666665,0.4399349347113173,0.45067689209466105,0.0,0.0,0.0,0.0,0.0023768810788821907,1.0,2.10041,1.922959
1.8078205559999998,0.13181358278653782,0.7311069745810919,0.0,1.2925888729801593e-05,0.0,0.0,0.0023768810788821907,0.8004831602570966,2.10041,1.922959
1.9082550313333333,0.039352057693958456,0.7328778449156829,0.0,1.2925888729801593e-05,0.0,0.0,0.0023768810788821907,0.31397444913770367,2.10041,1.922959
2.0086895066666663,0.015188351516806033,0.5661923568515331,0.0002987598762315717,0.00022649264198213465,0.0,0.0,0.0023768810788821907,0.31397444913770367,2.10041,1.922959
2.109123982,0.006429679576060759,0.40682771148593216,0.0013669799380493783,0.0019807485932470718,-0.0012254521507485162,0.0,0.0023768810788821907,0.31397444913770367,2.10041,1.922959
2.2095584573333333,0.0021535108763476433,0.2899762274890208,0.005331438060891125,0.006375318278916069,-0.0006373326443785331,0.04013370378129435,0.0023768810788821907,0.31397444913770367,2.10041,1.922959
2.3099929326666664,0.0022951197980426745,0.20913536943159186,0.01630730568214946,0.01649694848236489,0.000563001980498095,0.23002963716279703,0.0023768810788821907,0.31397444913770367,2.10041,1.922959
2.410427408,0.0015092337702087807,0.17310100905995032,0.03245403806544667,0.03154816434704171,0.001050450693936565,0.6028800277778168,0.0023768810788821907,0.31397444913770367,2.10041,1.922959
2.5108618833333334,0.0024598762331155062,0.1499932786320702,0.05386249057605279,0.05266036395800326,0.0020906684433674083,0.9761257760415255,0.0023768810788821907,0.31397444913770367,2.10041,1.922959
2.6112963586666664,0.005201287035962315,0.13006035296707397,0.07424286174668546,0.07866770780257544,0.005348407849159577,1.0674181262523719,0.0023768810788821907,0.31397444913770367,2.10041,1.922959
2.711730834,0.009651577397469184,0.12997912678931275,0.0952135493513452,0.10756558269245121,0.012298100620810435,0.9239893080531215,0.0023768810788821907,0.31397444913770367,2.10041,1.922959
2.8121653093333334,0.016220235718004405,0.1281804190407585,0.11325062430539025,0.1312204755978028,0.022238055258148842,0.7401105966646709,0.0023768810788821907,0.31397444913770367,2.10041,1.922959
2.9125997846666665,0.025843815760009194,0.13386674622741346,0.13009295064246457,0.15157305810325075,0.029840718053820936,0.6388739458951211,0.0023768810788821907,0.31397444913770367,2.10041,1.922959
3.01303426,0.038957740076467136,0.14167868922664115,0.14418985292331238,0.16400283008673455,0.029652644253342724,0.5857072090931084,0.0023768810788821907,0.31397444913770367,2.10041,1.922959
3.113468735333333,0.05377508791657037,0.1458022246245414,0.14797346579732693,0.1697620879199905,0.024634232445080773,0.5553756934255182,3.4439525980322404e-11,0.31397444913770367,2.10041,1.922959
3.2139032106666665,0.0709588785111998,0.16711569710532523,0.1375257785831344,0.16911383413921804,0.016311509505428576,0.5249875167488264,3.4439525980322404e-11,0.31397444913770367,2.10041,1.922959
3.314337686,0.08901487671366137,0.17832219405121774,0.11854021002278206,0.1637172550415173,0.010184520205811166,0.49237868485495384,3.4439525980322404e-11,0.31397444913770367,2.10041,1.922959
3.414772161333333,0.10613658980427784,0.19482912497273255,0.09345341469932125,0.15427928673655897,0.006865829396129667,0.45863306737182347,3.4439525980322404e-11,0.31397444913770367,2.10041,1.922959
3.5152066366666666,0.1220240318957665,0.2110479982956888,0.07192802178193226,0.1419784872716177,0.006231476456879709,0.4243915245311429,3.4439525980322404e-11,0.31397444913770367,2.10041,1.922959
3.6156411119999996,0.13516997801964672,0.22376419774842424,0.05627542697743564,0.13135903721863434,0.007886497144577564,0.3905356943829097,3.4439525980322404e-11,0.2022981699199538,2.10041,1.922959
