r (A),g(r)_weighted_Na-Cl,g(r)_unweighted_Na-Cl,g(r)_weighted_Na-Na,g(r)_unweighted_Na-Na,S_i_Na-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,1.0,4.53717,4.352426
0.01594927048048048,-3.913115896427646e-06,-1.1739347689282937e-05,0.00020088113290343568,0.0006026433987103071,1.0,4.53717,4.352426
0.03189854096096096,-7.826231792855291e-06,-2.3478695378565874e-05,0.00040176226580687137,0.0012052867974206142,1.0,4.53717,4.352426
0.04784781144144144,-1.1739347689282937e-05,-3.5218043067848814e-05,0.0006026433987103071,0.0018079301961309215,1.0,4.53717,4.352426
0.06379708192192192,-1.5652463585710583e-05,-4.695739075713175e-05,0.0008035245316137427,0.0024105735948412284,1.0,4.53717,4.352426
0.0797463524024024,-1.9565579482138225e-05,-5.869673844641468e-05,0.0010044056645171784,0.0030132169935515353,1.0,4.53717,4.352426
0.09569562288288289,-2.3478695378565874e-05,-7.043608613569763e-05,0.0012052867974206142,0.003615860392261843,1.0,4.53717,4.352426
0.11164489336336336,-4.3784363780762674e-05,-0.00013135309134228802,0.0014061679303240498,0.00421850379097215,1.0,4.53717,4.352426
0.12759416384384384,-6.461147595616923e-05,-0.0001938344278685077,0.0016070490632274855,0.004821147189682457,1.0,4.53717,4.352426
0.14354343432432431,-8.543858813157581e-05,-0.00025631576439472743,0.001742971773435238,0.005228915320305714,1.0,4.53717,4.352426
0.1594927048048048,-0.00010626570030698237,-0.0003187971009209471,0.0017404694113818191,0.005221408234145458,1.0,4.53717,4.352426
0.17544197528528527,-0.00012709281248238894,-0.00038127843744716685,0.0017379670493284,0.0052139011479852004,1.0,4.53717,4.352426
0.19139124576576577,-0.00014791992465779553,-0.00044375977397338663,0.0017354646872749812,0.005206394061824944,1.0,4.53717,4.352426
0.20734051624624625,-0.0001687470368332021,-0.0005062411104996064,0.0017329623252215626,0.005198886975664688,1.0,4.53717,4.352426
0.22328978672672672,-0.0001895741490086087,-0.0005687224470258261,0.0017304599631681435,0.0051913798895044305,1.0,4.53717,4.352426
0.2392390572072072,-0.0002104012611840152,-0.0006312037835520456,0.0017279576011147246,0.005183872803344174,1.0,4.53717,4.352426
0.2551883276876877,-0.00021277630813005115,-0.0006383289243901535,0.0017254552390613056,0.005176365717183917,1.0,4.53717,4.352426
0.2711375981681682,-0.00021402545287046765,-0.0006420763586114029,0.0017229528770078867,0.0051688586310236605,1.0,4.53717,4.352426
0.28708686864864863,-0.00021527459761088412,-0.0006458237928326524,0.0017204505149494445,0.005161351544848334,1.0,4.53717,4.352426
0.30303613912912913,-0.00021652374235130062,-0.0006495712270539019,0.0017179481528786513,0.005153844458635954,1.0,4.53717,4.352426
0.3189854096096096,-0.00021777288709171711,-0.0006533186612751513,0.0017154457908078581,0.005146337372423575,1.0,4.53717,4.352426
0.3349346800900901,-0.00021902203183213359,-0.0006570660954964008,0.0017129434287370647,0.005138830286211194,1.0,4.53717,4.352426
0.35088395057057054,-0.00022027117657255008,-0.0006608135297176503,0.0017104410666662715,0.0051313231999988145,1.0,4.53717,4.352426
0.36683322105105104,-0.00022152032131296658,-0.0006645609639388997,0.0017079387045954783,0.005123816113786435,1.0,4.53717,4.352426
0.38278249153153154,-0.00022276946605338305,-0.0006683083981601492,0.0017054363425246851,0.005116309027574055,1.0,4.53717,4.352426
0.398731762012012,-0.00022401864461128637,-0.0006720559338338592,0.0017029339804538915,0.005108801941361675,1.0,4.53717,4.352426
0.4146810324924925,-0.00022526782627914956,-0.0006758034788374487,0.0017004316183830983,0.005101294855149295,1.0,4.53717,4.352426
0.43063030297297294,-0.0002265170079470128,-0.0006795510238410384,0.0016979292658718126,0.005093787797615438,1.0,4.53717,4.352426
0.44657957345345345,-0.000227766189614876,-0.000683298568844628,0.0016954269407312883,0.005086280822193865,1.0,4.53717,4.352426
0.4625288439339339,-0.00022901537128273923,-0.0006870461138482177,0.0016929246155907643,0.005078773846772293,1.0,4.53717,4.352426
0.4784781144144144,-0.00023026455295060242,-0.0006907936588518073,0.0016904222904502403,0.005071266871350721,1.0,4.53717,4.352426
0.49442738489489485,-0.00023151373461846565,-0.000694541203855397,0.0016879199653097162,0.005063759895929149,1.0,4.53717,4.352426
0.5103766553753754,-0.00023276291628632884,-0.0006982887488589866,0.001685417640169192,0.005056252920507576,1.0,4.53717,4.352426
0.5263259258558558,-0.0002340120979541921,-0.0007020362938625763,0.0016829153150286678,0.005048745945086004,1.0,4.53717,4.352426
0.5422751963363364,-0.00023526124679859524,-0.0007057837403957858,0.001680412989888144,0.005041238969664432,1.0,4.53717,4.352426
0.5582244668168168,-0.00023651039154768818,-0.0007095311746430646,0.0016779106647476197,0.0050337319942428595,1.0,4.53717,4.352426
0.5741737372972973,-0.00023775953629678114,-0.0007132786088903434,0.001675408331165394,0.005026224993496182,1.0,4.53717,4.352426
0.5901230077777777,-0.00023900868104587407,-0.0007170260431376222,0.0016729059690946007,0.005018717907283803,1.0,4.53717,4.352426
0.6060722782582583,-0.00024025782579496704,-0.0007207734773849011,0.0016704036070238075,0.005011210821071423,1.0,4.53717,4.352426
0.6220215487387387,-0.00024150697054405994,-0.0007245209116321799,0.001667901244953014,0.0050037037348590425,1.0,4.53717,4.352426
0.6379708192192192,-0.0002427561152931529,-0.0007282683458794588,0.001665398882882221,0.004996196648646663,1.0,4.53717,4.352426
0.6539200896996997,-0.00024400526004224584,-0.0007320157801267375,0.0016628965208114277,0.004988689562434283,1.0,4.53717,4.352426
0.6698693601801802,-0.0002452544047913388,-0.0007357632143740164,0.0016603941587406343,0.004981182476221903,1.0,4.53717,4.352426
0.6858186306606606,-0.00024650354953294944,-0.0007395106485988484,0.001657891796669841,0.004973675390009523,1.0,4.53717,4.352426
0.7017679011411411,-0.00024775269427336597,-0.0007432580828200979,0.0016553894345990479,0.004966168303797144,1.0,4.53717,4.352426
0.7177171716216216,-0.00024900183901378244,-0.0007470055170413474,0.0016528870725317,0.0049586612175951,1.0,4.53717,4.352426
