r (A),g(r)_weighted_K-Cl,g(r)_weighted_K-K,g(r)_weighted_Cl-Cl,S_i_K-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,5.06102,4.453593
0.1503410709090909,0.0,0.0,0.0,1.0,5.06102,4.453593
0.3006821418181818,0.0,0.0,0.0,1.0,5.06102,4.453593
0.45102321272727275,0.0,0.0,0.0,1.0,5.06102,4.453593
0.6013642836363636,0.0,0.0,0.0,1.0,5.06102,4.453593
0.7517053545454545,0.0,0.0,0.0,1.0,5.06102,4.453593
0.9020464254545455,0.0,0.0,0.0,1.0,5.06102,4.453593
1.0523874963636364,0.0,0.0,0.0,1.0,5.06102,4.453593
1.2027285672727273,0.0,0.0,0.0,1.0,5.06102,4.453593
1.3530696381818181,0.0,0.0,0.0,1.0,5.06102,4.453593
1.503410709090909,0.0,0.0,0.0,1.0,5.06102,4.453593
1.65375178,0.0,0.0,0.0,1.0,5.06102,4.453593
1.804092850909091,0.0,0.0,0.0,1.0,5.06102,4.453593
1.9544339218181819,0.0,0.0,0.0,1.0,5.06102,4.453593
2.1047749927272728,0.0,0.0,0.0,1.0,5.06102,4.453593
2.2551160636363634,0.0,0.0,0.0,1.0,5.06102,4.453593
2.4054571345454545,0.0,0.0,0.0,1.0,5.06102,4.453593
2.5557982054545456,0.0467294566551652,0.0,0.0,1.0,5.06102,4.453593
2.7061392763636363,0.4856205175846513,0.0,0.0,1.0,5.06102,4.453593
2.8564803472727274,1.1880971593995895,0.0016886237819269145,0.0,1.0,5.06102,4.453593
3.006821418181818,1.3899723842477054,0.008078252236776554,0.00963236084590734,0.6777415055267179,5.06102,4.453593
3.157162489090909,1.1488341168559448,0.023980807448581838,0.02754037224340427,0.6777415055267179,5.06102,4.453593
3.30750356,0.8198924295720325,0.06247040297726025,0.06675290226546665,0.6777415055267179,5.06102,4.453593
3.457844630909091,0.5730018233761883,0.13725674590381506,0.12726722626692588,0.6777415055267179,5.06102,4.453593
3.608185701818182,0.4007502933716396,0.2266860972782785,0.20477321118717912,0.6777415055267179,5.06102,4.453593
3.7585267727272726,0.3033996153844094,0.32683001360174513,0.29479222585796594,0.6777415055267179,5.06102,4.453593
3.9088678436363637,0.23805499924037923,0.41926649763733376,0.3817304622598292,0.6777415055267179,5.06102,4.453593
4.059208914545454,0.19897333515001206,0.48827162822423664,0.4582033548159828,0.6777415055267179,5.06102,4.453593
4.2095499854545455,0.1754235442133654,0.52763911810881,0.5125849602827752,0.6777415055267179,5.06102,4.453593
4.359891056363637,0.1624957569906797,0.5379223182005284,0.539848676267435,0.6777415055267179,5.06102,4.453593
4.510232127272727,0.15611526592996053,0.5351026441401738,0.5456529766041188,0.6777415055267179,5.06102,4.453593
4.660573198181818,0.1549767084099256,0.5120714865115937,0.5305936638946023,0.6777415055267179,5.06102,4.453593
4.810914269090909,0.15829429438209577,0.480901188664263,0.5041524624213349,0.6777415055267179,5.06102,4.453593
4.96125534,0.1661581851436174,0.4468994121331029,0.47102795125252406,0.6777415055267179,5.06102,4.453593
5.111596410909091,0.1792740668416558,0.41379939389972287,0.4364035379462936,0.6777415055267179,5.06102,4.453593
5.261937481818181,0.19673388495945612,0.38851691116539394,0.4092494638040634,0.6777415055267179,5.06102,4.453593
5.4122785527272725,0.21839257235242326,0.37056882722808027,0.3894417900389495,0.6777415055267179,5.06102,4.453593
5.562619623636364,0.24458160326480485,0.3584572873509253,0.37510256248615437,0.6777415055267179,5.06102,4.453593
5.712960694545455,0.27572337922785467,0.3519040448369209,0.3628815193143998,0.6777415055267179,5.06102,4.453593
5.863301765454545,0.31057917043650735,0.3449323993180703,0.3494888574857362,0.6777415055267179,5.06102,4.453593
6.013642836363636,0.34753963647416686,0.33220589811313606,0.33207595620890856,0.12299362959482774,5.06102,4.453593
6.163983907272727,0.38243058449747186,0.31348963456323636,0.3093528023699559,0.021177207486265375,5.06102,4.453593
6.314324978181818,0.4117117849080039,0.29414097222832647,0.2875754993504176,0.021177207486265375,5.06102,4.453593
6.464666049090909,0.4336578655428678,0.27499820689595283,0.2683844164536654,0.021177207486265375,5.06102,4.453593
6.61500712,0.4444714108949362,0.2598321316989184,0.2532505591773967,0.021177207486265375,5.06102,4.453593
6.765348190909091,0.44671194369648554,0.25175267614529717,0.2439205012455123,0.021177207486265375,5.06102,4.453593
6.915689261818182,0.44095549143530066,0.2496748917858417,0.2398013203958368,0.021177207486265375,5.06102,4.453593
7.066030332727273,0.42850040431873415,0.25088632166216235,0.24219733847118022,0.021177207486265375,5.06102,4.453593
7.216371403636364,0.41146197388903316,0.25725232870625525,0.24940799434925648,0.021177207486265375,5.06102,4.453593
7.366712474545454,0.3908695679747643,0.268903735487006,0.260767972927051,0.021177207486265375,5.06102,4.453593
7.517053545454545,0.3701122745517325,0.28361373105930016,0.2759753100162597,0.021177207486265375,5.06102,4.453593
7.667394616363636,0.3503066809988966,0.3002790100233502,0.29423077103659157,0.021177207486265375,5.06102,4.453593
7.8177356872727275,0.33255848484126443,0.3180281228806888,0.3124862319224539,0.021177207486265375,5.06102,4.453593
7.968076758181818,0.3172946312141214,0.3361462405851937,0.33099605251928155,0.021177207486265375,5.06102,4.453593
8.118417829090909,0.3051161592382914,0.35066578421158356,0.3491417770619818,0.021177207486265375,5.06102,4.453593
8.2687589,0.2956099762341816,0.36223831703398746,0.3656955604928972,0.021177207486265375,5.06102,4.453593
8.419099970909091,0.28879632603823113,0.3734700668355731,0.37786586783978515,0.021177207486265375,5.06102,4.453593
