r (A),g(r)_weighted_K-F,g(r)_weighted_K-K,g(r)_weighted_F-F,S_i_K-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,4.32316,4.22517
0.150470873160609,0.0,0.0,0.0,1.0,4.32316,4.22517
0.300941746321218,0.0,0.0,0.0,1.0,4.32316,4.22517
0.451412619481827,0.0,0.0,0.0,1.0,4.32316,4.22517
0.601883492642436,0.0,0.0,0.0,1.0,4.32316,4.22517
0.752354365803045,0.0,0.0,0.0,1.0,4.32316,4.22517
0.902825238963654,0.0,0.0,0.0,1.0,4.32316,4.22517
1.053296112124263,0.0,0.0,0.0,1.0,4.32316,4.22517
1.203766985284872,0.0,0.0,0.0,1.0,4.32316,4.22517
1.354237858445481,0.0,0.0,0.0,1.0,4.32316,4.22517
1.50470873160609,0.0,0.0,0.0,1.0,4.32316,4.22517
1.6551796047666991,0.0,0.0,0.0,1.0,4.32316,4.22517
1.805650477927308,0.0,0.0,0.0,1.0,4.32316,4.22517
1.956121351087917,0.0,0.0,0.0,1.0,4.32316,4.22517
2.106592224248526,0.08638736153608342,0.0,0.0,1.0,4.32316,4.22517
2.257063097409135,0.6369264532759518,0.0,0.0,1.0,4.32316,4.22517
2.407533970569744,1.2745359402396121,0.0,0.0,1.0,4.32316,4.22517
2.558004843730353,1.2589119389088776,0.0,0.014561980160918201,0.8338102818594475,4.32316,4.22517
2.708475716890962,0.9192315212190512,0.0029056277181212288,0.03580199782900431,0.7104172106408861,4.32316,4.22517
2.858946590051571,0.6192470806827475,0.013503127128688789,0.07584200493968951,0.7104172106408861,4.32316,4.22517
3.00941746321218,0.41394637581055727,0.07023470064637677,0.14314855707154714,0.7104172106408861,4.32316,4.22517
3.159888336372789,0.301183797820904,0.18394630094715758,0.2341066448493897,0.7104172106408861,4.32316,4.22517
3.3103592095333982,0.2319988999542333,0.33044121196607235,0.3402784312021857,0.7104172106408861,4.32316,4.22517
3.4608300826940073,0.19415907309889016,0.4812974979281637,0.43048564098866776,0.7104172106408861,4.32316,4.22517
3.611300955854616,0.17284021285220136,0.5668302062883653,0.4987442972320203,0.7104172106408861,4.32316,4.22517
3.761771829015225,0.16202399369289522,0.5982121663387555,0.529914615048064,0.7104172106408861,4.32316,4.22517
3.912242702175834,0.16015682873997644,0.5895718616311515,0.5351137459611419,0.7104172106408861,4.32316,4.22517
4.062713575336443,0.16521455803458984,0.5534388509780239,0.5204322581554488,0.7104172106408861,4.32316,4.22517
