r (A),g(r)_weighted_U-F,g(r)_weighted_F-F,g(r)_weighted_Li-F,g(r)_weighted_Na-F,S_i_U-F,S_i_Li-F,S_i_Na-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
0.057211562404040406,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
0.11442312480808081,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
0.17163468721212122,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
0.22884624961616162,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
0.28605781202020203,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
0.34326937442424243,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
0.40048093682828284,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
0.45769249923232325,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
0.5149040616363636,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
0.5721156240404041,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
0.6293271864444445,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
0.6865387488484849,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
0.7437503112525252,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
0.8009618736565657,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
0.8581734360606061,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
0.9153849984646465,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
0.9725965608686868,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
1.0298081232727272,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
1.0870196856767678,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
1.1442312480808081,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
1.2014428104848485,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
1.258654372888889,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
1.3158659352929294,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
1.3730774976969697,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
1.43028906010101,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.17259,0
1.4875006225050504,0.0,0.0,0.021623426027098536,0.0,1.0,1.0,1.0,2.17259,0
1.544712184909091,0.0,0.0,0.0858794520499473,0.0,1.0,1.0,1.0,2.17259,0
1.6019237473131314,0.0,0.0,0.23214569280303,0.0,1.0,1.0,1.0,2.17259,0
1.6591353097171717,0.0,0.0,0.4341802735004319,0.0,1.0,1.0,1.0,2.17259,0
1.7163468721212123,0.0,0.0,0.6220643700372142,0.0,1.0,1.0,1.0,2.17259,0
1.7735584345252526,0.0,0.0,0.7353326761822009,0.0,1.0,1.0,1.0,2.17259,0
1.830769996929293,2.9906745233697494e-05,0.0,0.7532316045723375,0.011522446364281817,1.0,0.1669365520260141,1.0,2.17259,0
