r (A),g(r)_weighted_Mg-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_Cl-Cl,S_i_Mg-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,4.46044,4.049956
0.11035689090909091,0.0,0.0,0.0,1.0,4.46044,4.049956
0.22071378181818183,0.0,0.0,0.0,1.0,4.46044,4.049956
0.33107067272727275,0.0,0.0,0.0,1.0,4.46044,4.049956
0.44142756363636365,0.0,0.0,0.0,1.0,4.46044,4.049956
0.5517844545454546,0.0,0.0,0.0,1.0,4.46044,4.049956
0.6621413454545455,0.0,0.0,0.0,1.0,4.46044,4.049956
0.7724982363636363,0.0,0.0,0.0,1.0,4.46044,4.049956
0.8828551272727273,0.0,0.0,0.0,1.0,4.46044,4.049956
0.9932120181818183,0.0,0.0,0.0,1.0,4.46044,4.049956
1.103568909090909,0.0,0.0,0.0,1.0,4.46044,4.049956
1.2139258,0.0,0.0,0.0,1.0,4.46044,4.049956
1.324282690909091,0.0,0.0,0.0,1.0,4.46044,4.049956
1.4346395818181819,0.0,0.0,0.0,1.0,4.46044,4.049956
1.5449964727272727,0.0,0.0,0.0,1.0,4.46044,4.049956
1.6553533636363638,0.0,0.0,0.0,1.0,4.46044,4.049956
1.7657102545454546,0.0,0.0,0.0,1.0,4.46044,4.049956
1.8760671454545454,0.0,0.0,0.0,1.0,4.46044,4.049956
1.9864240363636365,0.0,0.0,0.0,1.0,4.46044,4.049956
2.0967809272727274,0.07034353099795526,0.0,0.0,1.0,4.46044,4.049956
2.207137818181818,0.5781019284087373,0.0,0.0,1.0,4.46044,4.049956
2.317494709090909,1.465332392134031,0.0,0.0,1.0,4.46044,4.049956
2.4278516,1.7254419085212789,0.0,0.0,0.8870809229874944,4.46044,4.049956
2.538208490909091,1.3265604851210242,0.0,0.0,0.8597558917926763,4.46044,4.049956
2.648565381818182,0.8147305159509929,0.0,0.0,0.8597558917926763,4.46044,4.049956
2.758922272727273,0.4912626057823873,0.0,0.0,0.8597558917926763,4.46044,4.049956
2.8692791636363637,0.2991241140992078,0.0,0.041284277066516585,0.8597558917926763,4.46044,4.049956
2.9796360545454545,0.1955238453485139,0.004168064784828449,0.13948279595804003,0.8597558917926763,4.46044,4.049956
3.0899929454545454,0.15131451204058902,0.014694170783816528,0.3279464656813847,0.8597558917926763,4.46044,4.049956
3.2003498363636367,0.12419497231970987,0.03228366922916068,0.603715231810877,0.8597558917926763,4.46044,4.049956
3.3107067272727275,0.10940234253808985,0.05902645327771513,0.8758873941188581,0.8597558917926763,4.46044,4.049956
3.4210636181818184,0.10359385109662966,0.09360267811397993,1.1146791875746487,0.8597558917926763,4.46044,4.049956
3.531420509090909,0.10385075274207128,0.1333454753849837,1.2288536821704308,0.8597558917926763,4.46044,4.049956
3.6417774,0.10940008016556453,0.17155723181873492,1.2473296506663658,0.8597558917926763,4.46044,4.049956
3.752134290909091,0.11622585126366577,0.2066851306498757,1.1972834630049338,0.8597558917926763,4.46044,4.049956
3.8624911818181817,0.12682738336548305,0.22648672208006956,1.1089345819725818,0.8597558917926763,4.46044,4.049956
3.972848072727273,0.13881251708607792,0.24132805143501798,1.0032264844665062,0.8597558917926763,4.46044,4.049956
4.083204963636364,0.15305404830518343,0.2456011408401091,0.8967915612499817,0.8597558917926763,4.46044,4.049956
4.193561854545455,0.16907536755403066,0.24298897709309378,0.8044698080929991,0.8597558917926763,4.46044,4.049956
4.303918745454546,0.18661876232630448,0.2338327502464342,0.7125640098487113,0.8597558917926763,4.46044,4.049956
4.414275636363636,0.20425020251844764,0.21645521660113992,0.6279546344249316,0.8597558917926763,4.46044,4.049956
4.524632527272727,0.22267942742651264,0.19906563218964995,0.5591473110778078,0.8597558917926763,4.46044,4.049956
4.634989418181818,0.24164118770543072,0.1803955508115406,0.5085182562667222,0.8597558917926763,4.46044,4.049956
4.745346309090909,0.2598712136888833,0.15984520697680815,0.46730045278597715,0.6309029320492464,4.46044,4.049956
4.8557032,0.27869335995850225,0.1395595063259474,0.4338370509092493,0.006682956463811049,4.46044,4.049956
4.9660600909090915,0.29720823020940657,0.1253629875229724,0.4114741065104982,0.006682956463811049,4.46044,4.049956
5.076416981818182,0.3089473053595457,0.11508920409626962,0.3942620614812651,0.006682956463811049,4.46044,4.049956
5.186773872727273,0.32361478892978973,0.10765419606128265,0.38251228421198624,0.006682956463811049,4.46044,4.049956
5.297130763636364,0.342268912537553,0.10385904662935479,0.37651088420887796,0.006682956463811049,4.46044,4.049956
5.407487654545455,0.3610424399552648,0.10255739682678097,0.37852104414072335,0.006682956463811049,4.46044,4.049956
5.517844545454546,0.3787149819642707,0.10307411757252406,0.3862705097577294,0.006682956463811049,4.46044,4.049956
5.628201436363637,0.3841752967938463,0.10504152757129241,0.4017613818462181,0.006682956463811049,4.46044,4.049956
5.738558327272727,0.3806310672942716,0.10792521920119848,0.4205472113321238,0.006682956463811049,4.46044,4.049956
5.848915218181818,0.37586679336725937,0.11142232540756576,0.4457546991876763,0.006682956463811049,4.46044,4.049956
5.959272109090909,0.36210983139430336,0.11619688129248974,0.4744682374346819,0.006682956463811049,4.46044,4.049956
6.069629,0.34204743595306547,0.12130299860765627,0.5070439543483276,0.006682956463811049,4.46044,4.049956
6.179985890909091,0.32119767392169063,0.12576991294561818,0.5424654813387613,0.006682956463811049,4.46044,4.049956
6.290342781818182,0.30268076152895934,0.13170784019428788,0.5762308176856031,0.006682956463811049,4.46044,4.049956
