r (A),g(r)_weighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_weighted_Ce-Cl,S_i_Li-Cl,S_i_K-Cl,S_i_Ce-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
0.07029098022222223,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
0.14058196044444446,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
0.21087294066666668,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
0.2811639208888889,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
0.35145490111111116,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
0.42174588133333335,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
0.4920368615555556,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
0.5623278417777778,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
0.6326188220000001,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
0.7029098022222223,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
0.7732007824444446,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
0.8434917626666667,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
0.9137827428888889,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
0.9840737231111112,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
1.0543647033333334,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
1.1246556835555557,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
1.194946663777778,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
1.2652376440000002,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
1.3355286242222224,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
1.4058196044444446,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
1.476110584666667,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
1.5464015648888891,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
1.6166925451111114,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
1.6869835253333334,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
1.7572745055555556,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
1.8275654857777779,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
1.8978564660000001,0.0,0.0,0.0,1.0,1.0,1.0,2.79577,0
1.9681474462222224,0.04061037633647897,0.0,0.0,1.0,1.0,1.0,2.79577,0
2.038438426444445,0.18042688273912125,0.0,7.188316016207791e-05,1.0,1.0,1.0,2.79577,0
2.108729406666667,0.47421626349126383,0.0,7.347427399378848e-05,1.0,1.0,1.0,2.79577,0
2.1790203868888893,0.8460805442101553,0.0,7.506538679574677e-05,1.0,1.0,1.0,2.79577,0
2.2493113671111113,1.0894144907408816,0.0,7.665648874903134e-05,1.0,1.0,1.0,2.79577,0
2.3196023473333334,1.1546737638152573,0.0,7.824759767293211e-05,0.1514064985034587,1.0,1.0,2.79577,0
2.389893327555556,1.0774532526480682,0.0,0.0004617103696823745,0.1514064985034587,1.0,1.0,2.79577,0
2.460184307777778,0.89474022611065,0.0,0.0014270288822712108,0.1514064985034587,1.0,1.0,2.79577,0
2.5304752880000003,0.7165662150364156,0.0,0.004955524563681717,0.1514064985034587,1.0,1.0,2.79577,0
