r (A),g(r)_weighted_Li-Li,g(r)_weighted_Ca-Li,g(r)_weighted_Li-Cl,g(r)_weighted_Ca-Ca,g(r)_weighted_Ca-Cl,g(r)_weighted_Cl-Cl,S_i_Li-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.37812,0
0.0999000999000999,-0.00022079413203448476,0.0003087147710138805,0.001749795322106703,0.00014362587203835514,0.0003599593033994021,0.008410612733808926,0.0,1.0,2.37812,0
0.1998001998001998,-0.0002400030511198501,0.00018955086940250843,0.0017141216152339982,0.00016952851139676012,0.000413732802242356,0.00834436156390251,0.0,1.0,2.37812,0
0.2997002997002997,-0.0002592119702051492,7.831064691383197e-05,0.0016784479083612365,0.00016600034258517285,0.00039844407072542695,0.008278110393995938,0.0,1.0,2.37812,0
0.3996003996003996,-0.00027842088929047994,0.00037910173880504304,0.0016427742014884948,0.00016247217377358437,0.00038315533920857566,0.008211859224089403,0.0,1.0,2.37812,0
0.4995004995004995,-0.0002976298083757373,0.0003708693449113238,0.0016071004946157839,0.00015894400496199767,0.00036786660769166024,0.008145608054182948,0.0,1.0,2.37812,0
0.5994005994005994,-0.00031683872746108833,0.00036263695101763146,0.0015714267877431408,0.00015541583615041223,0.00035257787617482277,0.008079356884276655,0.0,1.0,2.37812,0
0.6993006993006994,-0.0003360476465463672,0.00035440455712393504,0.0019821203381154367,0.00015188766733882728,0.0003372891446579302,0.008013105714369962,0.0,1.0,2.37812,0
0.7992007992007992,-0.00035525656563173966,0.00034617216323023516,0.0030623647743551422,0.0001483594985272359,0.0003220004131410561,0.007946854544463583,0.0,1.0,2.37812,0
0.8991008991008991,-0.00012010397782262286,0.000337939769336537,0.0032498746961048468,0.00014483132971564291,0.0003067116816241361,0.007626675365969984,0.0,1.0,2.37812,0
0.999000999000999,0.0003024728782244086,3.8179991271110356e-05,0.003214200989232114,4.7124574760085044e-05,0.0006348174154337516,0.007220085524850426,0.0,1.0,2.37812,0
1.098901098901099,-0.00027335636764381214,0.0003214749815491204,0.003178527282359407,-3.88098569274779e-05,0.0002761342185904336,0.007584119674977717,0.0,1.0,2.37812,0
1.1988011988011988,0.00044785528869756253,0.0003132425876554191,0.00314285357548666,-2.467954083707472e-05,0.00026084548707352285,0.007681849864837688,0.0,1.0,2.37812,0
1.2987012987012987,-0.00030298648743512426,0.00030501019376169986,0.0031071798686139627,6.008471486131803e-05,0.0002455567555566394,0.0076155986949310115,0.0,1.0,2.37812,0
1.3986013986013988,-0.0004705100801435159,0.00029677779986798697,0.0030715061617412635,8.714070265383986e-06,0.00023026802403975627,0.007549347525024699,0.0,1.0,2.37812,0
1.4985014985014986,-0.0004897189992288866,0.00028854540597428004,0.0030358324548685357,0.00010391624761407094,0.00021497929252291877,0.007483096355118302,0.0,1.0,2.37812,0
1.5984015984015985,-0.0005089279183141804,0.0002803130120805692,0.003000158747995857,0.00012013414803453779,0.00019969056100599397,0.007125789321583282,0.0,1.0,2.37812,0
1.6983016983016983,-0.0005281368373995164,0.0002720806181868766,0.0002362182363628716,0.00011660597922295302,0.0005296194816532685,0.00670229304647145,0.9210770659238624,1.0,2.37812,0
1.7982017982017982,-0.0005473457564847739,0.0002638482242931876,0.04089852610963414,0.00011307781041137236,0.00016911309797222303,0.007110306024891954,1.0,1.0,2.37812,0
1.8981018981018982,-0.0005665546755701195,0.00025561583039947677,0.15597766828826667,0.00010954964159977838,0.0003336599143220767,0.0071158795745599485,1.0,1.0,2.37812,0
1.998001998001998,-0.0003005903619055853,4.111763643800256e-05,0.4150881617986781,0.00010602147278818442,0.0004685377267170949,0.006323977737816559,1.0,1.0,2.37812,0
2.097902097902098,-0.0005244278894543738,0.0002391510426120859,0.6737901721021724,0.00010249330397659861,0.0004299570490790674,0.007249902194151484,1.0,1.0,2.37812,0
2.197802197802198,0.000278178552406723,0.00023091864871838122,0.7966398842796087,9.896513516501416e-05,0.019047711725279307,0.008135052309681642,1.0,1.0,2.37812,0
2.2977022977022976,-0.0006433903519113333,0.00019099153833388534,0.8447776368666358,9.543696635342913e-05,0.12168352171228784,0.00677927117449695,0.0,1.0,2.37812,0
2.3976023976023977,0.0006129522751734067,-0.00013418802046740255,0.7581700429903127,9.190879754183368e-05,0.3409127219828217,0.006063722983307944,1.0,1.0,2.37812,0
2.4975024975024978,0.0036858714238195266,2.96366180173076e-05,0.5883881127723373,8.838062873024678e-05,0.5260297959376016,0.004904026885872623,1.0,1.0,2.37812,0
2.5974025974025974,0.00842791324867956,0.00019798907314355757,0.413030918177987,8.485245991866697e-05,0.5678917782043333,0.006669801316185986,1.0,0.0,2.37812,0
2.6973026973026974,0.013844298279094969,0.000354569205001839,0.3267066620705122,0.0002579091401270684,0.518904447474737,0.010979885559719736,1.0,1.0,2.37812,0
2.7972027972027975,0.025780650471627056,0.0004287430739841125,0.2753048943511537,0.00027785461043640055,0.37357235483105117,0.027119740532855652,1.0,1.0,2.37812,0
2.897102897102897,0.041954936774307554,0.00040873835682241283,0.23098428302782553,0.0002793342297651664,0.22867796842579374,0.06196288706591877,1.0,1.0,2.37812,0
2.997002997002997,0.061238498775880605,0.00014499874724621596,0.19288476145059344,0.0002758060609535777,0.1672073098365896,0.1359572848952122,1.0,1.0,2.37812,0
3.096903096903097,0.08149751705615163,0.0017574493437150143,0.16378136586957576,0.0002722778921419895,0.12427300047249625,0.239095659367513,1.0,1.0,2.37812,0
