r (A),g(r)_weighted_K-K,g(r)_weighted_K-Cl,g(r)_weighted_Ca-K,g(r)_weighted_Cl-Cl,g(r)_weighted_Ca-Cl,g(r)_weighted_Ca-Ca,S_i_K-Cl,S_i_Ca-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.94714,0
0.1494360513131313,0.003632562671453693,0.004863299282939727,0.0022732376598100157,0.018148161065104994,0.00451754644033779,0.0006366222493782641,1.0,1.0,3.94714,0
0.2988721026262626,0.0035440952310535267,0.004316690526350139,0.002832532819160955,0.0226046265699337,0.0056503918957483785,0.0005891271208518133,1.0,1.0,3.94714,0
0.44830815393939394,0.0035080697188938866,0.004235756967248695,0.002797082436885847,0.022363779707910578,0.005607869162922819,0.0005821041486104682,1.0,1.0,3.94714,0
0.5977442052525253,0.003472044206734246,0.004154823436386614,0.0027616320704965873,0.02212293299024534,0.005565346430014228,0.0005750811764014597,1.0,1.0,3.94714,0
0.7471802565656566,0.0034360186944385985,0.004314854332541495,0.002726181673188669,0.021882086421124065,0.005522823697268012,0.0005862495934152697,1.0,1.0,3.94714,0
0.8966163078787879,0.0033999931821738893,0.007597622711522369,0.0028630860543622377,0.02164123973631651,0.005480300964481603,0.0008622297626489766,1.0,1.0,3.94714,0
1.0460523591919193,0.0033639676700142483,0.0058814333427670805,0.002860878000410707,0.02140039295672721,0.005437778231573012,0.0007216954755133821,1.0,1.0,3.94714,0
1.1954884105050505,0.003327942157854608,0.003964366421615836,0.002619830496170603,0.021159546081961373,0.005395255456737494,0.0005601091415646369,1.0,1.0,3.94714,0
1.3449244618181817,0.0032919166456949677,0.0037501558604188362,0.002584380129781343,0.02091869926174734,0.005352732668936079,0.0005399662939331297,1.0,1.0,3.94714,0
1.4943605131313131,0.0032558911335353272,0.0036692223013173922,0.0025489297451067026,0.02067785269262607,0.005310209936027488,0.0005329433216904809,1.0,1.0,3.94714,0
1.6437965644444446,0.003219865621306021,0.0035882889387384284,0.0025134793426183507,0.020437005994681016,0.005267687203202972,0.000525920349478324,1.0,1.0,3.94714,0
1.7932326157575758,0.003358709252302552,0.0035073554308933078,0.0026708753317859543,0.021139977491335487,0.005819339543374645,0.0005188973772401274,1.0,1.0,3.94714,0
1.942668667070707,0.00387235062336106,0.0036447128207416656,0.003266064609421073,0.02303784203411117,0.007093695201542719,0.0007329487283020635,1.0,1.0,3.94714,0
2.0921047183838386,0.0034036610662332724,0.0038607261150231673,0.0028864366826882497,0.015947126511850932,0.005497725951944928,0.0006231775581867419,1.0,1.0,3.94714,0
2.24154076969697,0.003075763572496049,0.003507508194130053,0.0023716778226768385,0.019473618965739778,0.023090375257889584,0.0004978284605687128,1.0,1.0,3.94714,0
2.390976821010101,0.0030397380603364088,0.0031836211950291267,0.002336227453162132,0.01923277237034352,0.32357299254742367,0.0004908054883394203,1.0,1.0,3.94714,0
2.540412872323232,0.0030037125481734437,0.0031026876359276836,0.002300777035513847,0.01899192538605142,0.73943630644336,0.00048378251611390713,1.0,0.8699633851321822,3.94714,0
2.6898489236363634,0.0029676870357837845,0.0030217541935355133,0.002265326669124587,0.01875107881693015,0.7213527912082389,0.00047675953439464924,1.0,1.0908315308171626e-05,3.94714,0
2.839284974949495,0.0029316615236164105,0.004581587277268453,0.002229876302735327,0.04609811271390614,0.45482415510193347,0.0006929619623357668,1.0,1.0908315308171626e-05,3.94714,0
2.9887210262626263,0.005467492803458815,0.00817395704287451,0.00275592812609899,0.09650012325700062,0.2429222502389494,0.000981975544586968,1.0,1.0908315308171626e-05,3.94714,0
3.1381570775757575,0.007485156071601821,0.013724561574093632,0.0022754339545790424,0.22434438595087494,0.1250082337714047,0.0006687982479128719,1.0,1.0908315308171626e-05,3.94714,0
3.287593128888889,0.013098093407842577,0.025231156028303205,0.0023358196022957045,0.39392267556043825,0.07231208711269077,0.00044866763364047324,1.0,1.0908315308171626e-05,3.94714,0
3.4370291802020203,0.02611167211272323,0.051309942981780196,0.003159016602362884,0.5567397090241529,0.04758057320521969,0.000615502081946456,1.0,1.0908315308171626e-05,3.94714,0
3.5864652315151515,0.05044793000569123,0.09910197482319472,0.0076263368261125725,0.6638901715575817,0.03248187977802354,0.0014741573434307001,1.0,1.0908315308171626e-05,3.94714,0
3.7359012828282827,0.08487586150976682,0.15307931187449092,0.015582993177068002,0.7179665161628073,0.028225194152646838,0.0038959732698222414,1.0,1.0908315308171626e-05,3.94714,0
3.885337334141414,0.12441107186101444,0.22440352612331022,0.03285642716095042,0.7272468889226108,0.02450568271700829,0.008865041405619249,1.0,1.0908315308171626e-05,3.94714,0
4.034773385454545,0.15564370400759323,0.28753918810089746,0.056348684054106576,0.6995917714527495,0.024463159936942182,0.020591061651699657,1.0,1.0908315308171626e-05,3.94714,0
4.184209436767677,0.18439243468016137,0.338639504077507,0.0774284359484222,0.653123557894967,0.024420637222651805,0.03326840481026037,1.0,1.0908315308171626e-05,3.94714,0
4.333645488080808,0.20402063558121625,0.37669804206150476,0.09876850017827309,0.5992219129688332,0.028024822205015777,0.04299368130664284,1.0,1.0908315308171626e-05,3.94714,0
4.48308153939394,0.21926873678971545,0.3989791006921935,0.1111883308967156,0.5577412829445058,0.032029711197660196,0.047669016961862674,0.5591232910443054,1.0908315308171626e-05,3.94714,0
4.632517590707071,0.22142864162962533,0.40458342331544184,0.11579753048462474,0.5210827940018611,0.03740400820394991,0.048401482313649075,0.0003427531240185059,1.0908315308171626e-05,3.94714,0
