r (A),g(r)_weighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_weighted_Sm-Cl,S_i_Li-Cl,S_i_K-Cl,S_i_Sm-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
0.07940908967676767,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
0.15881817935353534,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
0.238227269030303,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
0.3176363587070707,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
0.3970454483838384,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
0.476454538060606,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
0.5558636277373737,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
0.6352727174141414,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
0.714681807090909,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
0.7940908967676767,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
0.8734999864444444,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
0.952909076121212,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
1.0323181657979796,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
1.1117272554747475,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
1.1911363451515151,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
1.2705454348282827,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
1.3499545245050504,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
1.429363614181818,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
1.5087727038585859,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
1.5881817935353535,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
1.6675908832121211,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
1.7469999728888888,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
1.8264090625656564,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
1.905818152242424,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
1.9852272419191919,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
2.0646363315959593,0.0,0.0,0.0,1.0,1.0,1.0,2.89171,0
2.144045421272727,0.07982191879071976,0.0,0.0,1.0,1.0,1.0,2.89171,0
2.223454510949495,0.23991292789049182,0.0,0.00025275551473068404,1.0,1.0,1.0,2.89171,0
2.3028636006262624,0.5444080380208248,0.0007839369537733691,0.00025275551473068404,1.0,1.0,1.0,2.89171,0
2.3822726903030302,0.9052232506552256,0.0007839369537733691,0.00025275551473068404,1.0,1.0,1.0,2.89171,0
2.4616817799797976,1.1285261494214807,0.0007839369537733691,0.00025275551473068404,1.0,1.0,1.0,2.89171,0
2.5410908696565655,1.143037288772794,0.0007839369537733691,0.00025275551473068404,3.506701406197594e-09,1.0,1.0,2.89171,0
2.6204999593333334,1.0517244017661864,0.0007839369537733691,0.0019057471813225982,3.506701406197594e-09,1.0,1.0,2.89171,0
2.6999090490101008,0.8529161522319024,0.0006560349915642441,0.014390690223102985,3.506701406197594e-09,1.0,1.0,2.89171,0
2.7793181386868686,0.6875698516436393,0.003434221452403683,0.045677098316397984,3.506701406197594e-09,1.0,1.0,2.89171,0
2.858727228363636,0.5435012264471651,0.012209170595143105,0.08839612053358042,3.506701406197594e-09,1.0,1.0,2.89171,0
2.938136318040404,0.4071058375369934,0.03749963586928899,0.1207515607648623,3.506701406197594e-09,1.0,1.0,2.89171,0
3.0175454077171717,0.3188806765548983,0.08809336435960724,0.12227485090790788,3.506701406197594e-09,1.0,9.824339589172944e-67,2.89171,0
3.096954497393939,0.24849609210184162,0.16208548989035787,0.09209778757683024,3.506701406197594e-09,1.0,9.824339589172944e-67,2.89171,0
3.176363587070707,0.19871622640084077,0.25238012332674853,0.0555591661101443,3.506701406197594e-09,1.0,9.824339589172944e-67,2.89171,0
3.2557726767474744,0.1593550686832324,0.34005266076087404,0.03988452190978452,3.506701406197594e-09,1.0,9.824339589172944e-67,2.89171,0
3.3351817664242422,0.13988895567879245,0.3974718691875235,0.0186548090337046,3.506701406197594e-09,1.0,9.824339589172944e-67,2.89171,0
3.41459085610101,0.1221770556406226,0.43023543591808466,0.011509418826699381,3.506701406197594e-09,1.0,9.824339589172944e-67,2.89171,0
3.4939999457777775,0.10641237496080436,0.4389943834381584,0.005447277909059144,3.506701406197594e-09,0.0019382635957946757,9.824339589172944e-67,2.89171,0
3.5734090354545454,0.1007526773552389,0.4205404539772489,0.003008493998665918,3.506701406197594e-09,0.0019382635957946757,9.824339589172944e-67,2.89171,0
3.6528181251313128,0.09277756492085751,0.39214204066498737,0.0017262861289153962,3.506701406197594e-09,0.0019382635957946757,9.824339589172944e-67,2.89171,0
3.7322272148080806,0.08781994756745701,0.3655749588400629,0.0006346980868851124,3.506701406197594e-09,0.0019382635957946757,9.824339589172944e-67,2.89171,0
3.811636304484848,0.08531571073346311,0.3384276112098456,0.00047765474330680504,3.506701406197594e-09,0.0019382635957946757,9.824339589172944e-67,2.89171,0
3.891045394161616,0.08296532314462415,0.3013408728080073,0.0003206113997284968,3.506701406197594e-09,0.0019382635957946757,9.824339589172944e-67,2.89171,0
3.9704544838383837,0.0806149355557852,0.267389040891624,0.00024744317565638356,3.506701406197594e-09,0.0019382635957946757,9.824339589172944e-67,2.89171,0
