r (A),g(r)_weighted_Mg-Cl,g(r)_weighted_K-Cl,g(r)_weighted_Mg-Mg,g(r)_weighted_K-K,g(r)_weighted_Na-Cl,g(r)_weighted_Cl-Cl,g(r)_weighted_Na-Na,S_i_Mg-Cl,S_i_K-Cl,S_i_Na-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.71905,3.80599721669684
0.14953102606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.71905,3.80599721669684
0.2990620521212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.71905,3.80599721669684
0.44859307818181815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.71905,3.80599721669684
0.5981241042424242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.71905,3.80599721669684
0.7476551303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.71905,3.80599721669684
0.8971861563636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.71905,3.80599721669684
1.0467171824242425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.71905,3.80599721669684
1.1962482084848485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.71905,3.80599721669684
1.3457792345454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.71905,3.80599721669684
1.4953102606060606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.71905,3.80599721669684
1.6448412866666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.71905,3.80599721669684
1.7943723127272726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.71905,3.80599721669684
1.9439033387878788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.71905,3.80599721669684
2.093434364848485,0.07063051984900372,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.71905,3.80599721669684
2.2429653909090908,1.2725233405236729,0.0,0.0,0.0,0.0,0.0,0.0,0.8989224382349231,1.0,1.0,2.71905,3.80599721669684
2.392496416969697,1.1993036602227944,0.0,0.0,0.0,0.05909171127439338,0.0,0.0,0.15815515325044688,1.0,1.0,2.71905,3.80599721669684
2.542027443030303,0.4507797173479591,0.0024660454441169767,0.0,0.0,0.3374665654816809,0.0,0.0,0.15815515325044688,1.0,1.0,2.71905,3.80599721669684
2.691558469090909,0.2003864730639129,0.026922099656457477,0.0,0.0,0.41190158290119083,0.0,0.0,0.15815515325044688,1.0,0.021777474798364203,2.71905,3.80599721669684
2.841089495151515,0.07402702410715437,0.14206767184219368,0.0,0.0,0.385615640547029,0.003002163183123862,0.00011564208123431864,0.15815515325044688,1.0,0.021777474798364203,2.71905,3.80599721669684
2.9906205212121213,0.031196857005352692,0.21046802879842183,0.0008181540178030914,0.0,0.276684430656005,0.05294095474579282,0.0010500954923525138,0.15815515325044688,0.7714422149752533,0.021777474798364203,2.71905,3.80599721669684
3.140151547272727,0.018423792418554498,0.20876672742637095,0.0054032111382479875,-4.431859464395232e-05,0.18883664752825824,0.25542313185918797,0.0026034651397311417,0.15815515325044688,0.0018452901584652163,0.021777474798364203,2.71905,3.80599721669684
3.2896825733333332,0.01478517716062585,0.1834843479677215,0.03287774643330839,0.00013195590443459198,0.1348317387836696,0.6994089297134979,0.006135971068284391,0.15815515325044688,0.0018452901584652163,0.021777474798364203,2.71905,3.80599721669684
3.4392135993939394,0.013894243203908623,0.14249983764380333,0.06352068385116386,0.0004939972671876815,0.09959232906981905,1.0477834189059387,0.011433618834679195,0.15815515325044688,0.0018452901584652163,0.021777474798364203,2.71905,3.80599721669684
3.588744625454545,0.012397669390683574,0.10691457766646763,0.0787584181040363,0.0009755132289058934,0.08019251790922069,1.158600972243952,0.0181619716437724,0.15815515325044688,0.0018452901584652163,0.021777474798364203,2.71905,3.80599721669684
3.7382756515151514,0.015657446657535976,0.0862772223608381,0.07854538512622884,0.002090206809104737,0.06887417975781346,1.1140029612964726,0.025687291258595226,0.15815515325044688,0.0018452901584652163,0.021777474798364203,2.71905,3.80599721669684
3.8878066775757576,0.02473422791284285,0.07137551522387019,0.07271334412753461,0.003995648316671542,0.06341220696311012,0.9670747269654544,0.032380168590426,0.15815515325044688,0.0018452901584652163,0.021777474798364203,2.71905,3.80599721669684
4.037337703636363,0.03675584346535409,0.06120720370663368,0.0589357136321724,0.006382928973569381,0.0613319855195388,0.7861747736765354,0.03727041025937771,0.15815515325044688,0.0018452901584652163,0.021777474798364203,2.71905,3.80599721669684
4.18686872969697,0.048434706521046256,0.05383961045247652,0.05082310901604305,0.008645225407087218,0.06196849659244318,0.6414923795060047,0.04006678763835142,0.15815515325044688,0.0018452901584652163,0.021777474798364203,2.71905,3.80599721669684
4.336399755757576,0.060255060740601905,0.04857864581991058,0.04156463325765723,0.011152220535887897,0.06442704045506664,0.5363576839892661,0.04066272198760106,0.15815515325044688,0.0018452901584652163,0.021777474798364203,2.71905,3.80599721669684
4.4859307818181815,0.07404581001382478,0.04553789380711006,0.03423222195464654,0.01368845211008281,0.06815616848192073,0.45052735849019426,0.04009278798105803,0.0777975004755548,0.0018452901584652163,0.021777474798364203,2.71905,3.80599721669684
