r (A),g(r)_weighted_Li-Li,g(r)_weighted_Be-F,g(r)_weighted_Be-Be,g(r)_weighted_F-F,g(r)_weighted_Be-Li,g(r)_weighted_Li-F,S_i_Be-F,S_i_Li-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.00484,1.922959
0.09989530370707071,0.0,-0.00015218313368984152,0.0,0.0,0.0,0.0,1.0,1.0,2.00484,1.922959
0.19979060741414142,0.0,-0.00030436626737968304,0.0,0.0,0.0,0.0,1.0,1.0,2.00484,1.922959
0.2996859111212121,0.0,-0.00045654940106952454,0.0,0.0,0.0,0.0,1.0,1.0,2.00484,1.922959
0.39958121482828285,0.0,-0.0006087325347593661,0.0,0.0,0.0,0.0,1.0,1.0,2.00484,1.922959
0.4994765185353536,0.0,-0.0007609156684492076,0.0,0.0,0.0,0.0,1.0,1.0,2.00484,1.922959
0.5993718222424242,0.0,-0.0009130988021390491,0.0,0.0,0.0,0.0,1.0,1.0,2.00484,1.922959
0.699267125949495,0.0,-0.0010652819358288907,0.0,0.0,0.0,0.0,1.0,1.0,2.00484,1.922959
0.7991624296565657,0.0,-0.0012174650695187322,0.0,0.0,0.0,0.0,1.0,1.0,2.00484,1.922959
0.8990577333636364,0.0,-0.0013696482032085737,0.0,0.0,0.0,0.0,1.0,1.0,2.00484,1.922959
0.9989530370707072,0.0,-0.0010106455507084017,0.0,0.0,0.0,0.0,1.0,1.0,2.00484,1.922959
1.0988483407777778,0.0,0.006527728126697032,0.0,0.0,0.0,0.0,1.0,1.0,2.00484,1.922959
1.1987436444848485,0.0,0.014066101804102464,0.0,0.0,0.0,0.0,1.0,1.0,2.00484,1.922959
1.2986389481919192,0.0,0.02513230473470688,0.0,0.0,0.0,0.0,1.0,1.0,2.00484,1.922959
1.39853425189899,0.0,0.6048615969040345,0.0,0.0,0.0,0.0,1.0,1.0,2.00484,1.922959
1.4984295556060607,0.0,1.4366144738646758,0.0,0.0,0.0,0.007537408271633029,1.0,1.0,2.00484,1.922959
1.5983248593131314,0.0,1.2769915480302545,0.0,0.0,0.0,0.06125792031475653,0.23119882392446794,1.0,2.00484,1.922959
1.698220163020202,0.0,0.6962299993415768,0.0,0.0,0.0,0.24228268701302919,0.23119882392446794,1.0,2.00484,1.922959
1.7981154667272727,0.0,0.24243784991454517,0.0,0.0,0.0,0.44184592816949664,0.23119882392446794,1.0,2.00484,1.922959
1.8980107704343436,0.0,0.07945753682519714,0.0,0.0,0.0,0.5193130396205581,0.23119882392446794,0.15683459426539026,2.00484,1.922959
1.9979060741414143,0.0,0.019248819202768688,0.0,0.0,0.0,0.45431400813151557,0.23119882392446794,0.15683459426539026,2.00484,1.922959
2.097801377848485,0.0,0.004842149547635038,0.0,0.0,0.0003076740635979862,0.3446281589568249,0.23119882392446794,0.15683459426539026,2.00484,1.922959
2.1976966815555556,0.0012516117688655469,0.0011352388575052396,0.0006753316753076426,0.06122377336441767,0.002144910700837469,0.24689767187964898,0.23119882392446794,0.15683459426539026,2.00484,1.922959
2.2975919852626263,0.003954302601708435,-0.0010257616400194116,0.0013821261522914945,0.2915264296014578,0.006674315597177157,0.17873521000563553,0.23119882392446794,0.15683459426539026,2.00484,1.922959
2.397487288969697,0.009351731481393797,-0.002800708296708911,0.0035103778353440186,0.741113225801093,0.015837874152960944,0.1357848949214491,0.23119882392446794,0.15683459426539026,2.00484,1.922959
2.4973825926767677,0.018453541285690895,0.00014611057121907166,0.008977799432311208,1.2182844253483085,0.03069268828906235,0.11096931187074918,0.23119882392446794,0.15683459426539026,2.00484,1.922959
2.5972778963838383,0.03140498181329574,0.006286360709880903,0.023880925892577436,1.3420834741222927,0.04865351987197225,0.09876507873444776,0.23119882392446794,0.15683459426539026,2.00484,1.922959
2.6971732000909094,0.046407334762217936,0.015184597834918438,0.05331359203169361,1.185381293892526,0.06901615986487374,0.0934225063503123,0.23119882392446794,0.15683459426539026,2.00484,1.922959
2.79706850379798,0.06224749750837378,0.025795823786855424,0.09829212795236074,0.8522003258999485,0.08797590059403732,0.09150383532533761,0.23119882392446794,0.15683459426539026,2.00484,1.922959
2.896963807505051,0.07752050353704158,0.045526697450409964,0.13323593238081644,0.6496053548015629,0.10641972983741858,0.09420587964220473,0.23119882392446794,0.15683459426539026,2.00484,1.922959
2.9968591112121215,0.08731620366746086,0.06753879268195628,0.13808794638050134,0.537437970704126,0.12014605733770505,0.09924606106041026,0.13703059993854497,0.15683459426539026,2.00484,1.922959
3.096754414919192,0.0921074401968615,0.09135527821103324,0.11163517664374038,0.4947636917489806,0.12563746487868174,0.10588864689828048,0.003291378389493542,0.15683459426539026,2.00484,1.922959
3.196649718626263,0.0959717097391346,0.11492982861297908,0.07362303429772858,0.47080180413536715,0.12197565060706467,0.11561482971159175,0.003291378389493542,0.15683459426539026,2.00484,1.922959
3.2965450223333335,0.0943900975671024,0.13783540392663363,0.040143754381388064,0.44990962348613306,0.10577185546686156,0.12739056647611133,0.003291378389493542,0.15683459426539026,2.00484,1.922959
3.396440326040404,0.08996640659259952,0.1597125792402346,0.018780792068607426,0.430530633766068,0.08609003848599404,0.13928903862872014,0.003291378389493542,0.15683459426539026,2.00484,1.922959
3.496335629747475,0.08432343507488571,0.1773050935307613,0.013412414821747749,0.4132810138884528,0.06774167115128094,0.15020993312895023,0.003291378389493542,0.15683459426539026,2.00484,1.922959
